t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L1,VA_L2,W_L1,W_L2,W_L1,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,140.34979248046875,195.25143432617188,200.1882781982422,257.0816650390625,256.6693115234375,255.0115203857422,0.5292196869850159,0.6185664534568787,0.5599272847175598,74.27587127685547,120.77598571777344,112.09088134765625,-50.11171340942383,-80.34172058105469,-94.16980743408203,22.04416847229004,67.0427474975586,23.80844497680664,0.6746701598167419,0.6652126908302307,0.8401201367378235,4.797029972076416,4.392120838165283,3.8242924213409424,nan
0.020,0,140.34979248046875,195.25143432617188,200.1882781982422,257.0816650390625,256.6693115234375,255.0115203857422,0.5292196869850159,0.6185664534568787,0.5599272847175598,74.27587127685547,120.77598571777344,112.09088134765625,-50.11171340942383,-80.34172058105469,-94.16980743408203,22.04416847229004,67.0427474975586,23.80844497680664,0.6746701598167419,0.6652126908302307,0.8401201367378235,4.797029972076416,4.392120838165283,3.8242924213409424,nan
0.040,0,140.34979248046875,195.25143432617188,200.1882781982422,257.0816650390625,256.6693115234375,255.0115203857422,0.5292196869850159,0.6185664534568787,0.5599272847175598,74.27587127685547,120.77598571777344,112.09088134765625,-50.11171340942383,-80.34172058105469,-94.16980743408203,22.04416847229004,67.0427474975586,23.80844497680664,0.6746701598167419,0.6652126908302307,0.8401201367378235,4.797029972076416,4.392120838165283,3.8242924213409424,nan
0.060,0,140.34979248046875,195.25143432617188,200.1882781982422,257.0816650390625,256.6693115234375,255.0115203857422,0.5292196869850159,0.6185664534568787,0.5599272847175598,74.27587127685547,120.77598571777344,112.09088134765625,-50.11171340942383,-80.34172058105469,-94.16980743408203,22.04416847229004,67.0427474975586,23.80844497680664,0.6746701598167419,0.6652126908302307,0.8401201367378235,4.797029972076416,4.392120838165283,3.8242924213409424,nan
0.080,0,140.34979248046875,195.25143432617188,200.1882781982422,257.0816650390625,256.6693115234375,255.0115203857422,0.5292196869850159,0.6185664534568787,0.5599272847175598,74.27587127685547,120.77598571777344,112.09088134765625,-50.11171340942383,-80.34172058105469,-94.16980743408203,22.04416847229004,67.0427474975586,23.80844497680664,0.6746701598167419,0.6652126908302307,0.8401201367378235,4.797029972076416,4.392120838165283,3.8242924213409424,nan
0.100,0,140.34979248046875,195.25143432617188,200.1882781982422,257.0816650390625,256.6693115234375,255.0115203857422,0.5292196869850159,0.6185664534568787,0.5599272847175598,74.27587127685547,120.77598571777344,112.09088134765625,-50.11171340942383,-80.34172058105469,-94.16980743408203,22.04416847229004,67.0427474975586,23.80844497680664,0.6746701598167419,0.6652126908302307,0.8401201367378235,4.797029972076416,4.392120838165283,3.8242924213409424,nan
0.120,0,140.34979248046875,195.25143432617188,200.1882781982422,257.0816650390625,256.6693115234375,255.0115203857422,0.5292196869850159,0.6185664534568787,0.5599272847175598,74.27587127685547,120.77598571777344,112.09088134765625,-50.11171340942383,-80.34172058105469,-94.16980743408203,22.04416847229004,67.0427474975586,23.80844497680664,0.6746701598167419,0.6652126908302307,0.8401201367378235,4.797029972076416,4.392120838165283,3.8242924213409424,nan
0.140,0,140.34530639648438,195.21092224121094,200.2491455078125,256.99688720703125,256.6181945800781,255.05735778808594,0.5299402475357056,0.6164267063140869,0.5557703375816345,74.37462615966797,120.3332290649414,111.29253387451172,-50.18122863769531,-80.36731719970703,-93.53848266601562,22.111854553222656,66.60260009765625,23.797006607055664,0.6747089624404907,0.6678730249404907,0.840474009513855,4.73440408706665,4.434499740600586,3.8168256282806396,nan
0.160,0,140.34530639648438,195.21092224121094,200.2491455078125,256.99688720703125,256.6181945800781,255.05735778808594,0.5299402475357056,0.6164267063140869,0.5557703375816345,74.37462615966797,120.3332290649414,111.29253387451172,-50.18122863769531,-80.36731719970703,-93.53848266601562,22.111854553222656,66.60260009765625,23.797006607055664,0.6747089624404907,0.6678730249404907,0.840474009513855,4.73440408706665,4.434499740600586,3.8168256282806396,nan
0.180,0,140.34530639648438,195.21092224121094,200.2491455078125,256.99688720703125,256.6181945800781,255.05735778808594,0.5299402475357056,0.6164267063140869,0.5557703375816345,74.37462615966797,120.3332290649414,111.29253387451172,-50.18122863769531,-80.36731719970703,-93.53848266601562,22.111854553222656,66.60260009765625,23.797006607055664,0.6747089624404907,0.6678730249404907,0.840474009513855,4.73440408706665,4.434499740600586,3.8168256282806396,nan
