t+    , class, V_L1              , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3             , W_L1              , W_L2              , W_L3              , Q_L1                , Q_L2                , Q_L3              , PF_L1              , PF_L2              , PF_L3             , THD_L1            , THD_L2            , THD_L3
 0.000,     0, 100.200927734375  , 125.76896667480469, 115.28741455078125, 197.60850524902344, 196.82801818847656, 194.49020385742188, 0.13303591310977936, 0.10595596581697464, 0.13139541447162628,  13.330322265625   ,  13.325972557067871, 15.148237228393555, 10.799552917480469, 10.348331451416016, 12.98900032043457 ,   7.1501641273498535,   7.257340431213379 , 7.244222164154053 , 0.8101494312286377 , 0.7765535712242126 , 0.857459545135498 , 5.844210624694824 , 5.545516014099121 , 4.643263816833496 , nan
 0.050,     0, 100.200927734375  , 125.76896667480469, 115.28741455078125, 197.60850524902344, 196.82801818847656, 194.49020385742188, 0.13303591310977936, 0.10595596581697464, 0.13139541447162628,  13.330322265625   ,  13.325972557067871, 15.148237228393555, 10.799552917480469, 10.348331451416016, 12.98900032043457 ,   7.1501641273498535,   7.257340431213379 , 7.244222164154053 , 0.8101494312286377 , 0.7765535712242126 , 0.857459545135498 , 5.844210624694824 , 5.545516014099121 , 4.643263816833496 , nan
 0.100,     0, 100.200927734375  , 125.76896667480469, 115.28741455078125, 197.60850524902344, 196.82801818847656, 194.49020385742188, 0.13303591310977936, 0.10595596581697464, 0.13139541447162628,  13.330322265625   ,  13.325972557067871, 15.148237228393555, 10.799552917480469, 10.348331451416016, 12.98900032043457 ,   7.1501641273498535,   7.257340431213379 , 7.244222164154053 , 0.8101494312286377 , 0.7765535712242126 , 0.857459545135498 , 5.844210624694824 , 5.545516014099121 , 4.643263816833496 , nan
 0.150,     0, 100.200927734375  , 125.76896667480469, 115.28741455078125, 197.60850524902344, 196.82801818847656, 194.49020385742188, 0.13303591310977936, 0.10595596581697464, 0.13139541447162628,  13.330322265625   ,  13.325972557067871, 15.148237228393555, 10.799552917480469, 10.348331451416016, 12.98900032043457 ,   7.1501641273498535,   7.257340431213379 , 7.244222164154053 , 0.8101494312286377 , 0.7765535712242126 , 0.857459545135498 , 5.844210624694824 , 5.545516014099121 , 4.643263816833496 , nan
 0.200,     0, 100.19837951660156, 125.80225372314453, 115.29698181152344, 197.6554718017578 , 196.88323974609375, 194.46888732910156, 0.13242056965827942, 0.10463322699069977, 0.13177435100078583,  13.268326759338379,  13.163095474243164, 15.193184852600098, 10.68895149230957 , 10.264337539672852, 13.067739486694336,   7.178781032562256 ,   7.074914455413818 , 7.221384525299072 , 0.80559903383255   , 0.7797814607620239 , 0.8601053357124329, 5.893735408782959 , 5.509212970733643 , 4.705265522003174 , nan
 0.250,     0, 100.19837951660156, 125.80225372314453, 115.29698181152344, 197.6554718017578 , 196.88323974609375, 194.46888732910156, 0.13242056965827942, 0.10463322699069977, 0.13177435100078583,  13.268326759338379,  13.163095474243164, 15.193184852600098, 10.68895149230957 , 10.264337539672852, 13.067739486694336,   7.178781032562256 ,   7.074914455413818 , 7.221384525299072 , 0.80559903383255   , 0.7797814607620239 , 0.8601053357124329, 5.893735408782959 , 5.509212970733643 , 4.705265522003174 , nan
 0.300,     0, 100.19837951660156, 125.80225372314453, 115.29698181152344, 197.6554718017578 , 196.88323974609375, 194.46888732910156, 0.13242056965827942, 0.10463322699069977, 0.13177435100078583,  13.268326759338379,  13.163095474243164, 15.193184852600098, 10.68895149230957 , 10.264337539672852, 13.067739486694336,   7.178781032562256 ,   7.074914455413818 , 7.221384525299072 , 0.80559903383255   , 0.7797814607620239 , 0.8601053357124329, 5.893735408782959 , 5.509212970733643 , 4.705265522003174 , nan
 0.350,     0, 100.19837951660156, 125.80225372314453, 115.29698181152344, 197.6554718017578 , 196.88323974609375, 194.46888732910156, 0.13242056965827942, 0.10463322699069977, 0.13177435100078583,  13.268326759338379,  13.163095474243164, 15.193184852600098, 10.68895149230957 , 10.264337539672852, 13.067739486694336,   7.178781032562256 ,   7.074914455413818 , 7.221384525299072 , 0.80559903383255   , 0.7797814607620239 , 0.8601053357124329, 5.893735408782959 , 5.509212970733643 , 4.705265522003174 , nan
 0.400,     0, 100.18622589111328, 125.7667236328125 , 115.30883026123047, 197.60394287109375, 196.8424835205078 , 194.49563598632812, 0.13097669184207916, 0.1039857342839241 , 0.13211502134799957,  13.122060775756836,  13.0779447555542  , 15.234028816223145, 10.606444358825684, 10.305535316467285, 13.07880687713623 ,   7.133996486663818 ,   6.960188388824463 , 7.274970054626465 , 0.8082910776138306 , 0.7880088090896606 , 0.858525812625885 , 5.856481552124023 , 5.4471635818481445, 4.631036758422852 , nan
 0.450,     0, 100.18622589111328, 125.7667236328125 , 115.30883026123047, 197.60394287109375, 196.8424835205078 , 194.49563598632812, 0.13097669184207916, 0.1039857342839241 , 0.13211502134799957,  13.122060775756836,  13.0779447555542  , 15.234028816223145, 10.606444358825684, 10.305535316467285, 13.07880687713623 ,   7.133996486663818 ,   6.960188388824463 , 7.274970054626465 , 0.8082910776138306 , 0.7880088090896606 , 0.858525812625885 , 5.856481552124023 , 5.4471635818481445, 4.631036758422852 , nan
 0.500,     0, 100.18622589111328, 125.7667236328125 , 115.30883026123047, 197.60394287109375, 196.8424835205078 , 194.49563598632812, 0.13097669184207916, 0.1039857342839241 , 0.13211502134799957,  13.122060775756836,  13.0779447555542  , 15.234028816223145, 10.606444358825684, 10.305535316467285, 13.07880687713623 ,   7.133996486663818 ,   6.960188388824463 , 7.274970054626465 , 0.8082910776138306 , 0.7880088090896606 , 0.858525812625885 , 5.856481552124023 , 5.4471635818481445, 4.631036758422852 , nan
 0.550,     0, 100.18622589111328, 125.7667236328125 , 115.30883026123047, 197.60394287109375, 196.8424835205078 , 194.49563598632812, 0.13097669184207916, 0.1039857342839241 , 0.13211502134799957,  13.122060775756836,  13.0779447555542  , 15.234028816223145, 10.606444358825684, 10.305535316467285, 13.07880687713623 ,   7.133996486663818 ,   6.960188388824463 , 7.274970054626465 , 0.8082910776138306 , 0.7880088090896606 , 0.858525812625885 , 5.856481552124023 , 5.4471635818481445, 4.631036758422852 , nan
 0.600,     0, 100.16092681884766, 125.76984405517578, 115.3095932006836 , 197.5695037841797 , 196.8640899658203 , 194.47201538085938, 0.13229185342788696, 0.1055225357413292 , 0.13235127925872803,  13.25047492980957 ,  13.271553039550781, 15.261372566223145, 10.683717727661133, 10.355896949768066, 13.062694549560547,   7.162563323974609 ,   7.100010871887207 , 7.311233043670654 , 0.8062894344329834 , 0.7803078293800354 , 0.85593181848526  , 5.847168445587158 , 5.544646739959717 , 4.560000419616699 , nan
 0.650,     0, 100.16092681884766, 125.76984405517578, 115.3095932006836 , 197.5695037841797 , 196.8640899658203 , 194.47201538085938, 0.13229185342788696, 0.1055225357413292 , 0.13235127925872803,  13.25047492980957 ,  13.271553039550781, 15.261372566223145, 10.683717727661133, 10.355896949768066, 13.062694549560547,   7.162563323974609 ,   7.100010871887207 , 7.311233043670654 , 0.8062894344329834 , 0.7803078293800354 , 0.85593181848526  , 5.847168445587158 , 5.544646739959717 , 4.560000419616699 , nan
