t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,99.98957061767578,125.63117218017578,115.17330932617188,197.29710388183594,196.6737518310547,194.16685485839844,0.13396279513835907,0.10608744621276855,0.13330142199993134,13.394882202148438,13.327890396118164,15.352766036987305,10.723301887512207,10.276102066040039,13.122335433959961,7.3542256355285645,7.237279415130615,7.375255107879639,0.8005521893501282,0.771022379398346,0.8547212481498718,5.954608917236328,5.6916351318359375,4.780890941619873,nan
0.050,0,99.98957061767578,125.63117218017578,115.17330932617188,197.29710388183594,196.6737518310547,194.16685485839844,0.13396279513835907,0.10608744621276855,0.13330142199993134,13.394882202148438,13.327890396118164,15.352766036987305,10.723301887512207,10.276102066040039,13.122335433959961,7.3542256355285645,7.237279415130615,7.375255107879639,0.8005521893501282,0.771022379398346,0.8547212481498718,5.954608917236328,5.6916351318359375,4.780890941619873,nan
0.100,0,99.95545196533203,125.62773132324219,115.19294738769531,197.31063842773438,196.6485137939453,194.15640258789062,0.13563188910484314,0.10488519072532654,0.13429123163223267,13.557147026062012,13.176488876342773,15.469402313232422,10.765746116638184,10.016353607177734,13.257617950439453,7.6109299659729,7.286291599273682,7.305392265319824,0.7941011786460876,0.7601686120033264,0.8570219874382019,6.017158508300781,5.6122660636901855,4.689135551452637,nan
0.150,0,99.95545196533203,125.62773132324219,115.19294738769531,197.31063842773438,196.6485137939453,194.15640258789062,0.13563188910484314,0.10488519072532654,0.13429123163223267,13.557147026062012,13.176488876342773,15.469402313232422,10.765746116638184,10.016353607177734,13.257617950439453,7.6109299659729,7.286291599273682,7.305392265319824,0.7941011786460876,0.7601686120033264,0.8570219874382019,6.017158508300781,5.6122660636901855,4.689135551452637,nan
0.200,0,99.95545196533203,125.62773132324219,115.19294738769531,197.31063842773438,196.6485137939453,194.15640258789062,0.13563188910484314,0.10488519072532654,0.13429123163223267,13.557147026062012,13.176488876342773,15.469402313232422,10.765746116638184,10.016353607177734,13.257617950439453,7.6109299659729,7.286291599273682,7.305392265319824,0.7941011786460876,0.7601686120033264,0.8570219874382019,6.017158508300781,5.6122660636901855,4.689135551452637,nan
0.250,0,99.95545196533203,125.62773132324219,115.19294738769531,197.31063842773438,196.6485137939453,194.15640258789062,0.13563188910484314,0.10488519072532654,0.13429123163223267,13.557147026062012,13.176488876342773,15.469402313232422,10.765746116638184,10.016353607177734,13.257617950439453,7.6109299659729,7.286291599273682,7.305392265319824,0.7941011786460876,0.7601686120033264,0.8570219874382019,6.017158508300781,5.6122660636901855,4.689135551452637,nan
0.300,0,99.99872589111328,125.66453552246094,115.21302795410156,197.34458923339844,196.76437377929688,194.18348693847656,0.1346292495727539,0.10637940466403961,0.13420680165290833,13.462753295898438,13.368118286132812,15.462371826171875,10.727859497070312,10.18757438659668,13.173310279846191,7.440252304077148,7.2420196533203125,7.346699237823486,0.7968547940254211,0.7620798945426941,0.851959228515625,6.00980281829834,5.675882339477539,4.890844345092773,nan
0.350,0,99.99872589111328,125.66453552246094,115.21302795410156,197.34458923339844,196.76437377929688,194.18348693847656,0.1346292495727539,0.10637940466403961,0.13420680165290833,13.462753295898438,13.368118286132812,15.462371826171875,10.727859497070312,10.18757438659668,13.173310279846191,7.440252304077148,7.2420196533203125,7.346699237823486,0.7968547940254211,0.7620798945426941,0.851959228515625,6.00980281829834,5.675882339477539,4.890844345092773,nan
0.400,0,99.99872589111328,125.66453552246094,115.21302795410156,197.34458923339844,196.76437377929688,194.18348693847656,0.1346292495727539,0.10637940466403961,0.13420680165290833,13.462753295898438,13.368118286132812,15.462371826171875,10.727859497070312,10.18757438659668,13.173310279846191,7.440252304077148,7.2420196533203125,7.346699237823486,0.7968547940254211,0.7620798945426941,0.851959228515625,6.00980281829834,5.675882339477539,4.890844345092773,nan
0.450,0,99.99872589111328,125.66453552246094,115.21302795410156,197.34458923339844,196.76437377929688,194.18348693847656,0.1346292495727539,0.10637940466403961,0.13420680165290833,13.462753295898438,13.368118286132812,15.462371826171875,10.727859497070312,10.18757438659668,13.173310279846191,7.440252304077148,7.2420196533203125,7.346699237823486,0.7968547940254211,0.7620798945426941,0.851959228515625,6.00980281829834,5.675882339477539,4.890844345092773,nan
0.500,0,99.99295806884766,125.66230010986328,115.22564697265625,197.3482208251953,196.7086181640625,194.2330780029297,0.13553325831890106,0.10500863194465637,0.1343824416399002,13.55237102508545,13.195626258850098,15.48430347442627,10.799463272094727,10.072956085205078,13.299297332763672,7.46189022064209,7.139193058013916,7.177633762359619,0.7968689203262329,0.7633556723594666,0.8588889837265015,5.96108341217041,5.632542133331299,4.673830986022949,nan
0.550,0,99.99295806884766,125.66230010986328,115.22564697265625,197.3482208251953,196.7086181640625,194.2330780029297,0.13553325831890106,0.10500863194465637,0.1343824416399002,13.55237102508545,13.195626258850098,15.48430347442627,10.799463272094727,10.072956085205078,13.299297332763672,7.46189022064209,7.139193058013916,7.177633762359619,0.7968689203262329,0.7633556723594666,0.8588889837265015,5.96108341217041,5.632542133331299,4.673830986022949,nan
