t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,103.02963256835938,128.8706817626953,119.2384033203125,202.5080108642578,202.94403076171875,200.63946533203125,0.44445183873176575,0.4579535126686096,0.5023918747901917,45.791709899902344,59.016780853271484,59.90440368652344,-44.30242919921875,-54.17470932006836,-58.68131637573242,6.4118876457214355,19.738510131835938,4.091784954071045,0.9674770832061768,0.9179543256759644,0.979582667350769,5.175872802734375,5.137606143951416,4.128637313842773,nan
0.050,0,103.02963256835938,128.8706817626953,119.2384033203125,202.5080108642578,202.94403076171875,200.63946533203125,0.44445183873176575,0.4579535126686096,0.5023918747901917,45.791709899902344,59.016780853271484,59.90440368652344,-44.30242919921875,-54.17470932006836,-58.68131637573242,6.4118876457214355,19.738510131835938,4.091784954071045,0.9674770832061768,0.9179543256759644,0.979582667350769,5.175872802734375,5.137606143951416,4.128637313842773,nan
0.100,0,103.02963256835938,128.8706817626953,119.2384033203125,202.5080108642578,202.94403076171875,200.63946533203125,0.44445183873176575,0.4579535126686096,0.5023918747901917,45.791709899902344,59.016780853271484,59.90440368652344,-44.30242919921875,-54.17470932006836,-58.68131637573242,6.4118876457214355,19.738510131835938,4.091784954071045,0.9674770832061768,0.9179543256759644,0.979582667350769,5.175872802734375,5.137606143951416,4.128637313842773,nan
0.150,0,103.02963256835938,128.8706817626953,119.2384033203125,202.5080108642578,202.94403076171875,200.63946533203125,0.44445183873176575,0.4579535126686096,0.5023918747901917,45.791709899902344,59.016780853271484,59.90440368652344,-44.30242919921875,-54.17470932006836,-58.68131637573242,6.4118876457214355,19.738510131835938,4.091784954071045,0.9674770832061768,0.9179543256759644,0.979582667350769,5.175872802734375,5.137606143951416,4.128637313842773,nan
0.200,0,103.03356170654297,128.91001892089844,119.23210144042969,202.53829956054688,202.99984741210938,200.62608337402344,0.446018248796463,0.46237215399742126,0.5030645728111267,45.95484924316406,59.60440444946289,59.9814453125,-44.41585159301758,-54.88113021850586,-58.7596549987793,6.163425922393799,19.212072372436523,3.2553277015686035,0.9665106534957886,0.9207562804222107,0.9796305298805237,5.143945693969727,5.151856899261475,4.105405330657959,nan
0.250,0,103.03356170654297,128.91001892089844,119.23210144042969,202.53829956054688,202.99984741210938,200.62608337402344,0.446018248796463,0.46237215399742126,0.5030645728111267,45.95484924316406,59.60440444946289,59.9814453125,-44.41585159301758,-54.88113021850586,-58.7596549987793,6.163425922393799,19.212072372436523,3.2553277015686035,0.9665106534957886,0.9207562804222107,0.9796305298805237,5.143945693969727,5.151856899261475,4.105405330657959,nan
0.300,0,103.03356170654297,128.91001892089844,119.23210144042969,202.53829956054688,202.99984741210938,200.62608337402344,0.446018248796463,0.46237215399742126,0.5030645728111267,45.95484924316406,59.60440444946289,59.9814453125,-44.41585159301758,-54.88113021850586,-58.7596549987793,6.163425922393799,19.212072372436523,3.2553277015686035,0.9665106534957886,0.9207562804222107,0.9796305298805237,5.143945693969727,5.151856899261475,4.105405330657959,nan
0.350,0,103.03356170654297,128.91001892089844,119.23210144042969,202.53829956054688,202.99984741210938,200.62608337402344,0.446018248796463,0.46237215399742126,0.5030645728111267,45.95484924316406,59.60440444946289,59.9814453125,-44.41585159301758,-54.88113021850586,-58.7596549987793,6.163425922393799,19.212072372436523,3.2553277015686035,0.9665106534957886,0.9207562804222107,0.9796305298805237,5.143945693969727,5.151856899261475,4.105405330657959,nan
0.400,0,102.98383331298828,128.91783142089844,119.25784301757812,202.5186309814453,202.99388122558594,200.61534118652344,0.4413793087005615,0.4588444232940674,0.5029759407043457,45.454933166503906,59.153228759765625,59.98382568359375,-44.031097412109375,-54.4849967956543,-58.829139709472656,5.782844066619873,19.361291885375977,3.0059878826141357,0.9686758518218994,0.9210823774337769,0.9807500243186951,5.123556137084961,5.101187705993652,4.080978870391846,nan
0.450,0,102.98383331298828,128.91783142089844,119.25784301757812,202.5186309814453,202.99388122558594,200.61534118652344,0.4413793087005615,0.4588444232940674,0.5029759407043457,45.454933166503906,59.153228759765625,59.98382568359375,-44.031097412109375,-54.4849967956543,-58.829139709472656,5.782844066619873,19.361291885375977,3.0059878826141357,0.9686758518218994,0.9210823774337769,0.9807500243186951,5.123556137084961,5.101187705993652,4.080978870391846,nan
0.500,0,102.98383331298828,128.91783142089844,119.25784301757812,202.5186309814453,202.99388122558594,200.61534118652344,0.4413793087005615,0.4588444232940674,0.5029759407043457,45.454933166503906,59.153228759765625,59.98382568359375,-44.031097412109375,-54.4849967956543,-58.829139709472656,5.782844066619873,19.361291885375977,3.0059878826141357,0.9686758518218994,0.9210823774337769,0.9807500243186951,5.123556137084961,5.101187705993652,4.080978870391846,nan
