t+    , class, V_L1              , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3              , W_L1               , W_L2               , W_L3               , Q_L1               , Q_L2               , Q_L3               , PF_L1               , PF_L2              , PF_L3              , THD_L1            , THD_L2            , THD_L3
 0.000,     0, 103.08303833007812, 129.0592498779297 , 119.19164276123047, 202.8350372314453 , 203.07225036621094, 200.54672241210938, 0.45310935378074646, 0.47593387961387634, 0.49766090512275696,  46.707889556884766,  61.423667907714844,  59.317020416259766, -44.95174789428711 , -56.960269927978516, -58.11058807373047 , 7.424723148345947  ,  18.710845947265625, 2.7102952003479004 , 0.9624016284942627  , 0.9273342490196228 , 0.9796612858772278 , 5.24638557434082  , 5.076098918914795 , 4.152433395385742 , nan
 0.050,     0, 103.08303833007812, 129.0592498779297 , 119.19164276123047, 202.8350372314453 , 203.07225036621094, 200.54672241210938, 0.45310935378074646, 0.47593387961387634, 0.49766090512275696,  46.707889556884766,  61.423667907714844,  59.317020416259766, -44.95174789428711 , -56.960269927978516, -58.11058807373047 , 7.424723148345947  ,  18.710845947265625, 2.7102952003479004 , 0.9624016284942627  , 0.9273342490196228 , 0.9796612858772278 , 5.24638557434082  , 5.076098918914795 , 4.152433395385742 , nan
 0.100,     0, 103.08303833007812, 129.0592498779297 , 119.19164276123047, 202.8350372314453 , 203.07225036621094, 200.54672241210938, 0.45310935378074646, 0.47593387961387634, 0.49766090512275696,  46.707889556884766,  61.423667907714844,  59.317020416259766, -44.95174789428711 , -56.960269927978516, -58.11058807373047 , 7.424723148345947  ,  18.710845947265625, 2.7102952003479004 , 0.9624016284942627  , 0.9273342490196228 , 0.9796612858772278 , 5.24638557434082  , 5.076098918914795 , 4.152433395385742 , nan
 0.150,     0, 103.08303833007812, 129.0592498779297 , 119.19164276123047, 202.8350372314453 , 203.07225036621094, 200.54672241210938, 0.45310935378074646, 0.47593387961387634, 0.49766090512275696,  46.707889556884766,  61.423667907714844,  59.317020416259766, -44.95174789428711 , -56.960269927978516, -58.11058807373047 , 7.424723148345947  ,  18.710845947265625, 2.7102952003479004 , 0.9624016284942627  , 0.9273342490196228 , 0.9796612858772278 , 5.24638557434082  , 5.076098918914795 , 4.152433395385742 , nan
 0.200,     0, 103.09398651123047, 129.0345001220703 , 119.14419555664062, 202.7922821044922 , 203.0457000732422 , 200.51431274414062, 0.4475826621055603 , 0.471920907497406  , 0.4959564805030823 ,  46.14308166503906 ,  60.89407730102539 ,  59.090335845947266, -44.30644226074219 , -56.048683166503906, -57.90625762939453 , 8.070125579833984  ,  20.021202087402344, 3.8197479248046875 , 0.960196852684021   , 0.9204291105270386 , 0.9799615740776062 , 5.250894069671631 , 5.080819606781006 , 4.131476879119873 , nan
 0.250,     0, 103.09398651123047, 129.0345001220703 , 119.14419555664062, 202.7922821044922 , 203.0457000732422 , 200.51431274414062, 0.4475826621055603 , 0.471920907497406  , 0.4959564805030823 ,  46.14308166503906 ,  60.89407730102539 ,  59.090335845947266, -44.30644226074219 , -56.048683166503906, -57.90625762939453 , 8.070125579833984  ,  20.021202087402344, 3.8197479248046875 , 0.960196852684021   , 0.9204291105270386 , 0.9799615740776062 , 5.250894069671631 , 5.080819606781006 , 4.131476879119873 , nan
 0.300,     0, 103.09398651123047, 129.0345001220703 , 119.14419555664062, 202.7922821044922 , 203.0457000732422 , 200.51431274414062, 0.4475826621055603 , 0.471920907497406  , 0.4959564805030823 ,  46.14308166503906 ,  60.89407730102539 ,  59.090335845947266, -44.30644226074219 , -56.048683166503906, -57.90625762939453 , 8.070125579833984  ,  20.021202087402344, 3.8197479248046875 , 0.960196852684021   , 0.9204291105270386 , 0.9799615740776062 , 5.250894069671631 , 5.080819606781006 , 4.131476879119873 , nan
 0.350,     0, 103.09398651123047, 129.0345001220703 , 119.14419555664062, 202.7922821044922 , 203.0457000732422 , 200.51431274414062, 0.4475826621055603 , 0.471920907497406  , 0.4959564805030823 ,  46.14308166503906 ,  60.89407730102539 ,  59.090335845947266, -44.30644226074219 , -56.048683166503906, -57.90625762939453 , 8.070125579833984  ,  20.021202087402344, 3.8197479248046875 , 0.960196852684021   , 0.9204291105270386 , 0.9799615740776062 , 5.250894069671631 , 5.080819606781006 , 4.131476879119873 , nan
 0.400,     0, 103.0967788696289 , 129.04733276367188, 119.18737030029297, 202.8251953125    , 203.0801239013672 , 200.54769897460938, 0.44935691356658936, 0.4727438688278198 , 0.49465247988700867,  46.32725143432617 ,  61.0063362121582  ,  58.956329345703125, -44.529029846191406, -56.396080017089844, -57.78151321411133 , 7.697139739990234  ,  19.180206298828125, 3.1767184734344482 , 0.9611843824386597  , 0.9244298934936523 , 0.980073094367981  , 5.261049270629883 , 5.093901634216309 , 4.1686577796936035, nan
 0.450,     0, 103.0967788696289 , 129.04733276367188, 119.18737030029297, 202.8251953125    , 203.0801239013672 , 200.54769897460938, 0.44935691356658936, 0.4727438688278198 , 0.49465247988700867,  46.32725143432617 ,  61.0063362121582  ,  58.956329345703125, -44.529029846191406, -56.396080017089844, -57.78151321411133 , 7.697139739990234  ,  19.180206298828125, 3.1767184734344482 , 0.9611843824386597  , 0.9244298934936523 , 0.980073094367981  , 5.261049270629883 , 5.093901634216309 , 4.1686577796936035, nan
