t+    , class, V_L1             , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3              , W_L1              , W_L2              , W_L3                , Q_L1                , Q_L2                , Q_L3                , PF_L1              , PF_L2              , PF_L3                 , THD_L1            , THD_L2            , THD_L3
 0.000,     0, 99.82469177246094, 125.94197082519531, 115.65868377685547, 197.4573974609375 , 197.16592407226562, 194.55044555664062, 0.1394631415605545 , 0.10954407602548599, 0.13798098266124725,  13.921865463256836,  13.796196937561035,  15.958699226379395, 10.746651649475098, 10.033827781677246, 13.291791915893555  ,   7.983982563018799 ,   7.727870464324951 ,   7.797914028167725 , 0.7719261050224304 , 0.7272893786430359 , 0.8328869342803955    , 6.044023513793945 , 5.8204169273376465, 4.776401042938232 , nan
 0.050,     0, 99.8752670288086 , 125.91487884521484, 115.65198516845703, 197.4672088623047 , 197.13087463378906, 194.5945281982422 , 0.139001727104187  , 0.10850215703248978, 0.13810603320598602,  13.882834434509277,  13.662035942077637,  15.972236633300781, 10.722356796264648,  9.983792304992676, 13.358720779418945  ,   8.061477661132812 ,   7.692440509796143 ,   7.833498954772949 , 0.7723463773727417 , 0.7307689785957336 , 0.8363713026046753    , 5.95060396194458  , 5.838496685028076 , 4.835812091827393 , nan
 0.100,     0, 99.8752670288086 , 125.91487884521484, 115.65198516845703, 197.4672088623047 , 197.13087463378906, 194.5945281982422 , 0.139001727104187  , 0.10850215703248978, 0.13810603320598602,  13.882834434509277,  13.662035942077637,  15.972236633300781, 10.722356796264648,  9.983792304992676, 13.358720779418945  ,   8.061477661132812 ,   7.692440509796143 ,   7.833498954772949 , 0.7723463773727417 , 0.7307689785957336 , 0.8363713026046753    , 5.95060396194458  , 5.838496685028076 , 4.835812091827393 , nan
 0.150,     0, 99.8752670288086 , 125.91487884521484, 115.65198516845703, 197.4672088623047 , 197.13087463378906, 194.5945281982422 , 0.139001727104187  , 0.10850215703248978, 0.13810603320598602,  13.882834434509277,  13.662035942077637,  15.972236633300781, 10.722356796264648,  9.983792304992676, 13.358720779418945  ,   8.061477661132812 ,   7.692440509796143 ,   7.833498954772949 , 0.7723463773727417 , 0.7307689785957336 , 0.8363713026046753    , 5.95060396194458  , 5.838496685028076 , 4.835812091827393 , nan
 0.200,     0, 99.8752670288086 , 125.91487884521484, 115.65198516845703, 197.4672088623047 , 197.13087463378906, 194.5945281982422 , 0.139001727104187  , 0.10850215703248978, 0.13810603320598602,  13.882834434509277,  13.662035942077637,  15.972236633300781, 10.722356796264648,  9.983792304992676, 13.358720779418945  ,   8.061477661132812 ,   7.692440509796143 ,   7.833498954772949 , 0.7723463773727417 , 0.7307689785957336 , 0.8363713026046753    , 5.95060396194458  , 5.838496685028076 , 4.835812091827393 , nan
 0.250,     0, 99.88666534423828, 125.9518814086914 , 115.67062377929688, 197.54690551757812, 197.1737518310547 , 194.59815979003906, 0.13988345861434937, 0.10920632630586624, 0.13962845504283905,  13.972492218017578,  13.754742622375488,  16.150911331176758, 10.687116622924805, 10.008707046508789, 13.408693313598633  ,   8.2252836227417   ,   7.769056797027588 ,   8.008993148803711 , 0.7648683190345764 , 0.7276549935340881 , 0.8302127718925476    , 6.062317848205566 , 5.785038471221924 , 4.85584831237793  , nan
 0.300,     0, 99.88666534423828, 125.9518814086914 , 115.67062377929688, 197.54690551757812, 197.1737518310547 , 194.59815979003906, 0.13988345861434937, 0.10920632630586624, 0.13962845504283905,  13.972492218017578,  13.754742622375488,  16.150911331176758, 10.687116622924805, 10.008707046508789, 13.408693313598633  ,   8.2252836227417   ,   7.769056797027588 ,   8.008993148803711 , 0.7648683190345764 , 0.7276549935340881 , 0.8302127718925476    , 6.062317848205566 , 5.785038471221924 , 4.85584831237793  , nan
 0.350,     0, 99.88666534423828, 125.9518814086914 , 115.67062377929688, 197.54690551757812, 197.1737518310547 , 194.59815979003906, 0.13988345861434937, 0.10920632630586624, 0.13962845504283905,  13.972492218017578,  13.754742622375488,  16.150911331176758, 10.687116622924805, 10.008707046508789, 13.408693313598633  ,   8.2252836227417   ,   7.769056797027588 ,   8.008993148803711 , 0.7648683190345764 , 0.7276549935340881 , 0.8302127718925476    , 6.062317848205566 , 5.785038471221924 , 4.85584831237793  , nan
 0.400,     0, 99.88666534423828, 125.9518814086914 , 115.67062377929688, 197.54690551757812, 197.1737518310547 , 194.59815979003906, 0.13988345861434937, 0.10920632630586624, 0.13962845504283905,  13.972492218017578,  13.754742622375488,  16.150911331176758, 10.687116622924805, 10.008707046508789, 13.408693313598633  ,   8.2252836227417   ,   7.769056797027588 ,   8.008993148803711 , 0.7648683190345764 , 0.7276549935340881 , 0.8302127718925476    , 6.062317848205566 , 5.785038471221924 , 4.85584831237793  , nan
 0.450,     0, 99.85659790039062, 125.97369384765625, 115.67123413085938, 197.5370635986328 , 197.1947479248047 , 194.57664489746094, 0.14289671182632446, 0.10975086688995361, 0.139929860830307  ,  14.269179344177246,  13.825721740722656,  16.18585968017578 , 10.83763599395752 ,  9.77542781829834 , 13.501791000366211  ,   8.386978149414062 ,   7.883601665496826 ,   7.8206071853637695, 0.7595136165618896 , 0.7070464491844177 , 0.8341720104217529    , 6.046702861785889 , 5.801926612854004 , 4.734662055969238 , nan
