t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L1,VA_L2,W_L1,W_L2,W_L1,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,139.96775817871094,195.8257293701172,200.2594451904297,256.9520568847656,256.2712707519531,254.80067443847656,0.5271075367927551,0.6189627051353455,0.5533801913261414,73.77806091308594,121.20882415771484,110.81961059570312,-49.66825485229492,-81.04408264160156,-92.87950134277344,22.581787109375,66.92066955566406,22.68500328063965,0.6732116937637329,0.6686318516731262,0.838114321231842,4.782952785491943,4.403387546539307,3.690775156021118,nan
0.020,0,139.96775817871094,195.8257293701172,200.2594451904297,256.9520568847656,256.2712707519531,254.80067443847656,0.5271075367927551,0.6189627051353455,0.5533801913261414,73.77806091308594,121.20882415771484,110.81961059570312,-49.66825485229492,-81.04408264160156,-92.87950134277344,22.581787109375,66.92066955566406,22.68500328063965,0.6732116937637329,0.6686318516731262,0.838114321231842,4.782952785491943,4.403387546539307,3.690775156021118,nan
0.040,0,139.96775817871094,195.8257293701172,200.2594451904297,256.9520568847656,256.2712707519531,254.80067443847656,0.5271075367927551,0.6189627051353455,0.5533801913261414,73.77806091308594,121.20882415771484,110.81961059570312,-49.66825485229492,-81.04408264160156,-92.87950134277344,22.581787109375,66.92066955566406,22.68500328063965,0.6732116937637329,0.6686318516731262,0.838114321231842,4.782952785491943,4.403387546539307,3.690775156021118,nan
0.060,0,139.96775817871094,195.8257293701172,200.2594451904297,256.9520568847656,256.2712707519531,254.80067443847656,0.5271075367927551,0.6189627051353455,0.5533801913261414,73.77806091308594,121.20882415771484,110.81961059570312,-49.66825485229492,-81.04408264160156,-92.87950134277344,22.581787109375,66.92066955566406,22.68500328063965,0.6732116937637329,0.6686318516731262,0.838114321231842,4.782952785491943,4.403387546539307,3.690775156021118,nan
0.080,0,139.92922973632812,195.75704956054688,200.2196807861328,256.91741943359375,256.31597900390625,254.8494415283203,0.5279215574264526,0.6169998645782471,0.5558017492294312,73.87165832519531,120.78207397460938,111.2824478149414,-49.701290130615234,-80.38744354248047,-93.5732650756836,21.98372459411621,67.3176498413086,23.224224090576172,0.672805905342102,0.6655577421188354,0.8408627510070801,4.802350044250488,4.385277271270752,3.678088665008545,nan
0.100,0,139.92922973632812,195.75704956054688,200.2196807861328,256.91741943359375,256.31597900390625,254.8494415283203,0.5279215574264526,0.6169998645782471,0.5558017492294312,73.87165832519531,120.78207397460938,111.2824478149414,-49.701290130615234,-80.38744354248047,-93.5732650756836,21.98372459411621,67.3176498413086,23.224224090576172,0.672805905342102,0.6655577421188354,0.8408627510070801,4.802350044250488,4.385277271270752,3.678088665008545,nan
0.120,0,139.92922973632812,195.75704956054688,200.2196807861328,256.91741943359375,256.31597900390625,254.8494415283203,0.5279215574264526,0.6169998645782471,0.5558017492294312,73.87165832519531,120.78207397460938,111.2824478149414,-49.701290130615234,-80.38744354248047,-93.5732650756836,21.98372459411621,67.3176498413086,23.224224090576172,0.672805905342102,0.6655577421188354,0.8408627510070801,4.802350044250488,4.385277271270752,3.678088665008545,nan
0.140,0,139.92922973632812,195.75704956054688,200.2196807861328,256.91741943359375,256.31597900390625,254.8494415283203,0.5279215574264526,0.6169998645782471,0.5558017492294312,73.87165832519531,120.78207397460938,111.2824478149414,-49.701290130615234,-80.38744354248047,-93.5732650756836,21.98372459411621,67.3176498413086,23.224224090576172,0.672805905342102,0.6655577421188354,0.8408627510070801,4.802350044250488,4.385277271270752,3.678088665008545,nan
0.160,0,139.92922973632812,195.75704956054688,200.2196807861328,256.91741943359375,256.31597900390625,254.8494415283203,0.5279215574264526,0.6169998645782471,0.5558017492294312,73.87165832519531,120.78207397460938,111.2824478149414,-49.701290130615234,-80.38744354248047,-93.5732650756836,21.98372459411621,67.3176498413086,23.224224090576172,0.672805905342102,0.6655577421188354,0.8408627510070801,4.802350044250488,4.385277271270752,3.678088665008545,nan
0.180,0,139.92922973632812,195.75704956054688,200.2196807861328,256.91741943359375,256.31597900390625,254.8494415283203,0.5279215574264526,0.6169998645782471,0.5558017492294312,73.87165832519531,120.78207397460938,111.2824478149414,-49.701290130615234,-80.38744354248047,-93.5732650756836,21.98372459411621,67.3176498413086,23.224224090576172,0.672805905342102,0.6655577421188354,0.8408627510070801,4.802350044250488,4.385277271270752,3.678088665008545,nan
