t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,102.58463287353516,128.2960662841797,118.67886352539062,201.6743621826172,201.9650421142578,199.72430419921875,0.4551779627799988,0.4761524796485901,0.5111560821533203,46.69426345825195,61.0884895324707,60.663421630859375,-44.93070602416992,-56.22874450683594,-59.25905227661133,6.486684799194336,19.24913215637207,2.7166337966918945,0.9622318148612976,0.9204474687576294,0.9768497943878174,5.318690776824951,5.060288906097412,4.142879486083984,nan
0.050,0,102.58463287353516,128.2960662841797,118.67886352539062,201.6743621826172,201.9650421142578,199.72430419921875,0.4551779627799988,0.4761524796485901,0.5111560821533203,46.69426345825195,61.0884895324707,60.663421630859375,-44.93070602416992,-56.22874450683594,-59.25905227661133,6.486684799194336,19.24913215637207,2.7166337966918945,0.9622318148612976,0.9204474687576294,0.9768497943878174,5.318690776824951,5.060288906097412,4.142879486083984,nan
0.100,0,102.58463287353516,128.2960662841797,118.67886352539062,201.6743621826172,201.9650421142578,199.72430419921875,0.4551779627799988,0.4761524796485901,0.5111560821533203,46.69426345825195,61.0884895324707,60.663421630859375,-44.93070602416992,-56.22874450683594,-59.25905227661133,6.486684799194336,19.24913215637207,2.7166337966918945,0.9622318148612976,0.9204474687576294,0.9768497943878174,5.318690776824951,5.060288906097412,4.142879486083984,nan
0.150,0,102.58463287353516,128.2960662841797,118.67886352539062,201.6743621826172,201.9650421142578,199.72430419921875,0.4551779627799988,0.4761524796485901,0.5111560821533203,46.69426345825195,61.0884895324707,60.663421630859375,-44.93070602416992,-56.22874450683594,-59.25905227661133,6.486684799194336,19.24913215637207,2.7166337966918945,0.9622318148612976,0.9204474687576294,0.9768497943878174,5.318690776824951,5.060288906097412,4.142879486083984,nan
0.200,0,102.48445892333984,128.26783752441406,118.56571197509766,201.55613708496094,201.82125854492188,199.5541229248047,0.4465458393096924,0.4652605652809143,0.5034670233726501,45.764007568359375,59.6779670715332,59.69392776489258,-44.211090087890625,-54.93661117553711,-58.52267837524414,6.573266506195068,19.5517578125,3.3414649963378906,0.966066837310791,0.9205510020256042,0.9803791046142578,5.190962791442871,5.161497116088867,4.079537391662598,nan
0.250,0,102.48445892333984,128.26783752441406,118.56571197509766,201.55613708496094,201.82125854492188,199.5541229248047,0.4465458393096924,0.4652605652809143,0.5034670233726501,45.764007568359375,59.6779670715332,59.69392776489258,-44.211090087890625,-54.93661117553711,-58.52267837524414,6.573266506195068,19.5517578125,3.3414649963378906,0.966066837310791,0.9205510020256042,0.9803791046142578,5.190962791442871,5.161497116088867,4.079537391662598,nan
0.300,0,102.48445892333984,128.26783752441406,118.56571197509766,201.55613708496094,201.82125854492188,199.5541229248047,0.4465458393096924,0.4652605652809143,0.5034670233726501,45.764007568359375,59.6779670715332,59.69392776489258,-44.211090087890625,-54.93661117553711,-58.52267837524414,6.573266506195068,19.5517578125,3.3414649963378906,0.966066837310791,0.9205510020256042,0.9803791046142578,5.190962791442871,5.161497116088867,4.079537391662598,nan
0.350,0,102.48445892333984,128.26783752441406,118.56571197509766,201.55613708496094,201.82125854492188,199.5541229248047,0.4465458393096924,0.4652605652809143,0.5034670233726501,45.764007568359375,59.6779670715332,59.69392776489258,-44.211090087890625,-54.93661117553711,-58.52267837524414,6.573266506195068,19.5517578125,3.3414649963378906,0.966066837310791,0.9205510020256042,0.9803791046142578,5.190962791442871,5.161497116088867,4.079537391662598,nan
0.400,0,102.57697296142578,128.31813049316406,118.63134765625,201.6395721435547,201.9777374267578,199.68057250976562,0.45567587018013,0.47645312547683716,0.5143716931343079,46.741851806640625,61.1375732421875,61.020606994628906,-45.12154769897461,-56.453651428222656,-59.81923294067383,6.466630935668945,19.577177047729492,2.796720504760742,0.9653350710868835,0.9233871698379517,0.9803119897842407,5.189743995666504,5.190044403076172,4.266425132751465,nan
0.450,0,102.57697296142578,128.31813049316406,118.63134765625,201.6395721435547,201.9777374267578,199.68057250976562,0.45567587018013,0.47645312547683716,0.5143716931343079,46.741851806640625,61.1375732421875,61.020606994628906,-45.12154769897461,-56.453651428222656,-59.81923294067383,6.466630935668945,19.577177047729492,2.796720504760742,0.9653350710868835,0.9233871698379517,0.9803119897842407,5.189743995666504,5.190044403076172,4.266425132751465,nan
0.500,0,102.57697296142578,128.31813049316406,118.63134765625,201.6395721435547,201.9777374267578,199.68057250976562,0.45567587018013,0.47645312547683716,0.5143716931343079,46.741851806640625,61.1375732421875,61.020606994628906,-45.12154769897461,-56.453651428222656,-59.81923294067383,6.466630935668945,19.577177047729492,2.796720504760742,0.9653350710868835,0.9233871698379517,0.9803119897842407,5.189743995666504,5.190044403076172,4.266425132751465,nan
0.550,0,102.57697296142578,128.31813049316406,118.63134765625,201.6395721435547,201.9777374267578,199.68057250976562,0.45567587018013,0.47645312547683716,0.5143716931343079,46.741851806640625,61.1375732421875,61.020606994628906,-45.12154769897461,-56.453651428222656,-59.81923294067383,6.466630935668945,19.577177047729492,2.796720504760742,0.9653350710868835,0.9233871698379517,0.9803119897842407,5.189743995666504,5.190044403076172,4.266425132751465,nan
0.600,0,102.59222412109375,128.28683471679688,118.65869903564453,201.62799072265625,201.97418212890625,199.71792602539062,0.45227599143981934,0.4733438491821289,0.511942982673645,46.400001525878906,60.723785400390625,60.74648666381836,-44.86513137817383,-56.14466857910156,-59.48732376098633,5.7837443351745605,18.81072998046875,2.104414701461792,0.9669209122657776,0.924591064453125,0.9792718291282654,5.2784953117370605,5.10228967666626,4.308619499206543,nan
0.650,0,102.59222412109375,128.28683471679688,118.65869903564453,201.62799072265625,201.97418212890625,199.71792602539062,0.45227599143981934,0.4733438491821289,0.511942982673645,46.400001525878906,60.723785400390625,60.74648666381836,-44.86513137817383,-56.14466857910156,-59.48732376098633,5.7837443351745605,18.81072998046875,2.104414701461792,0.9669209122657776,0.924591064453125,0.9792718291282654,5.2784953117370605,5.10228967666626,4.308619499206543,nan
