t+    , class, V_L1               , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2             , VA_L3             , W_L1                , W_L2              , W_L3              , Q_L1               , Q_L2              , Q_L3              , PF_L1              , PF_L2             , PF_L3              , THD_L1            , THD_L2            , THD_L3
 0.000,     0, 135.1261749267578  , 190.38087463378906, 191.52345275878906, 235.7461395263672 , 235.95111083984375, 234.54568481445312, 0.2892632484436035 , 0.2932989299297333 , 0.28649529814720154, 39.0870361328125   , 55.83850860595703 , 54.870567321777344, 20.652484893798828  , 37.06734848022461 , 26.220537185668945, 17.911666870117188 , 29.122140884399414, 40.56382369995117 , 0.5283717513084412 , 0.6638312935829163, 0.477861613035202  , 2.815372943878174 , 2.6710762977600098, 2.473041534423828 , nan
 0.050,     0, 135.103515625      , 190.36978149414062, 191.52285766601562, 235.8466796875    , 236.1963348388672 , 234.75335693359375, 0.2899436950683594 , 0.2929361164569855 , 0.2862040102481842 , 39.17241287231445  , 55.76618576049805 , 54.81460952758789 , 20.773727416992188  , 37.597713470458984, 26.738325119018555, 17.667755126953125 , 28.555599212646484, 40.26700210571289 , 0.5303152203559875 , 0.6742026805877686, 0.4877955913543701 , 2.882100820541382 , 2.6761646270751953, 2.4873030185699463, nan
 0.100,     0, 135.103515625      , 190.36978149414062, 191.52285766601562, 235.8466796875    , 236.1963348388672 , 234.75335693359375, 0.2899436950683594 , 0.2929361164569855 , 0.2862040102481842 , 39.17241287231445  , 55.76618576049805 , 54.81460952758789 , 20.773727416992188  , 37.597713470458984, 26.738325119018555, 17.667755126953125 , 28.555599212646484, 40.26700210571289 , 0.5303152203559875 , 0.6742026805877686, 0.4877955913543701 , 2.882100820541382 , 2.6761646270751953, 2.4873030185699463, nan
 0.150,     0, 135.103515625      , 190.36978149414062, 191.52285766601562, 235.8466796875    , 236.1963348388672 , 234.75335693359375, 0.2899436950683594 , 0.2929361164569855 , 0.2862040102481842 , 39.17241287231445  , 55.76618576049805 , 54.81460952758789 , 20.773727416992188  , 37.597713470458984, 26.738325119018555, 17.667755126953125 , 28.555599212646484, 40.26700210571289 , 0.5303152203559875 , 0.6742026805877686, 0.4877955913543701 , 2.882100820541382 , 2.6761646270751953, 2.4873030185699463, nan
 0.200,     0, 135.103515625      , 190.36978149414062, 191.52285766601562, 235.8466796875    , 236.1963348388672 , 234.75335693359375, 0.2899436950683594 , 0.2929361164569855 , 0.2862040102481842 , 39.17241287231445  , 55.76618576049805 , 54.81460952758789 , 20.773727416992188  , 37.597713470458984, 26.738325119018555, 17.667755126953125 , 28.555599212646484, 40.26700210571289 , 0.5303152203559875 , 0.6742026805877686, 0.4877955913543701 , 2.882100820541382 , 2.6761646270751953, 2.4873030185699463, nan
 0.250,     0, 135.1850128173828  , 190.47398376464844, 191.6011199951172 , 235.89804077148438, 236.13446044921875, 234.63002014160156, 0.28746330738067627, 0.2902640104293823 , 0.28466281294822693, 38.8607292175293   , 55.287742614746094, 54.54171371459961 , 20.285165786743164  , 36.62679672241211 , 26.20872688293457 , 18.05583381652832  , 28.791778564453125, 40.41444778442383 , 0.5219965577125549 , 0.6624758839607239, 0.48052626848220825, 2.775773286819458 , 2.5966920852661133, 2.4360544681549072, nan
 0.300,     0, 135.1850128173828  , 190.47398376464844, 191.6011199951172 , 235.89804077148438, 236.13446044921875, 234.63002014160156, 0.28746330738067627, 0.2902640104293823 , 0.28466281294822693, 38.8607292175293   , 55.287742614746094, 54.54171371459961 , 20.285165786743164  , 36.62679672241211 , 26.20872688293457 , 18.05583381652832  , 28.791778564453125, 40.41444778442383 , 0.5219965577125549 , 0.6624758839607239, 0.48052626848220825, 2.775773286819458 , 2.5966920852661133, 2.4360544681549072, nan
 0.350,     0, 135.1850128173828  , 190.47398376464844, 191.6011199951172 , 235.89804077148438, 236.13446044921875, 234.63002014160156, 0.28746330738067627, 0.2902640104293823 , 0.28466281294822693, 38.8607292175293   , 55.287742614746094, 54.54171371459961 , 20.285165786743164  , 36.62679672241211 , 26.20872688293457 , 18.05583381652832  , 28.791778564453125, 40.41444778442383 , 0.5219965577125549 , 0.6624758839607239, 0.48052626848220825, 2.775773286819458 , 2.5966920852661133, 2.4360544681549072, nan
 0.400,     0, 135.1850128173828  , 190.47398376464844, 191.6011199951172 , 235.89804077148438, 236.13446044921875, 234.63002014160156, 0.28746330738067627, 0.2902640104293823 , 0.28466281294822693, 38.8607292175293   , 55.287742614746094, 54.54171371459961 , 20.285165786743164  , 36.62679672241211 , 26.20872688293457 , 18.05583381652832  , 28.791778564453125, 40.41444778442383 , 0.5219965577125549 , 0.6624758839607239, 0.48052626848220825, 2.775773286819458 , 2.5966920852661133, 2.4360544681549072, nan
 0.450,     0, 135.2811737060547  , 190.37135314941406, 191.73094177246094, 235.94601440429688, 236.0927734375    , 234.77574157714844, 0.2869417667388916 , 0.28967997431755066, 0.28550779819488525, 38.81781768798828  , 55.14677047729492 , 54.74068069458008 , 20.85109519958496   , 37.379676818847656, 26.905019760131836, 17.183961868286133 , 28.019420623779297, 39.99443435668945 , 0.5371527075767517 , 0.677821695804596 , 0.49149954319000244, 2.861680030822754 , 2.7210440635681152, 2.447528123855591 , nan
 0.500,     0, 135.2811737060547  , 190.37135314941406, 191.73094177246094, 235.94601440429688, 236.0927734375    , 234.77574157714844, 0.2869417667388916 , 0.28967997431755066, 0.28550779819488525, 38.81781768798828  , 55.14677047729492 , 54.74068069458008 , 20.85109519958496   , 37.379676818847656, 26.905019760131836, 17.183961868286133 , 28.019420623779297, 39.99443435668945 , 0.5371527075767517 , 0.677821695804596 , 0.49149954319000244, 2.861680030822754 , 2.7210440635681152, 2.447528123855591 , nan
 0.550,     0, 135.2811737060547  , 190.37135314941406, 191.73094177246094, 235.94601440429688, 236.0927734375    , 234.77574157714844, 0.2869417667388916 , 0.28967997431755066, 0.28550779819488525, 38.81781768798828  , 55.14677047729492 , 54.74068069458008 , 20.85109519958496   , 37.379676818847656, 26.905019760131836, 17.183961868286133 , 28.019420623779297, 39.99443435668945 , 0.5371527075767517 , 0.677821695804596 , 0.49149954319000244, 2.861680030822754 , 2.7210440635681152, 2.447528123855591 , nan
 0.600,     0, 135.2811737060547  , 190.37135314941406, 191.73094177246094, 235.94601440429688, 236.0927734375    , 234.77574157714844, 0.2869417667388916 , 0.28967997431755066, 0.28550779819488525, 38.81781768798828  , 55.14677047729492 , 54.74068069458008 , 20.85109519958496   , 37.379676818847656, 26.905019760131836, 17.183961868286133 , 28.019420623779297, 39.99443435668945 , 0.5371527075767517 , 0.677821695804596 , 0.49149954319000244, 2.861680030822754 , 2.7210440635681152, 2.447528123855591 , nan
 0.650,     0, 135.01943969726562 , 190.40721130371094, 191.15858459472656, 235.5399169921875 , 235.78639221191406, 234.31048583984375, 0.2852379083633423 , 0.28551623225212097, 0.2825649380683899 , 38.51266098022461  , 54.364349365234375, 54.014713287353516, 20.280067443847656  , 37.01735305786133 , 27.175321578979492, 17.346187591552734 , 27.06357765197754 , 39.25798034667969 , 0.5265818238258362 , 0.6809122562408447, 0.5031096339225769 , 2.7728264331817627, 2.6736984252929688, 2.4767391681671143, nan
 0.700,     0, 135.01943969726562 , 190.40721130371094, 191.15858459472656, 235.5399169921875 , 235.78639221191406, 234.31048583984375, 0.2852379083633423 , 0.28551623225212097, 0.2825649380683899 , 38.51266098022461  , 54.364349365234375, 54.014713287353516, 20.280067443847656  , 37.01735305786133 , 27.175321578979492, 17.346187591552734 , 27.06357765197754 , 39.25798034667969 , 0.5265818238258362 , 0.6809122562408447, 0.5031096339225769 , 2.7728264331817627, 2.6736984252929688, 2.4767391681671143, nan
 0.750,     0, 135.01943969726562 , 190.40721130371094, 191.15858459472656, 235.5399169921875 , 235.78639221191406, 234.31048583984375, 0.2852379083633423 , 0.28551623225212097, 0.2825649380683899 , 38.51266098022461  , 54.364349365234375, 54.014713287353516, 20.280067443847656  , 37.01735305786133 , 27.175321578979492, 17.346187591552734 , 27.06357765197754 , 39.25798034667969 , 0.5265818238258362 , 0.6809122562408447, 0.5031096339225769 , 2.7728264331817627, 2.6736984252929688, 2.4767391681671143, nan
 0.800,     0, 135.01943969726562 , 190.40721130371094, 191.15858459472656, 235.5399169921875 , 235.78639221191406, 234.31048583984375, 0.2852379083633423 , 0.28551623225212097, 0.2825649380683899 , 38.51266098022461  , 54.364349365234375, 54.014713287353516, 20.280067443847656  , 37.01735305786133 , 27.175321578979492, 17.346187591552734 , 27.06357765197754 , 39.25798034667969 , 0.5265818238258362 , 0.6809122562408447, 0.5031096339225769 , 2.7728264331817627, 2.6736984252929688, 2.4767391681671143, nan
 0.850,     0, 135.19927978515625 , 190.65699768066406, 191.925537109375  , 235.54551696777344, 235.79600524902344, 234.32937622070312, 0.28458935022354126, 0.2856360971927643 , 0.2805757522583008 , 38.47627639770508  , 54.458518981933594, 53.84965133666992 , 20.674013137817383  , 37.1741828918457  , 27.355388641357422, 16.76603889465332  , 26.973430633544922, 38.86376953125    , 0.5373184680938721 , 0.6826146245002747, 0.5079956650733948 , 2.7771823406219482, 2.6371235847473145, 2.4917702674865723, nan
 0.900,     0, 135.19927978515625 , 190.65699768066406, 191.925537109375  , 235.54551696777344, 235.79600524902344, 234.32937622070312, 0.28458935022354126, 0.2856360971927643 , 0.2805757522583008 , 38.47627639770508  , 54.458518981933594, 53.84965133666992 , 20.674013137817383  , 37.1741828918457  , 27.355388641357422, 16.76603889465332  , 26.973430633544922, 38.86376953125    , 0.5373184680938721 , 0.6826146245002747, 0.5079956650733948 , 2.7771823406219482, 2.6371235847473145, 2.4917702674865723, nan
 0.950,     0, 135.19927978515625 , 190.65699768066406, 191.925537109375  , 235.54551696777344, 235.79600524902344, 234.32937622070312, 0.28458935022354126, 0.2856360971927643 , 0.2805757522583008 , 38.47627639770508  , 54.458518981933594, 53.84965133666992 , 20.674013137817383  , 37.1741828918457  , 27.355388641357422, 16.76603889465332  , 26.973430633544922, 38.86376953125    , 0.5373184680938721 , 0.6826146245002747, 0.5079956650733948 , 2.7771823406219482, 2.6371235847473145, 2.4917702674865723, nan
