t+    , class, V_L1              , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3             , W_L1               , W_L2              , W_L3              , Q_L1                , Q_L2                , Q_L3               , PF_L1              , PF_L2              , PF_L3             , THD_L1            , THD_L2            , THD_L3
 0.000,     0, 100.05877685546875, 126.0420150756836 , 115.6823959350586 , 197.81663513183594, 197.13031005859375, 194.80953979492188, 0.1345464289188385 , 0.10480945557355881, 0.13574007153511047,  13.46255111694336 ,  13.210394859313965, 15.702736854553223,  10.542269706726074, 10.031994819641113, 13.297029495239258,   7.7017340660095215,   7.193981170654297 ,  7.619252681732178 , 0.7830811142921448 , 0.7594015598297119 , 0.8467969298362732, 6.0312089920043945, 5.679872035980225 , 4.829986572265625 , nan
 0.050,     0, 100.05877685546875, 126.0420150756836 , 115.6823959350586 , 197.81663513183594, 197.13031005859375, 194.80953979492188, 0.1345464289188385 , 0.10480945557355881, 0.13574007153511047,  13.46255111694336 ,  13.210394859313965, 15.702736854553223,  10.542269706726074, 10.031994819641113, 13.297029495239258,   7.7017340660095215,   7.193981170654297 ,  7.619252681732178 , 0.7830811142921448 , 0.7594015598297119 , 0.8467969298362732, 6.0312089920043945, 5.679872035980225 , 4.829986572265625 , nan
 0.100,     0, 100.05601501464844, 126.06007385253906, 115.70114135742188, 197.8266143798828 , 197.18682861328125, 194.80712890625   , 0.13531841337680817, 0.10541053861379623, 0.1361837387084961 ,  13.539421081542969,  13.288060188293457, 15.756613731384277,  10.554824829101562, 10.016951560974121, 13.30019474029541 ,   7.792330741882324 ,   7.296156883239746 ,  7.687956809997559 , 0.7795624732971191 , 0.7538309693336487 , 0.8441023826599121, 6.144966125488281 , 5.765570163726807 , 4.934647560119629 , nan
 0.150,     0, 100.05601501464844, 126.06007385253906, 115.70114135742188, 197.8266143798828 , 197.18682861328125, 194.80712890625   , 0.13531841337680817, 0.10541053861379623, 0.1361837387084961 ,  13.539421081542969,  13.288060188293457, 15.756613731384277,  10.554824829101562, 10.016951560974121, 13.30019474029541 ,   7.792330741882324 ,   7.296156883239746 ,  7.687956809997559 , 0.7795624732971191 , 0.7538309693336487 , 0.8441023826599121, 6.144966125488281 , 5.765570163726807 , 4.934647560119629 , nan
 0.200,     0, 100.05601501464844, 126.06007385253906, 115.70114135742188, 197.8266143798828 , 197.18682861328125, 194.80712890625   , 0.13531841337680817, 0.10541053861379623, 0.1361837387084961 ,  13.539421081542969,  13.288060188293457, 15.756613731384277,  10.554824829101562, 10.016951560974121, 13.30019474029541 ,   7.792330741882324 ,   7.296156883239746 ,  7.687956809997559 , 0.7795624732971191 , 0.7538309693336487 , 0.8441023826599121, 6.144966125488281 , 5.765570163726807 , 4.934647560119629 , nan
 0.250,     0, 100.05601501464844, 126.06007385253906, 115.70114135742188, 197.8266143798828 , 197.18682861328125, 194.80712890625   , 0.13531841337680817, 0.10541053861379623, 0.1361837387084961 ,  13.539421081542969,  13.288060188293457, 15.756613731384277,  10.554824829101562, 10.016951560974121, 13.30019474029541 ,   7.792330741882324 ,   7.296156883239746 ,  7.687956809997559 , 0.7795624732971191 , 0.7538309693336487 , 0.8441023826599121, 6.144966125488281 , 5.765570163726807 , 4.934647560119629 , nan
 0.300,     0, 100.0296859741211 , 126.00646209716797, 115.6583251953125 , 197.75494384765625, 197.0953369140625 , 194.75205993652344, 0.13534961640834808, 0.10602737963199615, 0.13626180589199066,  13.538979530334473,  13.360135078430176, 15.759812355041504,  10.5507173538208  , 10.0361909866333  , 13.268580436706543,   7.776901721954346 ,   7.311727523803711 ,  7.70207405090332  , 0.7792845368385315 , 0.7512043118476868 , 0.8419250249862671, 6.112701892852783 , 5.7772016525268555, 4.9256272315979   , nan
 0.350,     0, 100.0296859741211 , 126.00646209716797, 115.6583251953125 , 197.75494384765625, 197.0953369140625 , 194.75205993652344, 0.13534961640834808, 0.10602737963199615, 0.13626180589199066,  13.538979530334473,  13.360135078430176, 15.759812355041504,  10.5507173538208  , 10.0361909866333  , 13.268580436706543,   7.776901721954346 ,   7.311727523803711 ,  7.70207405090332  , 0.7792845368385315 , 0.7512043118476868 , 0.8419250249862671, 6.112701892852783 , 5.7772016525268555, 4.9256272315979   , nan
 0.400,     0, 100.0296859741211 , 126.00646209716797, 115.6583251953125 , 197.75494384765625, 197.0953369140625 , 194.75205993652344, 0.13534961640834808, 0.10602737963199615, 0.13626180589199066,  13.538979530334473,  13.360135078430176, 15.759812355041504,  10.5507173538208  , 10.0361909866333  , 13.268580436706543,   7.776901721954346 ,   7.311727523803711 ,  7.70207405090332  , 0.7792845368385315 , 0.7512043118476868 , 0.8419250249862671, 6.112701892852783 , 5.7772016525268555, 4.9256272315979   , nan
 0.450,     0, 100.0296859741211 , 126.00646209716797, 115.6583251953125 , 197.75494384765625, 197.0953369140625 , 194.75205993652344, 0.13534961640834808, 0.10602737963199615, 0.13626180589199066,  13.538979530334473,  13.360135078430176, 15.759812355041504,  10.5507173538208  , 10.0361909866333  , 13.268580436706543,   7.776901721954346 ,   7.311727523803711 ,  7.70207405090332  , 0.7792845368385315 , 0.7512043118476868 , 0.8419250249862671, 6.112701892852783 , 5.7772016525268555, 4.9256272315979   , nan
 0.500,     0, 100.00809478759766, 126.05963134765625, 115.6585464477539 , 197.80064392089844, 197.16110229492188, 194.70567321777344, 0.13585138320922852, 0.10607591271400452, 0.1359059065580368 ,  13.586237907409668,  13.3718900680542  , 15.718679428100586,  10.601731300354004, 10.006817817687988, 13.236587524414062,   7.792137145996094 ,   7.398963451385498 ,  7.655721187591553 , 0.7803286910057068 , 0.748347282409668  , 0.8420928716659546, 6.205825328826904 , 5.804633140563965 , 4.930362224578857 , nan
 0.550,     0, 100.00809478759766, 126.05963134765625, 115.6585464477539 , 197.80064392089844, 197.16110229492188, 194.70567321777344, 0.13585138320922852, 0.10607591271400452, 0.1359059065580368 ,  13.586237907409668,  13.3718900680542  , 15.718679428100586,  10.601731300354004, 10.006817817687988, 13.236587524414062,   7.792137145996094 ,   7.398963451385498 ,  7.655721187591553 , 0.7803286910057068 , 0.748347282409668  , 0.8420928716659546, 6.205825328826904 , 5.804633140563965 , 4.930362224578857 , nan
 0.600,     0, 100.00809478759766, 126.05963134765625, 115.6585464477539 , 197.80064392089844, 197.16110229492188, 194.70567321777344, 0.13585138320922852, 0.10607591271400452, 0.1359059065580368 ,  13.586237907409668,  13.3718900680542  , 15.718679428100586,  10.601731300354004, 10.006817817687988, 13.236587524414062,   7.792137145996094 ,   7.398963451385498 ,  7.655721187591553 , 0.7803286910057068 , 0.748347282409668  , 0.8420928716659546, 6.205825328826904 , 5.804633140563965 , 4.930362224578857 , nan
 0.650,     0, 100.00809478759766, 126.05963134765625, 115.6585464477539 , 197.80064392089844, 197.16110229492188, 194.70567321777344, 0.13585138320922852, 0.10607591271400452, 0.1359059065580368 ,  13.586237907409668,  13.3718900680542  , 15.718679428100586,  10.601731300354004, 10.006817817687988, 13.236587524414062,   7.792137145996094 ,   7.398963451385498 ,  7.655721187591553 , 0.7803286910057068 , 0.748347282409668  , 0.8420928716659546, 6.205825328826904 , 5.804633140563965 , 4.930362224578857 , nan
 0.700,     0, 100.01158142089844, 126.05109405517578, 115.67346954345703, 197.7926483154297 , 197.1564178466797 , 194.73289489746094, 0.13404637575149536, 0.10653682053089142, 0.1352490484714508 ,  13.406189918518066,  13.429082870483398, 15.644726753234863,  10.527091979980469, 10.175460815429688, 13.124715805053711,   7.592162132263184 ,   7.321149826049805 ,  7.698661804199219 , 0.7852411270141602 , 0.7577182054519653 , 0.8389226794242859, 6.224929332733154 , 5.834280967712402 , 4.902820110321045 , nan
 0.750,     0, 100.01158142089844, 126.05109405517578, 115.67346954345703, 197.7926483154297 , 197.1564178466797 , 194.73289489746094, 0.13404637575149536, 0.10653682053089142, 0.1352490484714508 ,  13.406189918518066,  13.429082870483398, 15.644726753234863,  10.527091979980469, 10.175460815429688, 13.124715805053711,   7.592162132263184 ,   7.321149826049805 ,  7.698661804199219 , 0.7852411270141602 , 0.7577182054519653 , 0.8389226794242859, 6.224929332733154 , 5.834280967712402 , 4.902820110321045 , nan
 0.800,     0, 100.01158142089844, 126.05109405517578, 115.67346954345703, 197.7926483154297 , 197.1564178466797 , 194.73289489746094, 0.13404637575149536, 0.10653682053089142, 0.1352490484714508 ,  13.406189918518066,  13.429082870483398, 15.644726753234863,  10.527091979980469, 10.175460815429688, 13.124715805053711,   7.592162132263184 ,   7.321149826049805 ,  7.698661804199219 , 0.7852411270141602 , 0.7577182054519653 , 0.8389226794242859, 6.224929332733154 , 5.834280967712402 , 4.902820110321045 , nan
 0.850,     0, 100.01158142089844, 126.05109405517578, 115.67346954345703, 197.7926483154297 , 197.1564178466797 , 194.73289489746094, 0.13404637575149536, 0.10653682053089142, 0.1352490484714508 ,  13.406189918518066,  13.429082870483398, 15.644726753234863,  10.527091979980469, 10.175460815429688, 13.124715805053711,   7.592162132263184 ,   7.321149826049805 ,  7.698661804199219 , 0.7852411270141602 , 0.7577182054519653 , 0.8389226794242859, 6.224929332733154 , 5.834280967712402 , 4.902820110321045 , nan
 0.900,     0, 100.00799560546875, 126.07719421386719, 115.67552947998047, 197.8224334716797 , 197.20579528808594, 194.7060546875    , 0.13434754312038422, 0.1065598651766777 , 0.135825976729393  ,  13.43582820892334 ,  13.434768676757812, 15.71174144744873 ,  10.549670219421387, 10.218029022216797, 13.182905197143555,   7.619503974914551 ,   7.316392421722412 ,  7.728250026702881 , 0.7851894497871399 , 0.7605660557746887 , 0.8390479683876038, 6.261012554168701 , 5.829240322113037 , 4.963713645935059 , nan
 0.950,     0, 100.00799560546875, 126.07719421386719, 115.67552947998047, 197.8224334716797 , 197.20579528808594, 194.7060546875    , 0.13434754312038422, 0.1065598651766777 , 0.135825976729393  ,  13.43582820892334 ,  13.434768676757812, 15.71174144744873 ,  10.549670219421387, 10.218029022216797, 13.182905197143555,   7.619503974914551 ,   7.316392421722412 ,  7.728250026702881 , 0.7851894497871399 , 0.7605660557746887 , 0.8390479683876038, 6.261012554168701 , 5.829240322113037 , 4.963713645935059 , nan
