t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,100.10444641113281,125.76508331298828,115.39142608642578,197.54953002929688,197.00140380859375,194.42745971679688,0.13178396224975586,0.10362495481967926,0.13310770690441132,13.192160606384277,13.032401084899902,15.359488487243652,10.628307342529297,10.276329040527344,13.184029579162598,7.232845306396484,6.95607328414917,7.28591775894165,0.8056532740592957,0.7885215282440186,0.8583638668060303,5.94126033782959,5.477380275726318,4.641053676605225,nan
0.050,0,100.10444641113281,125.76508331298828,115.39142608642578,197.54953002929688,197.00140380859375,194.42745971679688,0.13178396224975586,0.10362495481967926,0.13310770690441132,13.192160606384277,13.032401084899902,15.359488487243652,10.628307342529297,10.276329040527344,13.184029579162598,7.232845306396484,6.95607328414917,7.28591775894165,0.8056532740592957,0.7885215282440186,0.8583638668060303,5.94126033782959,5.477380275726318,4.641053676605225,nan
0.100,0,100.1458740234375,125.71533203125,115.44295501708984,197.52822875976562,196.99221801757812,194.52915954589844,0.13204927742481232,0.10437731444835663,0.13427917659282684,13.224190711975098,13.12182903289795,15.501585006713867,10.58681583404541,10.31113052368164,13.242278099060059,7.3236236572265625,6.955763339996338,7.4222612380981445,0.8005643486976624,0.7857998013496399,0.8542531728744507,6.054900169372559,5.554095268249512,4.754027366638184,nan
0.150,0,100.1458740234375,125.71533203125,115.44295501708984,197.52822875976562,196.99221801757812,194.52915954589844,0.13204927742481232,0.10437731444835663,0.13427917659282684,13.224190711975098,13.12182903289795,15.501585006713867,10.58681583404541,10.31113052368164,13.242278099060059,7.3236236572265625,6.955763339996338,7.4222612380981445,0.8005643486976624,0.7857998013496399,0.8542531728744507,6.054900169372559,5.554095268249512,4.754027366638184,nan
0.200,0,100.1458740234375,125.71533203125,115.44295501708984,197.52822875976562,196.99221801757812,194.52915954589844,0.13204927742481232,0.10437731444835663,0.13427917659282684,13.224190711975098,13.12182903289795,15.501585006713867,10.58681583404541,10.31113052368164,13.242278099060059,7.3236236572265625,6.955763339996338,7.4222612380981445,0.8005643486976624,0.7857998013496399,0.8542531728744507,6.054900169372559,5.554095268249512,4.754027366638184,nan
0.250,0,100.1458740234375,125.71533203125,115.44295501708984,197.52822875976562,196.99221801757812,194.52915954589844,0.13204927742481232,0.10437731444835663,0.13427917659282684,13.224190711975098,13.12182903289795,15.501585006713867,10.58681583404541,10.31113052368164,13.242278099060059,7.3236236572265625,6.955763339996338,7.4222612380981445,0.8005643486976624,0.7857998013496399,0.8542531728744507,6.054900169372559,5.554095268249512,4.754027366638184,nan
0.300,0,100.1029281616211,125.7183609008789,115.44587707519531,197.49696350097656,197.02755737304688,194.46958923339844,0.1328463852405548,0.10423959046602249,0.1345716267824173,13.298312187194824,13.104830741882324,15.53573989868164,10.610182762145996,10.23409652709961,13.274943351745605,7.412723541259766,7.015499114990234,7.412875175476074,0.7978593707084656,0.7809407711029053,0.8544777035713196,6.15364408493042,5.622219085693359,4.891576766967773,nan
0.350,0,100.1029281616211,125.7183609008789,115.44587707519531,197.49696350097656,197.02755737304688,194.46958923339844,0.1328463852405548,0.10423959046602249,0.1345716267824173,13.298312187194824,13.104830741882324,15.53573989868164,10.610182762145996,10.23409652709961,13.274943351745605,7.412723541259766,7.015499114990234,7.412875175476074,0.7978593707084656,0.7809407711029053,0.8544777035713196,6.15364408493042,5.622219085693359,4.891576766967773,nan
0.400,0,100.1029281616211,125.7183609008789,115.44587707519531,197.49696350097656,197.02755737304688,194.46958923339844,0.1328463852405548,0.10423959046602249,0.1345716267824173,13.298312187194824,13.104830741882324,15.53573989868164,10.610182762145996,10.23409652709961,13.274943351745605,7.412723541259766,7.015499114990234,7.412875175476074,0.7978593707084656,0.7809407711029053,0.8544777035713196,6.15364408493042,5.622219085693359,4.891576766967773,nan
0.450,0,100.1029281616211,125.7183609008789,115.44587707519531,197.49696350097656,197.02755737304688,194.46958923339844,0.1328463852405548,0.10423959046602249,0.1345716267824173,13.298312187194824,13.104830741882324,15.53573989868164,10.610182762145996,10.23409652709961,13.274943351745605,7.412723541259766,7.015499114990234,7.412875175476074,0.7978593707084656,0.7809407711029053,0.8544777035713196,6.15364408493042,5.622219085693359,4.891576766967773,nan
0.500,0,100.1170654296875,125.6990737915039,115.44076538085938,197.47645568847656,197.0296630859375,194.4708709716797,0.13322992622852325,0.10489767789840698,0.1355278193950653,13.338589668273926,13.185541152954102,15.645435333251953,10.592108726501465,10.312620162963867,13.321605682373047,7.449947834014893,7.011113166809082,7.521273612976074,0.7940950989723206,0.7821158170700073,0.8514691591262817,6.132801532745361,5.592257022857666,4.9522385597229,nan
0.550,0,100.1170654296875,125.6990737915039,115.44076538085938,197.47645568847656,197.0296630859375,194.4708709716797,0.13322992622852325,0.10489767789840698,0.1355278193950653,13.338589668273926,13.185541152954102,15.645435333251953,10.592108726501465,10.312620162963867,13.321605682373047,7.449947834014893,7.011113166809082,7.521273612976074,0.7940950989723206,0.7821158170700073,0.8514691591262817,6.132801532745361,5.592257022857666,4.9522385597229,nan
0.600,0,100.1170654296875,125.6990737915039,115.44076538085938,197.47645568847656,197.0296630859375,194.4708709716797,0.13322992622852325,0.10489767789840698,0.1355278193950653,13.338589668273926,13.185541152954102,15.645435333251953,10.592108726501465,10.312620162963867,13.321605682373047,7.449947834014893,7.011113166809082,7.521273612976074,0.7940950989723206,0.7821158170700073,0.8514691591262817,6.132801532745361,5.592257022857666,4.9522385597229,nan
0.650,0,100.1170654296875,125.6990737915039,115.44076538085938,197.47645568847656,197.0296630859375,194.4708709716797,0.13322992622852325,0.10489767789840698,0.1355278193950653,13.338589668273926,13.185541152954102,15.645435333251953,10.592108726501465,10.312620162963867,13.321605682373047,7.449947834014893,7.011113166809082,7.521273612976074,0.7940950989723206,0.7821158170700073,0.8514691591262817,6.132801532745361,5.592257022857666,4.9522385597229,nan
0.700,0,100.09363555908203,125.67308807373047,115.3828125,197.42262268066406,196.98941040039062,194.38174438476562,0.1328880786895752,0.104843370616436,0.13495859503746033,13.301250457763672,13.175990104675293,15.57190227508545,10.58547306060791,10.281235694885254,13.281160354614258,7.401639461517334,6.990868091583252,7.448427677154541,0.7958254218101501,0.7803007960319519,0.8528926372528076,6.053090572357178,5.5927205085754395,4.949999809265137,nan
0.750,0,100.09363555908203,125.67308807373047,115.3828125,197.42262268066406,196.98941040039062,194.38174438476562,0.1328880786895752,0.104843370616436,0.13495859503746033,13.301250457763672,13.175990104675293,15.57190227508545,10.58547306060791,10.281235694885254,13.281160354614258,7.401639461517334,6.990868091583252,7.448427677154541,0.7958254218101501,0.7803007960319519,0.8528926372528076,6.053090572357178,5.5927205085754395,4.949999809265137,nan
0.800,0,100.09363555908203,125.67308807373047,115.3828125,197.42262268066406,196.98941040039062,194.38174438476562,0.1328880786895752,0.104843370616436,0.13495859503746033,13.301250457763672,13.175990104675293,15.57190227508545,10.58547306060791,10.281235694885254,13.281160354614258,7.401639461517334,6.990868091583252,7.448427677154541,0.7958254218101501,0.7803007960319519,0.8528926372528076,6.053090572357178,5.5927205085754395,4.949999809265137,nan
0.850,0,100.09363555908203,125.67308807373047,115.3828125,197.42262268066406,196.98941040039062,194.38174438476562,0.1328880786895752,0.104843370616436,0.13495859503746033,13.301250457763672,13.175990104675293,15.57190227508545,10.58547306060791,10.281235694885254,13.281160354614258,7.401639461517334,6.990868091583252,7.448427677154541,0.7958254218101501,0.7803007960319519,0.8528926372528076,6.053090572357178,5.5927205085754395,4.949999809265137,nan
0.900,0,100.10005187988281,125.7409439086914,115.35515594482422,197.50083923339844,197.0324249267578,194.33970642089844,0.13380561769008636,0.10502598434686661,0.13615682721138,13.393949508666992,13.206066131591797,15.706392288208008,10.542865753173828,10.202034950256348,13.327092170715332,7.556896209716797,7.029802322387695,7.534925937652588,0.787136435508728,0.7725264430046082,0.8485139012336731,6.105242729187012,5.671962261199951,4.990331649780273,nan
0.950,0,100.10005187988281,125.7409439086914,115.35515594482422,197.50083923339844,197.0324249267578,194.33970642089844,0.13380561769008636,0.10502598434686661,0.13615682721138,13.393949508666992,13.206066131591797,15.706392288208008,10.542865753173828,10.202034950256348,13.327092170715332,7.556896209716797,7.029802322387695,7.534925937652588,0.787136435508728,0.7725264430046082,0.8485139012336731,6.105242729187012,5.671962261199951,4.990331649780273,nan
1.000,0,100.10005187988281,125.7409439086914,115.35515594482422,197.50083923339844,197.0324249267578,194.33970642089844,0.13380561769008636,0.10502598434686661,0.13615682721138,13.393949508666992,13.206066131591797,15.706392288208008,10.542865753173828,10.202034950256348,13.327092170715332,7.556896209716797,7.029802322387695,7.534925937652588,0.787136435508728,0.7725264430046082,0.8485139012336731,6.105242729187012,5.671962261199951,4.990331649780273,nan
1.050,0,100.10005187988281,125.7409439086914,115.35515594482422,197.50083923339844,197.0324249267578,194.33970642089844,0.13380561769008636,0.10502598434686661,0.13615682721138,13.393949508666992,13.206066131591797,15.706392288208008,10.542865753173828,10.202034950256348,13.327092170715332,7.556896209716797,7.029802322387695,7.534925937652588,0.787136435508728,0.7725264430046082,0.8485139012336731,6.105242729187012,5.671962261199951,4.990331649780273,nan
1.100,0,100.14299011230469,125.70014190673828,115.38517761230469,197.47549438476562,196.9892578125,194.44578552246094,0.1339314579963684,0.10566557943820953,0.13661938905715942,13.412296295166016,13.282177925109863,15.7638521194458,10.60072135925293,10.28941535949707,13.355124473571777,7.5111002922058105,7.01708984375,7.551548004150391,0.7903733253479004,0.7746783494949341,0.8471993207931519,6.017677307128906,5.706650257110596,5.016933441162109,nan
1.150,0,100.14299011230469,125.70014190673828,115.38517761230469,197.47549438476562,196.9892578125,194.44578552246094,0.1339314579963684,0.10566557943820953,0.13661938905715942,13.412296295166016,13.282177925109863,15.7638521194458,10.60072135925293,10.28941535949707,13.355124473571777,7.5111002922058105,7.01708984375,7.551548004150391,0.7903733253479004,0.7746783494949341,0.8471993207931519,6.017677307128906,5.706650257110596,5.016933441162109,nan
1.200,0,100.14299011230469,125.70014190673828,115.38517761230469,197.47549438476562,196.9892578125,194.44578552246094,0.1339314579963684,0.10566557943820953,0.13661938905715942,13.412296295166016,13.282177925109863,15.7638521194458,10.60072135925293,10.28941535949707,13.355124473571777,7.5111002922058105,7.01708984375,7.551548004150391,0.7903733253479004,0.7746783494949341,0.8471993207931519,6.017677307128906,5.706650257110596,5.016933441162109,nan
1.250,0,100.14299011230469,125.70014190673828,115.38517761230469,197.47549438476562,196.9892578125,194.44578552246094,0.1339314579963684,0.10566557943820953,0.13661938905715942,13.412296295166016,13.282177925109863,15.7638521194458,10.60072135925293,10.28941535949707,13.355124473571777,7.5111002922058105,7.01708984375,7.551548004150391,0.7903733253479004,0.7746783494949341,0.8471993207931519,6.017677307128906,5.706650257110596,5.016933441162109,nan
1.300,0,100.14921569824219,125.76309204101562,115.3813705444336,197.5500946044922,197.033203125,194.44219970703125,0.13525858521461487,0.10618872195482254,0.1384664922952652,13.546041488647461,13.354621887207031,15.97645378112793,10.524375915527344,10.227978706359863,13.408487319946289,7.783071517944336,7.144185543060303,7.78780460357666,0.7769336700439453,0.7658755779266357,0.8392655253410339,6.030465602874756,5.730029582977295,4.895610332489014,nan
1.350,0,100.14921569824219,125.76309204101562,115.3813705444336,197.5500946044922,197.033203125,194.44219970703125,0.13525858521461487,0.10618872195482254,0.1384664922952652,13.546041488647461,13.354621887207031,15.97645378112793,10.524375915527344,10.227978706359863,13.408487319946289,7.783071517944336,7.144185543060303,7.78780460357666,0.7769336700439453,0.7658755779266357,0.8392655253410339,6.030465602874756,5.730029582977295,4.895610332489014,nan
1.400,0,100.14921569824219,125.76309204101562,115.3813705444336,197.5500946044922,197.033203125,194.44219970703125,0.13525858521461487,0.10618872195482254,0.1384664922952652,13.546041488647461,13.354621887207031,15.97645378112793,10.524375915527344,10.227978706359863,13.408487319946289,7.783071517944336,7.144185543060303,7.78780460357666,0.7769336700439453,0.7658755779266357,0.8392655253410339,6.030465602874756,5.730029582977295,4.895610332489014,nan
