t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L1,VA_L2,W_L1,W_L2,W_L1,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,140.32318115234375,195.307861328125,200.1541748046875,257.1888427734375,256.6086120605469,255.09423828125,0.5305073857307434,0.6218410134315491,0.5589247941970825,74.4424819946289,121.450439453125,111.87113189697266,-50.32329177856445,-80.75151062011719,-93.45317077636719,23.05144691467285,67.83839416503906,23.8179874420166,0.6760023236274719,0.6648926734924316,0.8353644609451294,4.764242649078369,4.364185333251953,3.8028836250305176,nan
0.020,0,140.32318115234375,195.307861328125,200.1541748046875,257.1888427734375,256.6086120605469,255.09423828125,0.5305073857307434,0.6218410134315491,0.5589247941970825,74.4424819946289,121.450439453125,111.87113189697266,-50.32329177856445,-80.75151062011719,-93.45317077636719,23.05144691467285,67.83839416503906,23.8179874420166,0.6760023236274719,0.6648926734924316,0.8353644609451294,4.764242649078369,4.364185333251953,3.8028836250305176,nan
0.040,0,140.32318115234375,195.307861328125,200.1541748046875,257.1888427734375,256.6086120605469,255.09423828125,0.5305073857307434,0.6218410134315491,0.5589247941970825,74.4424819946289,121.450439453125,111.87113189697266,-50.32329177856445,-80.75151062011719,-93.45317077636719,23.05144691467285,67.83839416503906,23.8179874420166,0.6760023236274719,0.6648926734924316,0.8353644609451294,4.764242649078369,4.364185333251953,3.8028836250305176,nan
0.060,0,140.32318115234375,195.307861328125,200.1541748046875,257.1888427734375,256.6086120605469,255.09423828125,0.5305073857307434,0.6218410134315491,0.5589247941970825,74.4424819946289,121.450439453125,111.87113189697266,-50.32329177856445,-80.75151062011719,-93.45317077636719,23.05144691467285,67.83839416503906,23.8179874420166,0.6760023236274719,0.6648926734924316,0.8353644609451294,4.764242649078369,4.364185333251953,3.8028836250305176,nan
0.080,0,140.32318115234375,195.307861328125,200.1541748046875,257.1888427734375,256.6086120605469,255.09423828125,0.5305073857307434,0.6218410134315491,0.5589247941970825,74.4424819946289,121.450439453125,111.87113189697266,-50.32329177856445,-80.75151062011719,-93.45317077636719,23.05144691467285,67.83839416503906,23.8179874420166,0.6760023236274719,0.6648926734924316,0.8353644609451294,4.764242649078369,4.364185333251953,3.8028836250305176,nan
0.100,0,140.27642822265625,195.3129425048828,200.2107696533203,257.2154846191406,256.63079833984375,255.10545349121094,0.5267232656478882,0.6200546622276306,0.5572821497917175,73.88685607910156,121.10469818115234,111.57389068603516,-49.979148864746094,-80.30046844482422,-93.5960922241211,22.51804542541504,67.52591705322266,23.658872604370117,0.6764281392097473,0.6630665063858032,0.8388709425926208,4.78278112411499,4.366975784301758,3.8578429222106934,nan
0.120,0,140.27642822265625,195.3129425048828,200.2107696533203,257.2154846191406,256.63079833984375,255.10545349121094,0.5267232656478882,0.6200546622276306,0.5572821497917175,73.88685607910156,121.10469818115234,111.57389068603516,-49.979148864746094,-80.30046844482422,-93.5960922241211,22.51804542541504,67.52591705322266,23.658872604370117,0.6764281392097473,0.6630665063858032,0.8388709425926208,4.78278112411499,4.366975784301758,3.8578429222106934,nan
0.140,0,140.27642822265625,195.3129425048828,200.2107696533203,257.2154846191406,256.63079833984375,255.10545349121094,0.5267232656478882,0.6200546622276306,0.5572821497917175,73.88685607910156,121.10469818115234,111.57389068603516,-49.979148864746094,-80.30046844482422,-93.5960922241211,22.51804542541504,67.52591705322266,23.658872604370117,0.6764281392097473,0.6630665063858032,0.8388709425926208,4.78278112411499,4.366975784301758,3.8578429222106934,nan
0.160,0,140.27642822265625,195.3129425048828,200.2107696533203,257.2154846191406,256.63079833984375,255.10545349121094,0.5267232656478882,0.6200546622276306,0.5572821497917175,73.88685607910156,121.10469818115234,111.57389068603516,-49.979148864746094,-80.30046844482422,-93.5960922241211,22.51804542541504,67.52591705322266,23.658872604370117,0.6764281392097473,0.6630665063858032,0.8388709425926208,4.78278112411499,4.366975784301758,3.8578429222106934,nan
0.180,0,140.27642822265625,195.3129425048828,200.2107696533203,257.2154846191406,256.63079833984375,255.10545349121094,0.5267232656478882,0.6200546622276306,0.5572821497917175,73.88685607910156,121.10469818115234,111.57389068603516,-49.979148864746094,-80.30046844482422,-93.5960922241211,22.51804542541504,67.52591705322266,23.658872604370117,0.6764281392097473,0.6630665063858032,0.8388709425926208,4.78278112411499,4.366975784301758,3.8578429222106934,nan
