t+    , class, V_L1              , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3             , W_L1               , W_L2               , W_L3              , Q_L1                , Q_L2                , Q_L3              , PF_L1             , PF_L2                , PF_L3             , THD_L1            , THD_L2            , THD_L3
 0.000,     0, 100.04312896728516, 126.14594268798828, 115.69828033447266, 197.9349365234375 , 197.2290496826172 , 194.776123046875  , 0.13389761745929718, 0.10449781268835068, 0.1343451291322708 ,  13.395536422729492,  13.181975364685059, 15.543499946594238,  10.474414825439453, 9.90876579284668   , 13.134536743164062,   7.722287178039551 ,   7.3118767738342285, 7.6062469482421875, 0.7819331884384155, 0.7516905069351196   , 0.8450179696083069, 5.977065563201904 , 5.652333736419678 , 4.741124629974365 , nan
 0.050,     0, 100.04312896728516, 126.14594268798828, 115.69828033447266, 197.9349365234375 , 197.2290496826172 , 194.776123046875  , 0.13389761745929718, 0.10449781268835068, 0.1343451291322708 ,  13.395536422729492,  13.181975364685059, 15.543499946594238,  10.474414825439453, 9.90876579284668   , 13.134536743164062,   7.722287178039551 ,   7.3118767738342285, 7.6062469482421875, 0.7819331884384155, 0.7516905069351196   , 0.8450179696083069, 5.977065563201904 , 5.652333736419678 , 4.741124629974365 , nan
 0.100,     0, 100.04312896728516, 126.14594268798828, 115.69828033447266, 197.9349365234375 , 197.2290496826172 , 194.776123046875  , 0.13389761745929718, 0.10449781268835068, 0.1343451291322708 ,  13.395536422729492,  13.181975364685059, 15.543499946594238,  10.474414825439453, 9.90876579284668   , 13.134536743164062,   7.722287178039551 ,   7.3118767738342285, 7.6062469482421875, 0.7819331884384155, 0.7516905069351196   , 0.8450179696083069, 5.977065563201904 , 5.652333736419678 , 4.741124629974365 , nan
 0.150,     0, 100.05596923828125, 126.15438842773438, 115.70203399658203, 197.95957946777344, 197.22555541992188, 194.79550170898438, 0.1347309648990631 , 0.10662622004747391, 0.1360252946615219 ,  13.480637550354004,  13.45136547088623 , 15.7384033203125  ,  10.420090675354004, 10.003386497497559 , 13.10798454284668 ,   7.819920539855957 ,   7.430995941162109 , 7.842488765716553 , 0.7729672193527222, 0.7436707019805908   , 0.8328662514686584, 6.021360874176025 , 5.670362949371338 , 4.771754264831543 , nan
 0.200,     0, 100.05596923828125, 126.15438842773438, 115.70203399658203, 197.95957946777344, 197.22555541992188, 194.79550170898438, 0.1347309648990631 , 0.10662622004747391, 0.1360252946615219 ,  13.480637550354004,  13.45136547088623 , 15.7384033203125  ,  10.420090675354004, 10.003386497497559 , 13.10798454284668 ,   7.819920539855957 ,   7.430995941162109 , 7.842488765716553 , 0.7729672193527222, 0.7436707019805908   , 0.8328662514686584, 6.021360874176025 , 5.670362949371338 , 4.771754264831543 , nan
 0.250,     0, 100.05596923828125, 126.15438842773438, 115.70203399658203, 197.95957946777344, 197.22555541992188, 194.79550170898438, 0.1347309648990631 , 0.10662622004747391, 0.1360252946615219 ,  13.480637550354004,  13.45136547088623 , 15.7384033203125  ,  10.420090675354004, 10.003386497497559 , 13.10798454284668 ,   7.819920539855957 ,   7.430995941162109 , 7.842488765716553 , 0.7729672193527222, 0.7436707019805908   , 0.8328662514686584, 6.021360874176025 , 5.670362949371338 , 4.771754264831543 , nan
 0.300,     0, 100.05596923828125, 126.15438842773438, 115.70203399658203, 197.95957946777344, 197.22555541992188, 194.79550170898438, 0.1347309648990631 , 0.10662622004747391, 0.1360252946615219 ,  13.480637550354004,  13.45136547088623 , 15.7384033203125  ,  10.420090675354004, 10.003386497497559 , 13.10798454284668 ,   7.819920539855957 ,   7.430995941162109 , 7.842488765716553 , 0.7729672193527222, 0.7436707019805908   , 0.8328662514686584, 6.021360874176025 , 5.670362949371338 , 4.771754264831543 , nan
 0.350,     0, 100.05602264404297, 126.19535827636719, 115.71208953857422, 198.00828552246094, 197.28219604492188, 194.7856903076172 , 0.1351274847984314 , 0.10577882081270218, 0.13547459244728088,  13.520318984985352,  13.348795890808105, 15.676048278808594,  10.440037727355957, 9.905813217163086  , 13.144009590148926,   7.85856819152832  ,   7.417230606079102 , 7.75346565246582  , 0.7721739411354065, 0.7420753836631775   , 0.8384772539138794, 6.0316948890686035, 5.641449928283691 , 4.754631042480469 , nan
 0.400,     0, 100.05602264404297, 126.19535827636719, 115.71208953857422, 198.00828552246094, 197.28219604492188, 194.7856903076172 , 0.1351274847984314 , 0.10577882081270218, 0.13547459244728088,  13.520318984985352,  13.348795890808105, 15.676048278808594,  10.440037727355957, 9.905813217163086  , 13.144009590148926,   7.85856819152832  ,   7.417230606079102 , 7.75346565246582  , 0.7721739411354065, 0.7420753836631775   , 0.8384772539138794, 6.0316948890686035, 5.641449928283691 , 4.754631042480469 , nan
 0.450,     0, 100.05602264404297, 126.19535827636719, 115.71208953857422, 198.00828552246094, 197.28219604492188, 194.7856903076172 , 0.1351274847984314 , 0.10577882081270218, 0.13547459244728088,  13.520318984985352,  13.348795890808105, 15.676048278808594,  10.440037727355957, 9.905813217163086  , 13.144009590148926,   7.85856819152832  ,   7.417230606079102 , 7.75346565246582  , 0.7721739411354065, 0.7420753836631775   , 0.8384772539138794, 6.0316948890686035, 5.641449928283691 , 4.754631042480469 , nan
