t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,102.6728515625,128.01878356933594,118.34609985351562,201.30410766601562,201.6962432861328,199.49856567382812,0.4495512843132019,0.4661311209201813,0.5032961368560791,46.15671157836914,59.67353820800781,59.563133239746094,-44.60157775878906,-55.220455169677734,-58.35506057739258,6.342860698699951,18.616607666015625,2.934678077697754,0.966307520866394,0.9253759384155273,0.9797177910804749,5.105452537536621,5.065890312194824,4.136609077453613,nan
0.050,0,102.75208282470703,128.0116729736328,118.45913696289062,201.4030303955078,201.7990264892578,199.6358184814453,0.45522770285606384,0.47463980317115784,0.5118545889854431,46.77559280395508,60.75943374633789,60.633853912353516,-45.082359313964844,-55.974308013916016,-59.26826477050781,6.7273712158203125,19.397480010986328,3.2546846866607666,0.9638009071350098,0.921244740486145,0.9774780869483948,5.205552101135254,5.0404205322265625,4.1327996253967285,nan
0.100,0,102.75208282470703,128.0116729736328,118.45913696289062,201.4030303955078,201.7990264892578,199.6358184814453,0.45522770285606384,0.47463980317115784,0.5118545889854431,46.77559280395508,60.75943374633789,60.633853912353516,-45.082359313964844,-55.974308013916016,-59.26826477050781,6.7273712158203125,19.397480010986328,3.2546846866607666,0.9638009071350098,0.921244740486145,0.9774780869483948,5.205552101135254,5.0404205322265625,4.1327996253967285,nan
0.150,0,102.75208282470703,128.0116729736328,118.45913696289062,201.4030303955078,201.7990264892578,199.6358184814453,0.45522770285606384,0.47463980317115784,0.5118545889854431,46.77559280395508,60.75943374633789,60.633853912353516,-45.082359313964844,-55.974308013916016,-59.26826477050781,6.7273712158203125,19.397480010986328,3.2546846866607666,0.9638009071350098,0.921244740486145,0.9774780869483948,5.205552101135254,5.0404205322265625,4.1327996253967285,nan
0.200,0,102.75208282470703,128.0116729736328,118.45913696289062,201.4030303955078,201.7990264892578,199.6358184814453,0.45522770285606384,0.47463980317115784,0.5118545889854431,46.77559280395508,60.75943374633789,60.633853912353516,-45.082359313964844,-55.974308013916016,-59.26826477050781,6.7273712158203125,19.397480010986328,3.2546846866607666,0.9638009071350098,0.921244740486145,0.9774780869483948,5.205552101135254,5.0404205322265625,4.1327996253967285,nan
0.250,0,102.71784210205078,128.06784057617188,118.41047668457031,201.3861846923828,201.8349609375,199.5655059814453,0.4494636654853821,0.4688872694969177,0.5069514513015747,46.167938232421875,60.049381256103516,60.02836227416992,-44.757537841796875,-55.76662063598633,-58.94552230834961,5.7792792320251465,18.379892349243164,2.1726396083831787,0.9694506525993347,0.928679347038269,0.981961190700531,5.111904621124268,5.079250812530518,4.169831275939941,nan
0.300,0,102.71784210205078,128.06784057617188,118.41047668457031,201.3861846923828,201.8349609375,199.5655059814453,0.4494636654853821,0.4688872694969177,0.5069514513015747,46.167938232421875,60.049381256103516,60.02836227416992,-44.757537841796875,-55.76662063598633,-58.94552230834961,5.7792792320251465,18.379892349243164,2.1726396083831787,0.9694506525993347,0.928679347038269,0.981961190700531,5.111904621124268,5.079250812530518,4.169831275939941,nan
0.350,0,102.71784210205078,128.06784057617188,118.41047668457031,201.3861846923828,201.8349609375,199.5655059814453,0.4494636654853821,0.4688872694969177,0.5069514513015747,46.167938232421875,60.049381256103516,60.02836227416992,-44.757537841796875,-55.76662063598633,-58.94552230834961,5.7792792320251465,18.379892349243164,2.1726396083831787,0.9694506525993347,0.928679347038269,0.981961190700531,5.111904621124268,5.079250812530518,4.169831275939941,nan
0.400,0,102.71784210205078,128.06784057617188,118.41047668457031,201.3861846923828,201.8349609375,199.5655059814453,0.4494636654853821,0.4688872694969177,0.5069514513015747,46.167938232421875,60.049381256103516,60.02836227416992,-44.757537841796875,-55.76662063598633,-58.94552230834961,5.7792792320251465,18.379892349243164,2.1726396083831787,0.9694506525993347,0.928679347038269,0.981961190700531,5.111904621124268,5.079250812530518,4.169831275939941,nan
0.450,0,102.68106079101562,128.06698608398438,118.41157531738281,201.4041748046875,201.77035522460938,199.54574584960938,0.4518686532974243,0.4726572036743164,0.5079267024993896,46.398353576660156,60.53178405761719,60.14440155029297,-44.73734664916992,-55.876766204833984,-58.82709503173828,6.730931758880615,19.232511520385742,2.977015495300293,0.9642011523246765,0.9230979681015015,0.9780976176261902,5.207627296447754,5.000322341918945,4.089286804199219,nan
