t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,102.5635757446289,128.2629852294922,118.65872192382812,201.55850219726562,201.97549438476562,199.70513916015625,0.45895248651504517,0.4740149974822998,0.5155482292175293,47.071807861328125,60.798580169677734,61.174293518066406,-45.4600830078125,-56.18850326538086,-59.849769592285156,5.954887866973877,18.871490478515625,2.7258102893829346,0.9657602906227112,0.9241746068000793,0.9783483743667603,5.160497665405273,5.080694675445557,4.072658538818359,nan
0.050,0,102.5118408203125,128.15882873535156,118.60121154785156,201.42576599121094,201.82711791992188,199.61463928222656,0.4508357346057892,0.4682636260986328,0.5098304152488708,46.215999603271484,60.01211929321289,60.46650314331055,-44.61490249633789,-55.25552749633789,-59.15717315673828,6.182863712310791,19.34285545349121,3.069460391998291,0.9653562307357788,0.920739471912384,0.9783461689949036,5.119688987731934,4.981733322143555,4.017548084259033,nan
0.100,0,102.5118408203125,128.15882873535156,118.60121154785156,201.42576599121094,201.82711791992188,199.61463928222656,0.4508357346057892,0.4682636260986328,0.5098304152488708,46.215999603271484,60.01211929321289,60.46650314331055,-44.61490249633789,-55.25552749633789,-59.15717315673828,6.182863712310791,19.34285545349121,3.069460391998291,0.9653562307357788,0.920739471912384,0.9783461689949036,5.119688987731934,4.981733322143555,4.017548084259033,nan
0.150,0,102.5118408203125,128.15882873535156,118.60121154785156,201.42576599121094,201.82711791992188,199.61463928222656,0.4508357346057892,0.4682636260986328,0.5098304152488708,46.215999603271484,60.01211929321289,60.46650314331055,-44.61490249633789,-55.25552749633789,-59.15717315673828,6.182863712310791,19.34285545349121,3.069460391998291,0.9653562307357788,0.920739471912384,0.9783461689949036,5.119688987731934,4.981733322143555,4.017548084259033,nan
0.200,0,102.5118408203125,128.15882873535156,118.60121154785156,201.42576599121094,201.82711791992188,199.61463928222656,0.4508357346057892,0.4682636260986328,0.5098304152488708,46.215999603271484,60.01211929321289,60.46650314331055,-44.61490249633789,-55.25552749633789,-59.15717315673828,6.182863712310791,19.34285545349121,3.069460391998291,0.9653562307357788,0.920739471912384,0.9783461689949036,5.119688987731934,4.981733322143555,4.017548084259033,nan
0.250,0,102.52027893066406,128.23890686035156,118.59955596923828,201.51246643066406,201.88587951660156,199.6148681640625,0.45723623037338257,0.47964170575141907,0.5163498520851135,46.87598419189453,61.50872802734375,61.23886489868164,-45.23003005981445,-56.73779296875,-59.90644454956055,6.23394250869751,19.25228500366211,2.3716683387756348,0.9648870229721069,0.9224348068237305,0.9782422184944153,5.122631072998047,5.012560844421387,4.019064903259277,nan
0.300,0,102.52027893066406,128.23890686035156,118.59955596923828,201.51246643066406,201.88587951660156,199.6148681640625,0.45723623037338257,0.47964170575141907,0.5163498520851135,46.87598419189453,61.50872802734375,61.23886489868164,-45.23003005981445,-56.73779296875,-59.90644454956055,6.23394250869751,19.25228500366211,2.3716683387756348,0.9648870229721069,0.9224348068237305,0.9782422184944153,5.122631072998047,5.012560844421387,4.019064903259277,nan
0.350,0,102.52027893066406,128.23890686035156,118.59955596923828,201.51246643066406,201.88587951660156,199.6148681640625,0.45723623037338257,0.47964170575141907,0.5163498520851135,46.87598419189453,61.50872802734375,61.23886489868164,-45.23003005981445,-56.73779296875,-59.90644454956055,6.23394250869751,19.25228500366211,2.3716683387756348,0.9648870229721069,0.9224348068237305,0.9782422184944153,5.122631072998047,5.012560844421387,4.019064903259277,nan
0.400,0,102.52027893066406,128.23890686035156,118.59955596923828,201.51246643066406,201.88587951660156,199.6148681640625,0.45723623037338257,0.47964170575141907,0.5163498520851135,46.87598419189453,61.50872802734375,61.23886489868164,-45.23003005981445,-56.73779296875,-59.90644454956055,6.23394250869751,19.25228500366211,2.3716683387756348,0.9648870229721069,0.9224348068237305,0.9782422184944153,5.122631072998047,5.012560844421387,4.019064903259277,nan
0.450,0,102.51118469238281,128.26626586914062,118.5988540649414,201.5360565185547,201.8716278076172,199.6260223388672,0.45891016721725464,0.47531363368034363,0.5134071111679077,47.043426513671875,60.966705322265625,60.889495849609375,-45.441162109375,-56.55385208129883,-59.62862014770508,6.032586097717285,18.61315155029297,2.3483383655548096,0.9659407138824463,0.9276186227798462,0.9792923927307129,5.1038641929626465,4.992269515991211,4.051750659942627,nan
