t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0.000,0,102.9471435546875,128.282470703125,119.05316925048828,201.90126037597656,201.9728546142578,200.59146118164062,0.4566672146320343,0.476827472448349,0.49493730068206787,47.0125846862793,61.16860580444336,58.92385482788086,-45.00985336303711,-56.758934020996094,-57.53864669799805,7.753688335418701,18.071340560913086,2.502103805541992,0.9574000835418701,0.9279095530509949,0.9764915704727173,5.53203010559082,5.429721832275391,4.472723007202148,nan
0.050,0,102.9471435546875,128.282470703125,119.05316925048828,201.90126037597656,201.9728546142578,200.59146118164062,0.4566672146320343,0.476827472448349,0.49493730068206787,47.0125846862793,61.16860580444336,58.92385482788086,-45.00985336303711,-56.758934020996094,-57.53864669799805,7.753688335418701,18.071340560913086,2.502103805541992,0.9574000835418701,0.9279095530509949,0.9764915704727173,5.53203010559082,5.429721832275391,4.472723007202148,nan
0.100,0,102.9471435546875,128.282470703125,119.05316925048828,201.90126037597656,201.9728546142578,200.59146118164062,0.4566672146320343,0.476827472448349,0.49493730068206787,47.0125846862793,61.16860580444336,58.92385482788086,-45.00985336303711,-56.758934020996094,-57.53864669799805,7.753688335418701,18.071340560913086,2.502103805541992,0.9574000835418701,0.9279095530509949,0.9764915704727173,5.53203010559082,5.429721832275391,4.472723007202148,nan
0.150,0,102.9471435546875,128.282470703125,119.05316925048828,201.90126037597656,201.9728546142578,200.59146118164062,0.4566672146320343,0.476827472448349,0.49493730068206787,47.0125846862793,61.16860580444336,58.92385482788086,-45.00985336303711,-56.758934020996094,-57.53864669799805,7.753688335418701,18.071340560913086,2.502103805541992,0.9574000835418701,0.9279095530509949,0.9764915704727173,5.53203010559082,5.429721832275391,4.472723007202148,nan
0.200,0,102.96105194091797,128.4036407470703,119.08460998535156,202.00880432128906,202.16506958007812,200.59967041015625,0.4600941240787506,0.478942334651947,0.5054866671562195,47.37177658081055,61.49794006347656,60.195682525634766,-45.58323669433594,-56.99679183959961,-58.98335266113281,7.3517746925354,18.758808135986328,2.808856964111328,0.9622446298599243,0.9268081188201904,0.9798601865768433,5.694511890411377,5.431785583496094,4.5153703689575195,nan
0.250,0,102.96105194091797,128.4036407470703,119.08460998535156,202.00880432128906,202.16506958007812,200.59967041015625,0.4600941240787506,0.478942334651947,0.5054866671562195,47.37177658081055,61.49794006347656,60.195682525634766,-45.58323669433594,-56.99679183959961,-58.98335266113281,7.3517746925354,18.758808135986328,2.808856964111328,0.9622446298599243,0.9268081188201904,0.9798601865768433,5.694511890411377,5.431785583496094,4.5153703689575195,nan
0.300,0,102.96105194091797,128.4036407470703,119.08460998535156,202.00880432128906,202.16506958007812,200.59967041015625,0.4600941240787506,0.478942334651947,0.5054866671562195,47.37177658081055,61.49794006347656,60.195682525634766,-45.58323669433594,-56.99679183959961,-58.98335266113281,7.3517746925354,18.758808135986328,2.808856964111328,0.9622446298599243,0.9268081188201904,0.9798601865768433,5.694511890411377,5.431785583496094,4.5153703689575195,nan
0.350,0,102.96105194091797,128.4036407470703,119.08460998535156,202.00880432128906,202.16506958007812,200.59967041015625,0.4600941240787506,0.478942334651947,0.5054866671562195,47.37177658081055,61.49794006347656,60.195682525634766,-45.58323669433594,-56.99679183959961,-58.98335266113281,7.3517746925354,18.758808135986328,2.808856964111328,0.9622446298599243,0.9268081188201904,0.9798601865768433,5.694511890411377,5.431785583496094,4.5153703689575195,nan
0.400,0,102.8810043334961,128.37506103515625,119.01476287841797,201.930419921875,202.12933349609375,200.42327880859375,0.44872134923934937,0.4725061058998108,0.49591124057769775,46.16490173339844,60.65800094604492,59.02075958251953,-44.258914947509766,-56.01628112792969,-57.71981430053711,7.661469459533691,19.083866119384766,2.869027614593506,0.9587135314941406,0.9234772324562073,0.9779578447341919,5.787187576293945,5.448387145996094,4.541294097900391,nan
0.450,0,102.8810043334961,128.37506103515625,119.01476287841797,201.930419921875,202.12933349609375,200.42327880859375,0.44872134923934937,0.4725061058998108,0.49591124057769775,46.16490173339844,60.65800094604492,59.02075958251953,-44.258914947509766,-56.01628112792969,-57.71981430053711,7.661469459533691,19.083866119384766,2.869027614593506,0.9587135314941406,0.9234772324562073,0.9779578447341919,5.787187576293945,5.448387145996094,4.541294097900391,nan
0.500,0,102.8810043334961,128.37506103515625,119.01476287841797,201.930419921875,202.12933349609375,200.42327880859375,0.44872134923934937,0.4725061058998108,0.49591124057769775,46.16490173339844,60.65800094604492,59.02075958251953,-44.258914947509766,-56.01628112792969,-57.71981430053711,7.661469459533691,19.083866119384766,2.869027614593506,0.9587135314941406,0.9234772324562073,0.9779578447341919,5.787187576293945,5.448387145996094,4.541294097900391,nan
0.550,0,102.8810043334961,128.37506103515625,119.01476287841797,201.930419921875,202.12933349609375,200.42327880859375,0.44872134923934937,0.4725061058998108,0.49591124057769775,46.16490173339844,60.65800094604492,59.02075958251953,-44.258914947509766,-56.01628112792969,-57.71981430053711,7.661469459533691,19.083866119384766,2.869027614593506,0.9587135314941406,0.9234772324562073,0.9779578447341919,5.787187576293945,5.448387145996094,4.541294097900391,nan
