t+    , class, V_L1               , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2             , VA_L3             , W_L1                , W_L2               , W_L3              , Q_L1               , Q_L2              , Q_L3              , PF_L1              , PF_L2              , PF_L3              , THD_L1            , THD_L2            , THD_L3
0,0,120.1118698,149.3288116,139.2425995,235.0697632,240.4183807,231.1712189,0.319433838,0.287057251,0.268610328,38.36779404,42.86591721,37.40200043,14.66597748,6.874277592,15.6564312,30.80183601,31.24852371,25.85008812,0.38224709,0.160366982,0.418598771,13.32131767,14.2517004,10.48027706
0.05,0,120.1118698,149.3288116,139.2425995,235.0697632,240.4183807,231.1712189,0.319433838,0.287057251,0.268610328,38.36779404,42.86591721,37.40200043,14.66597748,6.874277592,15.6564312,30.80183601,31.24852371,25.85008812,0.38224709,0.160366982,0.418598771,13.32131767,14.2517004,10.48027706
0.1,0,120.1118698,149.3288116,139.2425995,235.0697632,240.4183807,231.1712189,0.319433838,0.287057251,0.268610328,38.36779404,42.86591721,37.40200043,14.66597748,6.874277592,15.6564312,30.80183601,31.24852371,25.85008812,0.38224709,0.160366982,0.418598771,13.32131767,14.2517004,10.48027706
0.15,0,120.1118698,149.3288116,139.2425995,235.0697632,240.4183807,231.1712189,0.319433838,0.287057251,0.268610328,38.36779404,42.86591721,37.40200043,14.66597748,6.874277592,15.6564312,30.80183601,31.24852371,25.85008812,0.38224709,0.160366982,0.418598771,13.32131767,14.2517004,10.48027706
0.2,0,120.285614,149.3236084,139.2237549,235.1971893,240.3476868,231.3575134,0.315934718,0.283328056,0.265925258,38.00240326,42.3075676,37.02311325,14.67348385,6.956994534,15.61819649,30.40220261,30.83764839,25.49952698,0.386119902,0.164438531,0.421849906,13.12269115,14.02505779,10.41512871
0.25,0,120.285614,149.3236084,139.2237549,235.1971893,240.3476868,231.3575134,0.315934718,0.283328056,0.265925258,38.00240326,42.3075676,37.02311325,14.67348385,6.956994534,15.61819649,30.40220261,30.83764839,25.49952698,0.386119902,0.164438531,0.421849906,13.12269115,14.02505779,10.41512871
0.3,0,120.285614,149.3236084,139.2237549,235.1971893,240.3476868,231.3575134,0.315934718,0.283328056,0.265925258,38.00240326,42.3075676,37.02311325,14.67348385,6.956994534,15.61819649,30.40220261,30.83764839,25.49952698,0.386119902,0.164438531,0.421849906,13.12269115,14.02505779,10.41512871
0.35,0,120.285614,149.3236084,139.2237549,235.1971893,240.3476868,231.3575134,0.315934718,0.283328056,0.265925258,38.00240326,42.3075676,37.02311325,14.67348385,6.956994534,15.61819649,30.40220261,30.83764839,25.49952698,0.386119902,0.164438531,0.421849906,13.12269115,14.02505779,10.41512871
0.4,0,120.0834961,149.3806152,139.0683899,235.0380554,240.3385468,231.0258789,0.319201052,0.286194801,0.269414425,38.33078003,42.75195694,37.46702957,14.59229469,6.996558666,15.63450813,30.64728355,31.12352371,25.84598541,0.380693913,0.1636547,0.417287111,13.26347446,14.26001167,10.57635117
0.45,0,120.0834961,149.3806152,139.0683899,235.0380554,240.3385468,231.0258789,0.319201052,0.286194801,0.269414425,38.33078003,42.75195694,37.46702957,14.59229469,6.996558666,15.63450813,30.64728355,31.12352371,25.84598541,0.380693913,0.1636547,0.417287111,13.26347446,14.26001167,10.57635117
