t+    , class, V_L1               , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2             , VA_L3             , W_L1                , W_L2              , W_L3              , Q_L1               , Q_L2              , Q_L3              , PF_L1              , PF_L2             , PF_L3              , THD_L1            , THD_L2            , THD_L3
0,0,135.1261749,190.3808746,191.5234528,235.7461395,235.9511108,234.5456848,0.289263248,0.29329893,0.286495298,39.08703613,55.83850861,54.87056732,20.65248489,37.06734848,26.22053719,17.91166687,29.12214088,40.5638237,0.528371751,0.663831294,0.477861613,2.815372944,2.671076298,2.473041534
0.05,0,135.1035156,190.3697815,191.5228577,235.8466797,236.1963348,234.7533569,0.289943695,0.292936116,0.28620401,39.17241287,55.76618576,54.81460953,20.77372742,37.59771347,26.73832512,17.66775513,28.55559921,40.26700211,0.53031522,0.674202681,0.487795591,2.882100821,2.676164627,2.487303019
0.1,0,135.1035156,190.3697815,191.5228577,235.8466797,236.1963348,234.7533569,0.289943695,0.292936116,0.28620401,39.17241287,55.76618576,54.81460953,20.77372742,37.59771347,26.73832512,17.66775513,28.55559921,40.26700211,0.53031522,0.674202681,0.487795591,2.882100821,2.676164627,2.487303019
0.15,0,135.1035156,190.3697815,191.5228577,235.8466797,236.1963348,234.7533569,0.289943695,0.292936116,0.28620401,39.17241287,55.76618576,54.81460953,20.77372742,37.59771347,26.73832512,17.66775513,28.55559921,40.26700211,0.53031522,0.674202681,0.487795591,2.882100821,2.676164627,2.487303019
0.2,0,135.1035156,190.3697815,191.5228577,235.8466797,236.1963348,234.7533569,0.289943695,0.292936116,0.28620401,39.17241287,55.76618576,54.81460953,20.77372742,37.59771347,26.73832512,17.66775513,28.55559921,40.26700211,0.53031522,0.674202681,0.487795591,2.882100821,2.676164627,2.487303019
0.25,0,135.1850128,190.4739838,191.60112,235.8980408,236.1344604,234.6300201,0.287463307,0.29026401,0.284662813,38.86072922,55.28774261,54.54171371,20.28516579,36.62679672,26.20872688,18.05583382,28.79177856,40.41444778,0.521996558,0.662475884,0.480526268,2.775773287,2.596692085,2.436054468
0.3,0,135.1850128,190.4739838,191.60112,235.8980408,236.1344604,234.6300201,0.287463307,0.29026401,0.284662813,38.86072922,55.28774261,54.54171371,20.28516579,36.62679672,26.20872688,18.05583382,28.79177856,40.41444778,0.521996558,0.662475884,0.480526268,2.775773287,2.596692085,2.436054468
0.35,0,135.1850128,190.4739838,191.60112,235.8980408,236.1344604,234.6300201,0.287463307,0.29026401,0.284662813,38.86072922,55.28774261,54.54171371,20.28516579,36.62679672,26.20872688,18.05583382,28.79177856,40.41444778,0.521996558,0.662475884,0.480526268,2.775773287,2.596692085,2.436054468
0.4,0,135.1850128,190.4739838,191.60112,235.8980408,236.1344604,234.6300201,0.287463307,0.29026401,0.284662813,38.86072922,55.28774261,54.54171371,20.28516579,36.62679672,26.20872688,18.05583382,28.79177856,40.41444778,0.521996558,0.662475884,0.480526268,2.775773287,2.596692085,2.436054468
0.45,0,135.2811737,190.3713531,191.7309418,235.9460144,236.0927734,234.7757416,0.286941767,0.289679974,0.285507798,38.81781769,55.14677048,54.74068069,20.8510952,37.37967682,26.90501976,17.18396187,28.01942062,39.99443436,0.537152708,0.677821696,0.491499543,2.861680031,2.721044064,2.447528124
0.5,0,135.2811737,190.3713531,191.7309418,235.9460144,236.0927734,234.7757416,0.286941767,0.289679974,0.285507798,38.81781769,55.14677048,54.74068069,20.8510952,37.37967682,26.90501976,17.18396187,28.01942062,39.99443436,0.537152708,0.677821696,0.491499543,2.861680031,2.721044064,2.447528124
0.55,0,135.2811737,190.3713531,191.7309418,235.9460144,236.0927734,234.7757416,0.286941767,0.289679974,0.285507798,38.81781769,55.14677048,54.74068069,20.8510952,37.37967682,26.90501976,17.18396187,28.01942062,39.99443436,0.537152708,0.677821696,0.491499543,2.861680031,2.721044064,2.447528124
0.6,0,135.2811737,190.3713531,191.7309418,235.9460144,236.0927734,234.7757416,0.286941767,0.289679974,0.285507798,38.81781769,55.14677048,54.74068069,20.8510952,37.37967682,26.90501976,17.18396187,28.01942062,39.99443436,0.537152708,0.677821696,0.491499543,2.861680031,2.721044064,2.447528124
0.65,0,135.0194397,190.4072113,191.1585846,235.539917,235.7863922,234.3104858,0.285237908,0.285516232,0.282564938,38.51266098,54.36434937,54.01471329,20.28006744,37.01735306,27.17532158,17.34618759,27.06357765,39.25798035,0.526581824,0.680912256,0.503109634,2.772826433,2.673698425,2.476739168
0.7,0,135.0194397,190.4072113,191.1585846,235.539917,235.7863922,234.3104858,0.285237908,0.285516232,0.282564938,38.51266098,54.36434937,54.01471329,20.28006744,37.01735306,27.17532158,17.34618759,27.06357765,39.25798035,0.526581824,0.680912256,0.503109634,2.772826433,2.673698425,2.476739168
0.75,0,135.0194397,190.4072113,191.1585846,235.539917,235.7863922,234.3104858,0.285237908,0.285516232,0.282564938,38.51266098,54.36434937,54.01471329,20.28006744,37.01735306,27.17532158,17.34618759,27.06357765,39.25798035,0.526581824,0.680912256,0.503109634,2.772826433,2.673698425,2.476739168
0.8,0,135.0194397,190.4072113,191.1585846,235.539917,235.7863922,234.3104858,0.285237908,0.285516232,0.282564938,38.51266098,54.36434937,54.01471329,20.28006744,37.01735306,27.17532158,17.34618759,27.06357765,39.25798035,0.526581824,0.680912256,0.503109634,2.772826433,2.673698425,2.476739168
0.85,0,135.1992798,190.6569977,191.9255371,235.545517,235.7960052,234.3293762,0.28458935,0.285636097,0.280575752,38.4762764,54.45851898,53.84965134,20.67401314,37.17418289,27.35538864,16.76603889,26.97343063,38.86376953,0.537318468,0.682614625,0.507995665,2.777182341,2.637123585,2.491770267
0.9,0,135.1992798,190.6569977,191.9255371,235.545517,235.7960052,234.3293762,0.28458935,0.285636097,0.280575752,38.4762764,54.45851898,53.84965134,20.67401314,37.17418289,27.35538864,16.76603889,26.97343063,38.86376953,0.537318468,0.682614625,0.507995665,2.777182341,2.637123585,2.491770267
0.95,0,135.1992798,190.6569977,191.9255371,235.545517,235.7960052,234.3293762,0.28458935,0.285636097,0.280575752,38.4762764,54.45851898,53.84965134,20.67401314,37.17418289,27.35538864,16.76603889,26.97343063,38.86376953,0.537318468,0.682614625,0.507995665,2.777182341,2.637123585,2.491770267
1,0,135.1992798,190.6569977,191.9255371,235.545517,235.7960052,234.3293762,0.28458935,0.285636097,0.280575752,38.4762764,54.45851898,53.84965134,20.67401314,37.17418289,27.35538864,16.76603889,26.97343063,38.86376953,0.537318468,0.682614625,0.507995665,2.777182341,2.637123585,2.491770267
1.05,0,135.3365631,190.5109558,191.6378021,235.8092499,236.0352478,234.5973358,0.284362137,0.286394447,0.281670421,38.48459244,54.5612793,53.97869873,20.72465515,37.49592972,27.55307579,16.50945663,26.77472115,38.91859436,0.53851825,0.687225997,0.510443509,2.882557154,2.64958787,2.493690968
1.1,0,135.3365631,190.5109558,191.6378021,235.8092499,236.0352478,234.5973358,0.284362137,0.286394447,0.281670421,38.48459244,54.5612793,53.97869873,20.72465515,37.49592972,27.55307579,16.50945663,26.77472115,38.91859436,0.53851825,0.687225997,0.510443509,2.882557154,2.64958787,2.493690968
1.15,0,135.3365631,190.5109558,191.6378021,235.8092499,236.0352478,234.5973358,0.284362137,0.286394447,0.281670421,38.48459244,54.5612793,53.97869873,20.72465515,37.49592972,27.55307579,16.50945663,26.77472115,38.91859436,0.53851825,0.687225997,0.510443509,2.882557154,2.64958787,2.493690968
1.2,0,135.3365631,190.5109558,191.6378021,235.8092499,236.0352478,234.5973358,0.284362137,0.286394447,0.281670421,38.48459244,54.5612793,53.97869873,20.72465515,37.49592972,27.55307579,16.50945663,26.77472115,38.91859436,0.53851825,0.687225997,0.510443509,2.882557154,2.64958787,2.493690968
1.25,0,134.9159546,190.1295776,191.2529755,236.0086823,236.2793732,234.8410034,0.284885317,0.288959861,0.281714976,38.43557358,54.93981552,53.87882614,20.58203125,36.71456528,26.5426178,17.4545002,27.98386955,39.69034195,0.535494328,0.6682688,0.492635399,2.842860937,2.663802624,2.435856581
1.3,0,134.9159546,190.1295776,191.2529755,236.0086823,236.2793732,234.8410034,0.284885317,0.288959861,0.281714976,38.43557358,54.93981552,53.87882614,20.58203125,36.71456528,26.5426178,17.4545002,27.98386955,39.69034195,0.535494328,0.6682688,0.492635399,2.842860937,2.663802624,2.435856581
