t+    , class, V_L1               , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2             , VA_L3             , W_L1                 , W_L2               , W_L3               , Q_L1               , Q_L2              , Q_L3              , PF_L1                , PF_L2              , PF_L3              , THD_L1            , THD_L2            , THD_L3
0,0,121.9092026,150.8732605,140.4219055,237.977066,242.5173492,233.945816,0.306631088,0.274187505,0.258510947,37.38115311,41.36756134,36.30059814,14.64937973,7.387547493,15.34424686,30.27933884,31.25250053,25.79964828,0.391892135,0.1785831,0.422699571,12.11022663,12.84366512,9.746315002
0.05,0,121.9092026,150.8732605,140.4219055,237.977066,242.5173492,233.945816,0.306631088,0.274187505,0.258510947,37.38115311,41.36756134,36.30059814,14.64937973,7.387547493,15.34424686,30.27933884,31.25250053,25.79964828,0.391892135,0.1785831,0.422699571,12.11022663,12.84366512,9.746315002
0.1,0,121.9092026,150.8732605,140.4219055,237.977066,242.5173492,233.945816,0.306631088,0.274187505,0.258510947,37.38115311,41.36756134,36.30059814,14.64937973,7.387547493,15.34424686,30.27933884,31.25250053,25.79964828,0.391892135,0.1785831,0.422699571,12.11022663,12.84366512,9.746315002
0.15,0,121.9092026,150.8732605,140.4219055,237.977066,242.5173492,233.945816,0.306631088,0.274187505,0.258510947,37.38115311,41.36756134,36.30059814,14.64937973,7.387547493,15.34424686,30.27933884,31.25250053,25.79964828,0.391892135,0.1785831,0.422699571,12.11022663,12.84366512,9.746315002
0.2,0,121.9870682,151.076416,140.5740204,238.2319336,242.7446289,234.205658,0.298237592,0.267452955,0.251450777,36.38113022,40.4058342,35.34744644,14.57645512,7.625367641,15.21971321,29.50196266,30.62621117,25.35879517,0.40065977,0.188719466,0.430574626,11.59028244,12.36806202,9.101029396
0.25,0,121.9870682,151.076416,140.5740204,238.2319336,242.7446289,234.205658,0.298237592,0.267452955,0.251450777,36.38113022,40.4058342,35.34744644,14.57645512,7.625367641,15.21971321,29.50196266,30.62621117,25.35879517,0.40065977,0.188719466,0.430574626,11.59028244,12.36806202,9.101029396
0.3,0,121.9870682,151.076416,140.5740204,238.2319336,242.7446289,234.205658,0.298237592,0.267452955,0.251450777,36.38113022,40.4058342,35.34744644,14.57645512,7.625367641,15.21971321,29.50196266,30.62621117,25.35879517,0.40065977,0.188719466,0.430574626,11.59028244,12.36806202,9.101029396
0.35,0,121.9870682,151.076416,140.5740204,238.2319336,242.7446289,234.205658,0.298237592,0.267452955,0.251450777,36.38113022,40.4058342,35.34744644,14.57645512,7.625367641,15.21971321,29.50196266,30.62621117,25.35879517,0.40065977,0.188719466,0.430574626,11.59028244,12.36806202,9.101029396
0.4,0,121.8456726,151.0392303,140.5120392,238.0841827,242.7532043,233.9603271,0.29959473,0.268179983,0.252760142,36.50432205,40.50569916,35.51584244,14.59622002,7.557592392,15.33526993,29.70749855,30.67138672,25.3957901,0.399849087,0.186580971,0.431786746,11.44949245,12.46156216,9.050056458
0.45,0,121.8456726,151.0392303,140.5120392,238.0841827,242.7532043,233.9603271,0.29959473,0.268179983,0.252760142,36.50432205,40.50569916,35.51584244,14.59622002,7.557592392,15.33526993,29.70749855,30.67138672,25.3957901,0.399849087,0.186580971,0.431786746,11.44949245,12.46156216,9.050056458
0.5,0,121.8456726,151.0392303,140.5120392,238.0841827,242.7532043,233.9603271,0.29959473,0.268179983,0.252760142,36.50432205,40.50569916,35.51584244,14.59622002,7.557592392,15.33526993,29.70749855,30.67138672,25.3957901,0.399849087,0.186580971,0.431786746,11.44949245,12.46156216,9.050056458
0.55,0,121.8456726,151.0392303,140.5120392,238.0841827,242.7532043,233.9603271,0.29959473,0.268179983,0.252760142,36.50432205,40.50569916,35.51584244,14.59622002,7.557592392,15.33526993,29.70749855,30.67138672,25.3957901,0.399849087,0.186580971,0.431786746,11.44949245,12.46156216,9.050056458
0.6,0,121.8524857,150.9506683,140.407074,238.0494995,242.6711273,233.7712402,0.302112877,0.269356847,0.257096916,36.81320572,40.65959549,36.09822464,14.32371998,7.622432709,15.32929707,29.84947777,30.69415855,25.70792198,0.389091909,0.187469468,0.424655139,11.57197666,12.62678909,9.427576065
0.65,0,121.8524857,150.9506683,140.407074,238.0494995,242.6711273,233.7712402,0.302112877,0.269356847,0.257096916,36.81320572,40.65959549,36.09822464,14.32371998,7.622432709,15.32929707,29.84947777,30.69415855,25.70792198,0.389091909,0.187469468,0.424655139,11.57197666,12.62678909,9.427576065
0.7,0,121.8524857,150.9506683,140.407074,238.0494995,242.6711273,233.7712402,0.302112877,0.269356847,0.257096916,36.81320572,40.65959549,36.09822464,14.32371998,7.622432709,15.32929707,29.84947777,30.69415855,25.70792198,0.389091909,0.187469468,0.424655139,11.57197666,12.62678909,9.427576065
0.75,0,121.8524857,150.9506683,140.407074,238.0494995,242.6711273,233.7712402,0.302112877,0.269356847,0.257096916,36.81320572,40.65959549,36.09822464,14.32371998,7.622432709,15.32929707,29.84947777,30.69415855,25.70792198,0.389091909,0.187469468,0.424655139,11.57197666,12.62678909,9.427576065
0.8,0,122.0347061,150.8459625,140.4539795,238.147995,242.5730133,233.965271,0.300159127,0.269421488,0.256652832,36.62982941,40.6411438,36.0479126,14.33375072,7.765889168,15.22460842,29.69024277,30.58916092,25.7025032,0.391313612,0.191084415,0.422343701,11.60058117,12.66327477,9.266934395
0.85,0,122.0347061,150.8459625,140.4539795,238.147995,242.5730133,233.965271,0.300159127,0.269421488,0.256652832,36.62982941,40.6411438,36.0479126,14.33375072,7.765889168,15.22460842,29.69024277,30.58916092,25.7025032,0.391313612,0.191084415,0.422343701,11.60058117,12.66327477,9.266934395
0.9,0,122.0347061,150.8459625,140.4539795,238.147995,242.5730133,233.965271,0.300159127,0.269421488,0.256652832,36.62982941,40.6411438,36.0479126,14.33375072,7.765889168,15.22460842,29.69024277,30.58916092,25.7025032,0.391313612,0.191084415,0.422343701,11.60058117,12.66327477,9.266934395
0.95,0,122.0347061,150.8459625,140.4539795,238.147995,242.5730133,233.965271,0.300159127,0.269421488,0.256652832,36.62982941,40.6411438,36.0479126,14.33375072,7.765889168,15.22460842,29.69024277,30.58916092,25.7025032,0.391313612,0.191084415,0.422343701,11.60058117,12.66327477,9.266934395
1,0,122.0240479,150.8494568,140.4129791,238.1768494,242.5931854,233.8455505,0.303132296,0.270755649,0.257579774,36.98942947,40.84334183,36.1675415,14.37162876,7.58390379,15.34768677,30.02160072,30.8080368,25.82286835,0.388533413,0.185682744,0.424349725,11.7545681,12.67315292,9.280387878
1.05,0,122.0240479,150.8494568,140.4129791,238.1768494,242.5931854,233.8455505,0.303132296,0.270755649,0.257579774,36.98942947,40.84334183,36.1675415,14.37162876,7.58390379,15.34768677,30.02160072,30.8080368,25.82286835,0.388533413,0.185682744,0.424349725,11.7545681,12.67315292,9.280387878
1.1,0,122.0240479,150.8494568,140.4129791,238.1768494,242.5931854,233.8455505,0.303132296,0.270755649,0.257579774,36.98942947,40.84334183,36.1675415,14.37162876,7.58390379,15.34768677,30.02160072,30.8080368,25.82286835,0.388533413,0.185682744,0.424349725,11.7545681,12.67315292,9.280387878
1.15,0,122.0393906,150.8885956,140.3750763,238.1564789,242.6023712,233.8802338,0.305114597,0.274387866,0.258360207,37.23600006,41.40200043,36.26733398,14.51507854,7.511736393,15.14381504,30.13861465,31.23017883,25.90227318,0.389813036,0.18143414,0.417560756,11.98670769,12.8400383,9.424946785
1.2,0,122.0393906,150.8885956,140.3750763,238.1564789,242.6023712,233.8802338,0.305114597,0.274387866,0.258360207,37.23600006,41.40200043,36.26733398,14.51507854,7.511736393,15.14381504,30.13861465,31.23017883,25.90227318,0.389813036,0.18143414,0.417560756,11.98670769,12.8400383,9.424946785
1.25,0,122.0393906,150.8885956,140.3750763,238.1564789,242.6023712,233.8802338,0.305114597,0.274387866,0.258360207,37.23600006,41.40200043,36.26733398,14.51507854,7.511736393,15.14381504,30.13861465,31.23017883,25.90227318,0.389813036,0.18143414,0.417560756,11.98670769,12.8400383,9.424946785
1.3,0,122.0393906,150.8885956,140.3750763,238.1564789,242.6023712,233.8802338,0.305114597,0.274387866,0.258360207,37.23600006,41.40200043,36.26733398,14.51507854,7.511736393,15.14381504,30.13861465,31.23017883,25.90227318,0.389813036,0.18143414,0.417560756,11.98670769,12.8400383,9.424946785
1.35,0,122.0018005,150.9823303,140.3582764,238.2002716,242.6712341,233.8396149,0.306312144,0.273444653,0.259298325,37.37063217,41.28531265,36.39466476,14.37609196,7.393061638,15.33768559,30.37141228,31.16775703,26.02767563,0.389813036,0.18143414,0.417560756,11.98670769,12.8400383,9.424946785
1.4,0,122.0018005,150.9823303,140.3582764,238.2002716,242.6712341,233.8396149,0.306312144,0.273444653,0.259298325,37.37063217,41.28531265,36.39466476,14.37609196,7.393061638,15.33768559,30.37141228,31.16775703,26.02767563,0.384689569,0.17907244,0.421426743,11.99641418,12.79329777,9.536968231
1.45,0,122.0018005,150.9823303,140.3582764,238.2002716,242.6712341,233.8396149,0.306312144,0.273444653,0.259298325,37.37063217,41.28531265,36.39466476,14.37609196,7.393061638,15.33768559,30.37141228,31.16775703,26.02767563,0.384689569,0.17907244,0.421426743,11.99641418,12.79329777,9.536968231
1.5,0,122.0018005,150.9823303,140.3582764,238.2002716,242.6712341,233.8396149,0.306312144,0.273444653,0.259298325,37.37063217,41.28531265,36.39466476,14.37609196,7.393061638,15.33768559,30.37141228,31.16775703,26.02767563,0.384689569,0.17907244,0.421426743,11.99641418,12.79329777,9.536968231
1.55,0,122.0396881,150.8896637,140.3793945,238.1196136,242.5575409,233.9625244,0.306631953,0.275641561,0.259469181,37.42126846,41.59146118,36.42412567,14.4804697,7.495546341,15.19581699,30.42454338,31.44794464,26.17334938,0.386958271,0.180218399,0.417190999,12.05542469,12.88544083,9.67797184
1.6,0,122.0396881,150.8896637,140.3793945,238.1196136,242.5575409,233.9625244,0.306631953,0.275641561,0.259469181,37.42126846,41.59146118,36.42412567,14.4804697,7.495546341,15.19581699,30.42454338,31.44794464,26.17334938,0.386958271,0.180218399,0.417190999,12.05542469,12.88544083,9.67797184
1.65,0,122.0396881,150.8896637,140.3793945,238.1196136,242.5575409,233.9625244,0.306631953,0.275641561,0.259469181,37.42126846,41.59146118,36.42412567,14.4804697,7.495546341,15.19581699,30.42454338,31.44794464,26.17334938,0.386958271,0.180218399,0.417190999,12.05542469,12.88544083,9.67797184
1.7,0,122.0396881,150.8896637,140.3793945,238.1196136,242.5575409,233.9625244,0.306631953,0.275641561,0.259469181,37.42126846,41.59146118,36.42412567,14.4804697,7.495546341,15.19581699,30.42454338,31.44794464,26.17334938,0.386958271,0.180218399,0.417190999,12.05542469,12.88544083,9.67797184
1.75,0,122.0396881,150.8896637,140.3793945,238.1196136,242.5575409,233.9625244,0.306631953,0.275641561,0.259469181,37.42126846,41.59146118,36.42412567,14.4804697,7.495546341,15.19581699,30.42454338,31.44794464,26.17334938,0.386958271,0.180218399,0.417190999,12.05542469,12.88544083,9.67797184
1.8,0,121.9161224,150.9195709,140.3841705,237.9853821,242.5885162,233.9041443,0.308607399,0.276221335,0.260258943,37.62421799,41.68720627,36.53623581,14.54485607,7.3249259,15.36427212,30.62462807,31.52552223,26.14961243,0.386582285,0.175711602,0.420521498,12.14757824,12.99141502,9.785469055
1.85,0,121.9161224,150.9195709,140.3841705,237.9853821,242.5885162,233.9041443,0.308607399,0.276221335,0.260258943,37.62421799,41.68720627,36.53623581,14.54485607,7.3249259,15.36427212,30.62462807,31.52552223,26.14961243,0.386582285,0.175711602,0.420521498,12.14757824,12.99141502,9.785469055
1.9,0,121.9161224,150.9195709,140.3841705,237.9853821,242.5885162,233.9041443,0.308607399,0.276221335,0.260258943,37.62421799,41.68720627,36.53623581,14.54485607,7.3249259,15.36427212,30.62462807,31.52552223,26.14961243,0.386582285,0.175711602,0.420521498,12.14757824,12.99141502,9.785469055
1.95,0,121.7085114,150.9129028,140.2688293,237.8480682,242.5401306,233.5489655,0.311558872,0.27682355,0.263766915,37.91936493,41.77624512,36.99827576,14.30467796,7.316868305,15.50039577,30.99564362,31.70195389,26.57668114,0.377239376,0.175144225,0.418949127,12.14996433,13.09125137,10.04886436
2,0,121.7085114,150.9129028,140.2688293,237.8480682,242.5401306,233.5489655,0.311558872,0.27682355,0.263766915,37.91936493,41.77624512,36.99827576,14.30467796,7.316868305,15.50039577,30.99564362,31.70195389,26.57668114,0.377239376,0.175144225,0.418949127,12.14996433,13.09125137,10.04886436
2.05,0,121.7085114,150.9129028,140.2688293,237.8480682,242.5401306,233.5489655,0.311558872,0.27682355,0.263766915,37.91936493,41.77624512,36.99827576,14.30467796,7.316868305,15.50039577,30.99564362,31.70195389,26.57668114,0.377239376,0.175144225,0.418949127,12.14996433,13.09125137,10.04886436
2.1,0,121.7085114,150.9129028,140.2688293,237.8480682,242.5401306,233.5489655,0.311558872,0.27682355,0.263766915,37.91936493,41.77624512,36.99827576,14.30467796,7.316868305,15.50039577,30.99564362,31.70195389,26.57668114,0.377239376,0.175144225,0.418949127,12.14996433,13.09125137,10.04886436
2.15,0,121.8158417,150.9741058,140.3516388,237.994812,242.6675568,233.7107697,0.309349298,0.274698496,0.262395829,37.68364334,41.4723587,36.82768631,14.27144527,7.393946171,15.41171932,30.7495594,31.6098175,26.43017006,0.378717244,0.17828612,0.418481886,12.02988052,13.09125137,10.04886436
2.2,0,121.8158417,150.9741058,140.3516388,237.994812,242.6675568,233.7107697,0.309349298,0.274698496,0.262395829,37.68364334,41.4723587,36.82768631,14.27144527,7.393946171,15.41171932,30.7495594,31.6098175,26.43017006,0.378717244,0.17828612,0.418481886,12.02988052,12.91855621,9.954885483
2.25,0,121.8158417,150.9741058,140.3516388,237.994812,242.6675568,233.7107697,0.309349298,0.274698496,0.262395829,37.68364334,41.4723587,36.82768631,14.27144527,7.393946171,15.41171932,30.7495594,31.6098175,26.43017006,0.378717244,0.17828612,0.418481886,12.02988052,12.91855621,9.954885483
2.3,0,121.8158417,150.9741058,140.3516388,237.994812,242.6675568,233.7107697,0.309349298,0.274698496,0.262395829,37.68364334,41.4723587,36.82768631,14.27144527,7.393946171,15.41171932,30.7495594,31.6098175,26.43017006,0.378717244,0.17828612,0.418481886,12.02988052,12.91855621,9.954885483
2.35,0,121.6277771,150.9503784,140.2979584,237.7767029,242.664505,233.4930267,0.312054127,0.27614525,0.264550209,37.9544487,41.6842308,37.11585236,14.35871506,7.347287655,15.58653831,31.01211929,31.74149704,26.53679657,0.378314406,0.176260605,0.419942886,12.02912521,13.08627987,9.996925354
2.4,0,121.6277771,150.9503784,140.2979584,237.7767029,242.664505,233.4930267,0.312054127,0.27614525,0.264550209,37.9544487,41.6842308,37.11585236,14.35871506,7.347287655,15.58653831,31.01211929,31.74149704,26.53679657,0.378314406,0.176260605,0.419942886,12.02912521,13.08627987,9.996925354
2.45,0,121.6277771,150.9503784,140.2979584,237.7767029,242.664505,233.4930267,0.312054127,0.27614525,0.264550209,37.9544487,41.6842308,37.11585236,14.35871506,7.347287655,15.58653831,31.01211929,31.74149704,26.53679657,0.378314406,0.176260605,0.419942886,12.02912521,13.08627987,9.996925354
2.5,0,121.6277771,150.9503784,140.2979584,237.7767029,242.664505,233.4930267,0.312054127,0.27614525,0.264550209,37.9544487,41.6842308,37.11585236,14.35871506,7.347287655,15.58653831,31.01211929,31.74149704,26.53679657,0.378314406,0.176260605,0.419942886,12.02912521,13.08627987,9.996925354
