t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0,0,99.86180878,125.730835,115.1304245,197.2321014,196.8878021,193.9837189,0.137024254,0.107884713,0.137337372,13.6834898,13.56443501,15.81171036,10.60129452,10.04153633,13.27109241,7.856215477,7.48181057,7.658072948,0.774750769,0.740284145,0.839320481,5.761685371,5.814206123,4.546082497
0.05,0,99.86180878,125.730835,115.1304245,197.2321014,196.8878021,193.9837189,0.137024254,0.107884713,0.137337372,13.6834898,13.56443501,15.81171036,10.60129452,10.04153633,13.27109241,7.856215477,7.48181057,7.658072948,0.774750769,0.740284145,0.839320481,5.761685371,5.814206123,4.546082497
0.1,0,99.90813446,125.6935883,115.0981369,197.1934967,196.8797455,193.9909668,0.136618391,0.107593097,0.136103585,13.64928818,13.5237627,15.6652689,10.65733528,9.998871803,13.19637012,7.796144962,7.540830612,7.558217049,0.780797899,0.739355743,0.842396677,5.685566902,5.841127872,4.660169125
0.15,0,99.90813446,125.6935883,115.0981369,197.1934967,196.8797455,193.9909668,0.136618391,0.107593097,0.136103585,13.64928818,13.5237627,15.6652689,10.65733528,9.998871803,13.19637012,7.796144962,7.540830612,7.558217049,0.780797899,0.739355743,0.842396677,5.685566902,5.841127872,4.660169125
0.2,0,99.90813446,125.6935883,115.0981369,197.1934967,196.8797455,193.9909668,0.136618391,0.107593097,0.136103585,13.64928818,13.5237627,15.6652689,10.65733528,9.998871803,13.19637012,7.796144962,7.540830612,7.558217049,0.780797899,0.739355743,0.842396677,5.685566902,5.841127872,4.660169125
0.25,0,99.90813446,125.6935883,115.0981369,197.1934967,196.8797455,193.9909668,0.136618391,0.107593097,0.136103585,13.64928818,13.5237627,15.6652689,10.65733528,9.998871803,13.19637012,7.796144962,7.540830612,7.558217049,0.780797899,0.739355743,0.842396677,5.685566902,5.841127872,4.660169125
0.3,0,99.88234711,125.7445679,115.1345139,197.2674866,196.8848267,194.0122223,0.137219816,0.10655947,0.136787072,13.70583725,13.39927483,15.74891281,10.65961838,9.923830032,13.32466793,7.956377983,7.529106617,7.601061821,0.777742982,0.740624428,0.846069038,5.732234001,5.804588318,4.540400028
0.35,0,99.88234711,125.7445679,115.1345139,197.2674866,196.8848267,194.0122223,0.137219816,0.10655947,0.136787072,13.70583725,13.39927483,15.74891281,10.65961838,9.923830032,13.32466793,7.956377983,7.529106617,7.601061821,0.777742982,0.740624428,0.846069038,5.732234001,5.804588318,4.540400028
0.4,0,99.88234711,125.7445679,115.1345139,197.2674866,196.8848267,194.0122223,0.137219816,0.10655947,0.136787072,13.70583725,13.39927483,15.74891281,10.65961838,9.923830032,13.32466793,7.956377983,7.529106617,7.601061821,0.777742982,0.740624428,0.846069038,5.732234001,5.804588318,4.540400028
0.45,0,99.88234711,125.7445679,115.1345139,197.2674866,196.8848267,194.0122223,0.137219816,0.10655947,0.136787072,13.70583725,13.39927483,15.74891281,10.65961838,9.923830032,13.32466793,7.956377983,7.529106617,7.601061821,0.777742982,0.740624428,0.846069038,5.732234001,5.804588318,4.540400028
0.5,0,99.92036438,125.7230911,115.106514,197.2531433,196.91008,193.9907684,0.13705574,0.106497213,0.137036815,13.69465923,13.3891592,15.77383041,10.62200356,9.940890312,13.3621521,7.944058895,7.449712753,7.616552353,0.77563107,0.742458165,0.847108901,5.702327251,5.810413837,4.65642786
0.55,0,99.92036438,125.7230911,115.106514,197.2531433,196.91008,193.9907684,0.13705574,0.106497213,0.137036815,13.69465923,13.3891592,15.77383041,10.62200356,9.940890312,13.3621521,7.944058895,7.449712753,7.616552353,0.77563107,0.742458165,0.847108901,5.702327251,5.810413837,4.65642786
