t+    , class, V_L1              , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3             , W_L1              , W_L2              , W_L3              , Q_L1                , Q_L2                , Q_L3              , PF_L1              , PF_L2              , PF_L3             , THD_L1            , THD_L2            , THD_L3
0,0,100.2009277,125.7689667,115.2874146,197.6085052,196.8280182,194.4902039,0.133035913,0.105955966,0.131395414,13.33032227,13.32597256,15.14823723,10.79955292,10.34833145,12.98900032,7.150164127,7.257340431,7.244222164,0.810149431,0.776553571,0.857459545,5.844210625,5.545516014,4.643263817
0.05,0,100.2009277,125.7689667,115.2874146,197.6085052,196.8280182,194.4902039,0.133035913,0.105955966,0.131395414,13.33032227,13.32597256,15.14823723,10.79955292,10.34833145,12.98900032,7.150164127,7.257340431,7.244222164,0.810149431,0.776553571,0.857459545,5.844210625,5.545516014,4.643263817
0.1,0,100.2009277,125.7689667,115.2874146,197.6085052,196.8280182,194.4902039,0.133035913,0.105955966,0.131395414,13.33032227,13.32597256,15.14823723,10.79955292,10.34833145,12.98900032,7.150164127,7.257340431,7.244222164,0.810149431,0.776553571,0.857459545,5.844210625,5.545516014,4.643263817
0.15,0,100.2009277,125.7689667,115.2874146,197.6085052,196.8280182,194.4902039,0.133035913,0.105955966,0.131395414,13.33032227,13.32597256,15.14823723,10.79955292,10.34833145,12.98900032,7.150164127,7.257340431,7.244222164,0.810149431,0.776553571,0.857459545,5.844210625,5.545516014,4.643263817
0.2,0,100.1983795,125.8022537,115.2969818,197.6554718,196.8832397,194.4688873,0.13242057,0.104633227,0.131774351,13.26832676,13.16309547,15.19318485,10.68895149,10.26433754,13.06773949,7.178781033,7.074914455,7.221384525,0.805599034,0.779781461,0.860105336,5.893735409,5.509212971,4.705265522
0.25,0,100.1983795,125.8022537,115.2969818,197.6554718,196.8832397,194.4688873,0.13242057,0.104633227,0.131774351,13.26832676,13.16309547,15.19318485,10.68895149,10.26433754,13.06773949,7.178781033,7.074914455,7.221384525,0.805599034,0.779781461,0.860105336,5.893735409,5.509212971,4.705265522
0.3,0,100.1983795,125.8022537,115.2969818,197.6554718,196.8832397,194.4688873,0.13242057,0.104633227,0.131774351,13.26832676,13.16309547,15.19318485,10.68895149,10.26433754,13.06773949,7.178781033,7.074914455,7.221384525,0.805599034,0.779781461,0.860105336,5.893735409,5.509212971,4.705265522
0.35,0,100.1983795,125.8022537,115.2969818,197.6554718,196.8832397,194.4688873,0.13242057,0.104633227,0.131774351,13.26832676,13.16309547,15.19318485,10.68895149,10.26433754,13.06773949,7.178781033,7.074914455,7.221384525,0.805599034,0.779781461,0.860105336,5.893735409,5.509212971,4.705265522
0.4,0,100.1862259,125.7667236,115.3088303,197.6039429,196.8424835,194.495636,0.130976692,0.103985734,0.132115021,13.12206078,13.07794476,15.23402882,10.60644436,10.30553532,13.07880688,7.133996487,6.960188389,7.274970055,0.808291078,0.788008809,0.858525813,5.856481552,5.447163582,4.631036758
0.45,0,100.1862259,125.7667236,115.3088303,197.6039429,196.8424835,194.495636,0.130976692,0.103985734,0.132115021,13.12206078,13.07794476,15.23402882,10.60644436,10.30553532,13.07880688,7.133996487,6.960188389,7.274970055,0.808291078,0.788008809,0.858525813,5.856481552,5.447163582,4.631036758
0.5,0,100.1862259,125.7667236,115.3088303,197.6039429,196.8424835,194.495636,0.130976692,0.103985734,0.132115021,13.12206078,13.07794476,15.23402882,10.60644436,10.30553532,13.07880688,7.133996487,6.960188389,7.274970055,0.808291078,0.788008809,0.858525813,5.856481552,5.447163582,4.631036758
0.55,0,100.1862259,125.7667236,115.3088303,197.6039429,196.8424835,194.495636,0.130976692,0.103985734,0.132115021,13.12206078,13.07794476,15.23402882,10.60644436,10.30553532,13.07880688,7.133996487,6.960188389,7.274970055,0.808291078,0.788008809,0.858525813,5.856481552,5.447163582,4.631036758
0.6,0,100.1609268,125.7698441,115.3095932,197.5695038,196.86409,194.4720154,0.132291853,0.105522536,0.132351279,13.25047493,13.27155304,15.26137257,10.68371773,10.35589695,13.06269455,7.162563324,7.100010872,7.311233044,0.806289434,0.780307829,0.855931818,5.847168446,5.54464674,4.56000042
0.65,0,100.1609268,125.7698441,115.3095932,197.5695038,196.86409,194.4720154,0.132291853,0.105522536,0.132351279,13.25047493,13.27155304,15.26137257,10.68371773,10.35589695,13.06269455,7.162563324,7.100010872,7.311233044,0.806289434,0.780307829,0.855931818,5.847168446,5.54464674,4.56000042
0.7,0,100.1609268,125.7698441,115.3095932,197.5695038,196.86409,194.4720154,0.132291853,0.105522536,0.132351279,13.25047493,13.27155304,15.26137257,10.68371773,10.35589695,13.06269455,7.162563324,7.100010872,7.311233044,0.806289434,0.780307829,0.855931818,5.847168446,5.54464674,4.56000042
0.75,0,100.1609268,125.7698441,115.3095932,197.5695038,196.86409,194.4720154,0.132291853,0.105522536,0.132351279,13.25047493,13.27155304,15.26137257,10.68371773,10.35589695,13.06269455,7.162563324,7.100010872,7.311233044,0.806289434,0.780307829,0.855931818,5.847168446,5.54464674,4.56000042
