t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0,0,100.0313263,125.717186,115.3341293,197.4223785,196.8766632,194.3461761,0.133533627,0.106105573,0.133614942,13.35754585,13.33929443,15.4103632,10.66361237,10.31484318,13.14270592,7.305167675,7.140176773,7.412377834,0.798321247,0.773267508,0.85284853,6.030591965,5.622076511,4.831518173
0.05,0,100.0313263,125.717186,115.3341293,197.4223785,196.8766632,194.3461761,0.133533627,0.106105573,0.133614942,13.35754585,13.33929443,15.4103632,10.66361237,10.31484318,13.14270592,7.305167675,7.140176773,7.412377834,0.798321247,0.773267508,0.85284853,6.030591965,5.622076511,4.831518173
0.1,0,100.0313263,125.717186,115.3341293,197.4223785,196.8766632,194.3461761,0.133533627,0.106105573,0.133614942,13.35754585,13.33929443,15.4103632,10.66361237,10.31484318,13.14270592,7.305167675,7.140176773,7.412377834,0.798321247,0.773267508,0.85284853,6.030591965,5.622076511,4.831518173
0.15,0,100.0313263,125.717186,115.3341293,197.4223785,196.8766632,194.3461761,0.133533627,0.106105573,0.133614942,13.35754585,13.33929443,15.4103632,10.66361237,10.31484318,13.14270592,7.305167675,7.140176773,7.412377834,0.798321247,0.773267508,0.85284853,6.030591965,5.622076511,4.831518173
0.2,0,100.0210266,125.7350693,115.345314,197.4222412,196.9250793,194.3378448,0.13462162,0.105426759,0.133109182,13.46499252,13.25584126,15.35352039,10.79125023,10.13621712,13.16810131,7.394481659,7.256329536,7.226891041,0.801430106,0.764660418,0.857660055,5.972315311,5.615633965,4.773741722
0.25,0,100.0210266,125.7350693,115.345314,197.4222412,196.9250793,194.3378448,0.13462162,0.105426759,0.133109182,13.46499252,13.25584126,15.35352039,10.79125023,10.13621712,13.16810131,7.394481659,7.256329536,7.226891041,0.801430106,0.764660418,0.857660055,5.972315311,5.615633965,4.773741722
0.3,0,100.0210266,125.7350693,115.345314,197.4222412,196.9250793,194.3378448,0.13462162,0.105426759,0.133109182,13.46499252,13.25584126,15.35352039,10.79125023,10.13621712,13.16810131,7.394481659,7.256329536,7.226891041,0.801430106,0.764660418,0.857660055,5.972315311,5.615633965,4.773741722
0.35,0,100.0210266,125.7350693,115.345314,197.4222412,196.9250793,194.3378448,0.13462162,0.105426759,0.133109182,13.46499252,13.25584126,15.35352039,10.79125023,10.13621712,13.16810131,7.394481659,7.256329536,7.226891041,0.801430106,0.764660418,0.857660055,5.972315311,5.615633965,4.773741722
0.4,0,99.99312592,125.7223816,115.3242493,197.3832245,196.9048309,194.2935028,0.134603173,0.106414743,0.132963181,13.45939159,13.37871456,15.33387852,10.74530411,10.18386555,13.09605122,7.386975765,7.312503338,7.325695992,0.798349917,0.761199117,0.854059935,5.896018982,5.551815987,4.70843935
0.45,0,99.99312592,125.7223816,115.3242493,197.3832245,196.9048309,194.2935028,0.134603173,0.106414743,0.132963181,13.45939159,13.37871456,15.33387852,10.74530411,10.18386555,13.09605122,7.386975765,7.312503338,7.325695992,0.798349917,0.761199117,0.854059935,5.896018982,5.551815987,4.70843935
0.5,0,99.99312592,125.7223816,115.3242493,197.3832245,196.9048309,194.2935028,0.134603173,0.106414743,0.132963181,13.45939159,13.37871456,15.33387852,10.74530411,10.18386555,13.09605122,7.386975765,7.312503338,7.325695992,0.798349917,0.761199117,0.854059935,5.896018982,5.551815987,4.70843935
0.55,0,99.99312592,125.7223816,115.3242493,197.3832245,196.9048309,194.2935028,0.134603173,0.106414743,0.132963181,13.45939159,13.37871456,15.33387852,10.74530411,10.18386555,13.09605122,7.386975765,7.312503338,7.325695992,0.798349917,0.761199117,0.854059935,5.896018982,5.551815987,4.70843935
0.6,0,100.0088501,125.7121735,115.3109741,197.3914795,196.8682251,194.302887,0.134787753,0.10569907,0.133218184,13.47996807,13.28765965,15.36151886,10.76546955,10.13094425,13.13654041,7.436040401,7.310791969,7.291439056,0.798627257,0.762432575,0.855158925,5.92343998,5.564114571,4.721725464
0.65,0,100.0088501,125.7121735,115.3109741,197.3914795,196.8682251,194.302887,0.134787753,0.10569907,0.133218184,13.47996807,13.28765965,15.36151886,10.76546955,10.13094425,13.13654041,7.436040401,7.310791969,7.291439056,0.798627257,0.762432575,0.855158925,5.92343998,5.564114571,4.721725464
0.7,0,100.0088501,125.7121735,115.3109741,197.3914795,196.8682251,194.302887,0.134787753,0.10569907,0.133218184,13.47996807,13.28765965,15.36151886,10.76546955,10.13094425,13.13654041,7.436040401,7.310791969,7.291439056,0.798627257,0.762432575,0.855158925,5.92343998,5.564114571,4.721725464
0.75,0,100.0088501,125.7121735,115.3109741,197.3914795,196.8682251,194.302887,0.134787753,0.10569907,0.133218184,13.47996807,13.28765965,15.36151886,10.76546955,10.13094425,13.13654041,7.436040401,7.310791969,7.291439056,0.798627257,0.762432575,0.855158925,5.92343998,5.564114571,4.721725464
0.8,0,100.0292511,125.7226181,115.3220596,197.4180603,196.874649,194.3385468,0.134556711,0.105729312,0.132799044,13.45960712,13.2925663,15.31465912,10.76673889,10.14880085,13.1290493,7.352554321,7.238179207,7.229960442,0.799929678,0.763494492,0.857286394,5.93430233,5.597223759,4.728630066
0.85,0,100.0292511,125.7226181,115.3220596,197.4180603,196.874649,194.3385468,0.134556711,0.105729312,0.132799044,13.45960712,13.2925663,15.31465912,10.76673889,10.14880085,13.1290493,7.352554321,7.238179207,7.229960442,0.799929678,0.763494492,0.857286394,5.93430233,5.597223759,4.728630066
0.9,0,100.0292511,125.7226181,115.3220596,197.4180603,196.874649,194.3385468,0.134556711,0.105729312,0.132799044,13.45960712,13.2925663,15.31465912,10.76673889,10.14880085,13.1290493,7.352554321,7.238179207,7.229960442,0.799929678,0.763494492,0.857286394,5.93430233,5.597223759,4.728630066
0.95,0,100.0292511,125.7226181,115.3220596,197.4180603,196.874649,194.3385468,0.134556711,0.105729312,0.132799044,13.45960712,13.2925663,15.31465912,10.76673889,10.14880085,13.1290493,7.352554321,7.238179207,7.229960442,0.799929678,0.763494492,0.857286394,5.93430233,5.597223759,4.728630066
1,0,100.0170898,125.7321014,115.3328781,197.4255676,196.9126892,194.3151245,0.135343656,0.106874324,0.133727401,13.53667831,13.43753338,15.42316628,10.78920174,10.21169186,13.14668369,7.459295273,7.374475956,7.374947071,0.797034681,0.759937942,0.852398515,5.981665134,5.599292278,4.788828373
1.05,0,100.0170898,125.7321014,115.3328781,197.4255676,196.9126892,194.3151245,0.135343656,0.106874324,0.133727401,13.53667831,13.43753338,15.42316628,10.78920174,10.21169186,13.14668369,7.459295273,7.374475956,7.374947071,0.797034681,0.759937942,0.852398515,5.981665134,5.599292278,4.788828373
1.1,0,100.0170898,125.7321014,115.3328781,197.4255676,196.9126892,194.3151245,0.135343656,0.106874324,0.133727401,13.53667831,13.43753338,15.42316628,10.78920174,10.21169186,13.14668369,7.459295273,7.374475956,7.374947071,0.797034681,0.759937942,0.852398515,5.981665134,5.599292278,4.788828373
1.15,0,100.0170898,125.7321014,115.3328781,197.4255676,196.9126892,194.3151245,0.135343656,0.106874324,0.133727401,13.53667831,13.43753338,15.42316628,10.78920174,10.21169186,13.14668369,7.459295273,7.374475956,7.374947071,0.797034681,0.759937942,0.852398515,5.981665134,5.599292278,4.788828373
1.2,0,100.0136948,125.7279282,115.3233719,197.4127808,196.8929291,194.3144531,0.134447739,0.106721669,0.131936193,13.44661522,13.41789436,15.21532631,10.81059551,10.24672794,13.00214386,7.262066364,7.363499641,7.247180462,0.803964078,0.763661385,0.854542553,6.009482384,5.610788822,4.81417799
1.25,0,100.0136948,125.7279282,115.3233719,197.4127808,196.8929291,194.3144531,0.134447739,0.106721669,0.131936193,13.44661522,13.41789436,15.21532631,10.81059551,10.24672794,13.00214386,7.262066364,7.363499641,7.247180462,0.803964078,0.763661385,0.854542553,6.009482384,5.610788822,4.81417799
1.3,0,100.0136948,125.7279282,115.3233719,197.4127808,196.8929291,194.3144531,0.134447739,0.106721669,0.131936193,13.44661522,13.41789436,15.21532631,10.81059551,10.24672794,13.00214386,7.262066364,7.363499641,7.247180462,0.803964078,0.763661385,0.854542553,6.009482384,5.610788822,4.81417799
1.35,0,100.0136948,125.7279282,115.3233719,197.4127808,196.8929291,194.3144531,0.134447739,0.106721669,0.131936193,13.44661522,13.41789436,15.21532631,10.81059551,10.24672794,13.00214386,7.262066364,7.363499641,7.247180462,0.803964078,0.763661385,0.854542553,6.009482384,5.610788822,4.81417799
1.4,0,99.98712921,125.7163086,115.3011322,197.3852997,196.87117,194.2618561,0.134780973,0.106450059,0.133180991,13.47636223,13.38250828,15.35591888,10.7575798,10.18096066,13.10609818,7.40649271,7.328855038,7.320360184,0.798255444,0.760766268,0.853488386,6.030229568,5.662736893,4.836556435
1.45,0,99.98712921,125.7163086,115.3011322,197.3852997,196.87117,194.2618561,0.134780973,0.106450059,0.133180991,13.47636223,13.38250828,15.35591888,10.7575798,10.18096066,13.10609818,7.40649271,7.328855038,7.320360184,0.798255444,0.760766268,0.853488386,6.030229568,5.662736893,4.836556435
1.5,0,99.98712921,125.7163086,115.3011322,197.3852997,196.87117,194.2618561,0.134780973,0.106450059,0.133180991,13.47636223,13.38250828,15.35591888,10.7575798,10.18096066,13.10609818,7.40649271,7.328855038,7.320360184,0.798255444,0.760766268,0.853488386,6.030229568,5.662736893,4.836556435
1.55,0,99.98712921,125.7163086,115.3011322,197.3852997,196.87117,194.2618561,0.134780973,0.106450059,0.133180991,13.47636223,13.38250828,15.35591888,10.7575798,10.18096066,13.10609818,7.40649271,7.328855038,7.320360184,0.798255444,0.760766268,0.853488386,6.030229568,5.662736893,4.836556435
1.6,0,99.98670197,125.7239838,115.2920227,197.4048309,196.8643036,194.2455902,0.135034978,0.105508186,0.133721754,13.50170231,13.26490974,15.41705132,10.75170326,10.14988708,13.20656872,7.444407463,7.228928566,7.301567554,0.796322048,0.76516819,0.856620908,6.075091839,5.679039955,4.914083481
1.65,0,99.98670197,125.7239838,115.2920227,197.4048309,196.8643036,194.2455902,0.135034978,0.105508186,0.133721754,13.50170231,13.26490974,15.41705132,10.75170326,10.14988708,13.20656872,7.444407463,7.228928566,7.301567554,0.796322048,0.76516819,0.856620908,6.075091839,5.679039955,4.914083481
1.7,0,99.98670197,125.7239838,115.2920227,197.4048309,196.8643036,194.2455902,0.135034978,0.105508186,0.133721754,13.50170231,13.26490974,15.41705132,10.75170326,10.14988708,13.20656872,7.444407463,7.228928566,7.301567554,0.796322048,0.76516819,0.856620908,6.075091839,5.679039955,4.914083481
1.75,0,99.98670197,125.7239838,115.2920227,197.4048309,196.8643036,194.2455902,0.135034978,0.105508186,0.133721754,13.50170231,13.26490974,15.41705132,10.75170326,10.14988708,13.20656872,7.444407463,7.228928566,7.301567554,0.796322048,0.76516819,0.856620908,6.075091839,5.679039955,4.914083481
