t+    , class, V_L1               , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1             , VA_L2              , VA_L3              , W_L1               , W_L2               , W_L3               , Q_L1              , Q_L2              , Q_L3              , PF_L1               , PF_L2              , PF_L3               , THD_L1            , THD_L2            , THD_L3
0,0,129.0691528,155.3180084,144.8158569,249.0452271,247.3244324,245.1532288,0.664223194,0.622323394,0.600456178,85.73072815,96.65802765,86.95557404,17.78338051,14.7592907,11.57878971,83.19698334,94.70532227,85.69812775,0.207432985,0.152695969,0.133157536,6.493846416,6.307807446,5.117993355
0.05,0,129.0691528,155.3180084,144.8158569,249.0452271,247.3244324,245.1532288,0.664223194,0.622323394,0.600456178,85.73072815,96.65802765,86.95557404,17.78338051,14.7592907,11.57878971,83.19698334,94.70532227,85.69812775,0.207432985,0.152695969,0.133157536,6.493846416,6.307807446,5.117993355
0.1,0,129.0792694,155.3851166,144.8493195,249.1340637,247.4182892,245.1675415,0.669148326,0.628938437,0.605721593,86.37317657,97.72766876,87.73835754,17.89825439,14.95194244,11.39264488,83.80436707,95.75572205,86.50427246,0.207220048,0.152996004,0.129847944,6.634861946,6.35370779,5.134823799
0.15,0,129.0792694,155.3851166,144.8493195,249.1340637,247.4182892,245.1675415,0.669148326,0.628938437,0.605721593,86.37317657,97.72766876,87.73835754,17.89825439,14.95194244,11.39264488,83.80436707,95.75572205,86.50427246,0.207220048,0.152996004,0.129847944,6.634861946,6.35370779,5.134823799
0.2,0,129.0792694,155.3851166,144.8493195,249.1340637,247.4182892,245.1675415,0.669148326,0.628938437,0.605721593,86.37317657,97.72766876,87.73835754,17.89825439,14.95194244,11.39264488,83.80436707,95.75572205,86.50427246,0.207220048,0.152996004,0.129847944,6.634861946,6.35370779,5.134823799
0.25,0,129.0792694,155.3851166,144.8493195,249.1340637,247.4182892,245.1675415,0.669148326,0.628938437,0.605721593,86.37317657,97.72766876,87.73835754,17.89825439,14.95194244,11.39264488,83.80436707,95.75572205,86.50427246,0.207220048,0.152996004,0.129847944,6.634861946,6.35370779,5.134823799
0.3,0,129.1318359,155.3273621,144.8482208,249.1374359,247.3295288,245.2307281,0.676776886,0.635748386,0.616081953,87.39344025,98.74912262,89.2383728,17.84788132,15.35900116,11.45894814,84.97058105,96.88340759,88.04858398,0.204224497,0.155535564,0.128408298,6.647294044,6.367951393,5.162665844
0.35,0,129.1318359,155.3273621,144.8482208,249.1374359,247.3295288,245.2307281,0.676776886,0.635748386,0.616081953,87.39344025,98.74912262,89.2383728,17.84788132,15.35900116,11.45894814,84.97058105,96.88340759,88.04858398,0.204224497,0.155535564,0.128408298,6.647294044,6.367951393,5.162665844
0.4,0,129.1318359,155.3273621,144.8482208,249.1374359,247.3295288,245.2307281,0.676776886,0.635748386,0.616081953,87.39344025,98.74912262,89.2383728,17.84788132,15.35900116,11.45894814,84.97058105,96.88340759,88.04858398,0.204224497,0.155535564,0.128408298,6.647294044,6.367951393,5.162665844
0.45,0,129.1318359,155.3273621,144.8482208,249.1374359,247.3295288,245.2307281,0.676776886,0.635748386,0.616081953,87.39344025,98.74912262,89.2383728,17.84788132,15.35900116,11.45894814,84.97058105,96.88340759,88.04858398,0.204224497,0.155535564,0.128408298,6.647294044,6.367951393,5.162665844
