t+    , class, V_L1              , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3             , W_L1               , W_L2              , W_L3              , Q_L1                , Q_L2                , Q_L3               , PF_L1              , PF_L2              , PF_L3             , THD_L1            , THD_L2            , THD_L3
0,0,100.0587769,126.0420151,115.6823959,197.8166351,197.1303101,194.8095398,0.134546429,0.104809456,0.135740072,13.46255112,13.21039486,15.70273685,10.54226971,10.03199482,13.2970295,7.701734066,7.193981171,7.619252682,0.783081114,0.75940156,0.84679693,6.031208992,5.679872036,4.829986572
0.05,0,100.0587769,126.0420151,115.6823959,197.8166351,197.1303101,194.8095398,0.134546429,0.104809456,0.135740072,13.46255112,13.21039486,15.70273685,10.54226971,10.03199482,13.2970295,7.701734066,7.193981171,7.619252682,0.783081114,0.75940156,0.84679693,6.031208992,5.679872036,4.829986572
0.1,0,100.056015,126.0600739,115.7011414,197.8266144,197.1868286,194.8071289,0.135318413,0.105410539,0.136183739,13.53942108,13.28806019,15.75661373,10.55482483,10.01695156,13.30019474,7.792330742,7.296156883,7.68795681,0.779562473,0.753830969,0.844102383,6.144966125,5.765570164,4.93464756
0.15,0,100.056015,126.0600739,115.7011414,197.8266144,197.1868286,194.8071289,0.135318413,0.105410539,0.136183739,13.53942108,13.28806019,15.75661373,10.55482483,10.01695156,13.30019474,7.792330742,7.296156883,7.68795681,0.779562473,0.753830969,0.844102383,6.144966125,5.765570164,4.93464756
0.2,0,100.056015,126.0600739,115.7011414,197.8266144,197.1868286,194.8071289,0.135318413,0.105410539,0.136183739,13.53942108,13.28806019,15.75661373,10.55482483,10.01695156,13.30019474,7.792330742,7.296156883,7.68795681,0.779562473,0.753830969,0.844102383,6.144966125,5.765570164,4.93464756
0.25,0,100.056015,126.0600739,115.7011414,197.8266144,197.1868286,194.8071289,0.135318413,0.105410539,0.136183739,13.53942108,13.28806019,15.75661373,10.55482483,10.01695156,13.30019474,7.792330742,7.296156883,7.68795681,0.779562473,0.753830969,0.844102383,6.144966125,5.765570164,4.93464756
0.3,0,100.029686,126.0064621,115.6583252,197.7549438,197.0953369,194.7520599,0.135349616,0.10602738,0.136261806,13.53897953,13.36013508,15.75981236,10.55071735,10.03619099,13.26858044,7.776901722,7.311727524,7.702074051,0.779284537,0.751204312,0.841925025,6.112701893,5.777201653,4.925627232
0.35,0,100.029686,126.0064621,115.6583252,197.7549438,197.0953369,194.7520599,0.135349616,0.10602738,0.136261806,13.53897953,13.36013508,15.75981236,10.55071735,10.03619099,13.26858044,7.776901722,7.311727524,7.702074051,0.779284537,0.751204312,0.841925025,6.112701893,5.777201653,4.925627232
0.4,0,100.029686,126.0064621,115.6583252,197.7549438,197.0953369,194.7520599,0.135349616,0.10602738,0.136261806,13.53897953,13.36013508,15.75981236,10.55071735,10.03619099,13.26858044,7.776901722,7.311727524,7.702074051,0.779284537,0.751204312,0.841925025,6.112701893,5.777201653,4.925627232
0.45,0,100.029686,126.0064621,115.6583252,197.7549438,197.0953369,194.7520599,0.135349616,0.10602738,0.136261806,13.53897953,13.36013508,15.75981236,10.55071735,10.03619099,13.26858044,7.776901722,7.311727524,7.702074051,0.779284537,0.751204312,0.841925025,6.112701893,5.777201653,4.925627232
0.5,0,100.0080948,126.0596313,115.6585464,197.8006439,197.1611023,194.7056732,0.135851383,0.106075913,0.135905907,13.58623791,13.37189007,15.71867943,10.6017313,10.00681782,13.23658752,7.792137146,7.398963451,7.655721188,0.780328691,0.748347282,0.842092872,6.205825329,5.804633141,4.930362225
0.55,0,100.0080948,126.0596313,115.6585464,197.8006439,197.1611023,194.7056732,0.135851383,0.106075913,0.135905907,13.58623791,13.37189007,15.71867943,10.6017313,10.00681782,13.23658752,7.792137146,7.398963451,7.655721188,0.780328691,0.748347282,0.842092872,6.205825329,5.804633141,4.930362225
0.6,0,100.0080948,126.0596313,115.6585464,197.8006439,197.1611023,194.7056732,0.135851383,0.106075913,0.135905907,13.58623791,13.37189007,15.71867943,10.6017313,10.00681782,13.23658752,7.792137146,7.398963451,7.655721188,0.780328691,0.748347282,0.842092872,6.205825329,5.804633141,4.930362225
0.65,0,100.0080948,126.0596313,115.6585464,197.8006439,197.1611023,194.7056732,0.135851383,0.106075913,0.135905907,13.58623791,13.37189007,15.71867943,10.6017313,10.00681782,13.23658752,7.792137146,7.398963451,7.655721188,0.780328691,0.748347282,0.842092872,6.205825329,5.804633141,4.930362225
