t+    , class, V_L1              , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3             , W_L1               , W_L2               , W_L3              , Q_L1                , Q_L2                , Q_L3              , PF_L1             , PF_L2                , PF_L3             , THD_L1            , THD_L2            , THD_L3
0,0,100.043129,126.1459427,115.6982803,197.9349365,197.2290497,194.776123,0.133897617,0.104497813,0.134345129,13.39553642,13.18197536,15.54349995,10.47441483,9.908765793,13.13453674,7.722287178,7.311876774,7.606246948,0.781933188,0.751690507,0.84501797,5.977065563,5.652333736,4.74112463
0.05,0,100.043129,126.1459427,115.6982803,197.9349365,197.2290497,194.776123,0.133897617,0.104497813,0.134345129,13.39553642,13.18197536,15.54349995,10.47441483,9.908765793,13.13453674,7.722287178,7.311876774,7.606246948,0.781933188,0.751690507,0.84501797,5.977065563,5.652333736,4.74112463
0.1,0,100.043129,126.1459427,115.6982803,197.9349365,197.2290497,194.776123,0.133897617,0.104497813,0.134345129,13.39553642,13.18197536,15.54349995,10.47441483,9.908765793,13.13453674,7.722287178,7.311876774,7.606246948,0.781933188,0.751690507,0.84501797,5.977065563,5.652333736,4.74112463
0.15,0,100.0559692,126.1543884,115.702034,197.9595795,197.2255554,194.7955017,0.134730965,0.10662622,0.136025295,13.48063755,13.45136547,15.73840332,10.42009068,10.0033865,13.10798454,7.81992054,7.430995941,7.842488766,0.772967219,0.743670702,0.832866251,6.021360874,5.670362949,4.771754265
0.2,0,100.0559692,126.1543884,115.702034,197.9595795,197.2255554,194.7955017,0.134730965,0.10662622,0.136025295,13.48063755,13.45136547,15.73840332,10.42009068,10.0033865,13.10798454,7.81992054,7.430995941,7.842488766,0.772967219,0.743670702,0.832866251,6.021360874,5.670362949,4.771754265
0.25,0,100.0559692,126.1543884,115.702034,197.9595795,197.2255554,194.7955017,0.134730965,0.10662622,0.136025295,13.48063755,13.45136547,15.73840332,10.42009068,10.0033865,13.10798454,7.81992054,7.430995941,7.842488766,0.772967219,0.743670702,0.832866251,6.021360874,5.670362949,4.771754265
0.3,0,100.0559692,126.1543884,115.702034,197.9595795,197.2255554,194.7955017,0.134730965,0.10662622,0.136025295,13.48063755,13.45136547,15.73840332,10.42009068,10.0033865,13.10798454,7.81992054,7.430995941,7.842488766,0.772967219,0.743670702,0.832866251,6.021360874,5.670362949,4.771754265
0.35,0,100.0560226,126.1953583,115.7120895,198.0082855,197.282196,194.7856903,0.135127485,0.105778821,0.135474592,13.52031898,13.34879589,15.67604828,10.44003773,9.905813217,13.14400959,7.858568192,7.417230606,7.753465652,0.772173941,0.742075384,0.838477254,6.031694889,5.641449928,4.754631042
0.4,0,100.0560226,126.1953583,115.7120895,198.0082855,197.282196,194.7856903,0.135127485,0.105778821,0.135474592,13.52031898,13.34879589,15.67604828,10.44003773,9.905813217,13.14400959,7.858568192,7.417230606,7.753465652,0.772173941,0.742075384,0.838477254,6.031694889,5.641449928,4.754631042
0.45,0,100.0560226,126.1953583,115.7120895,198.0082855,197.282196,194.7856903,0.135127485,0.105778821,0.135474592,13.52031898,13.34879589,15.67604828,10.44003773,9.905813217,13.14400959,7.858568192,7.417230606,7.753465652,0.772173941,0.742075384,0.838477254,6.031694889,5.641449928,4.754631042
0.5,0,100.0560226,126.1953583,115.7120895,198.0082855,197.282196,194.7856903,0.135127485,0.105778821,0.135474592,13.52031898,13.34879589,15.67604828,10.44003773,9.905813217,13.14400959,7.858568192,7.417230606,7.753465652,0.772173941,0.742075384,0.838477254,6.031694889,5.641449928,4.754631042
0.55,0,100.0252838,126.128006,115.698494,197.8920898,197.2045898,194.7773285,0.133916572,0.104898959,0.13356787,13.39504337,13.23069668,15.45360184,10.55121136,9.973007202,13.05932903,7.598771572,7.363678455,7.526398182,0.787695169,0.753777921,0.845067024,5.975967407,5.641866684,4.760855675
0.6,0,100.0252838,126.128006,115.698494,197.8920898,197.2045898,194.7773285,0.133916572,0.104898959,0.13356787,13.39504337,13.23069668,15.45360184,10.55121136,9.973007202,13.05932903,7.598771572,7.363678455,7.526398182,0.787695169,0.753777921,0.845067024,5.975967407,5.641866684,4.760855675
0.65,0,100.0252838,126.128006,115.698494,197.8920898,197.2045898,194.7773285,0.133916572,0.104898959,0.13356787,13.39504337,13.23069668,15.45360184,10.55121136,9.973007202,13.05932903,7.598771572,7.363678455,7.526398182,0.787695169,0.753777921,0.845067024,5.975967407,5.641866684,4.760855675
0.7,0,100.0252838,126.128006,115.698494,197.8920898,197.2045898,194.7773285,0.133916572,0.104898959,0.13356787,13.39504337,13.23069668,15.45360184,10.55121136,9.973007202,13.05932903,7.598771572,7.363678455,7.526398182,0.787695169,0.753777921,0.845067024,5.975967407,5.641866684,4.760855675
0.75,0,100.0113068,126.1444092,115.6628113,197.9057922,197.2002563,194.7141876,0.132869989,0.105012245,0.134022713,13.28850079,13.24670792,15.50144386,10.42346668,10.03803921,13.05692863,7.549927711,7.227224827,7.609093666,0.784397483,0.757776141,0.842304051,6.002830029,5.636397362,4.780070305
0.8,0,100.0113068,126.1444092,115.6628113,197.9057922,197.2002563,194.7141876,0.132869989,0.105012245,0.134022713,13.28850079,13.24670792,15.50144386,10.42346668,10.03803921,13.05692863,7.549927711,7.227224827,7.609093666,0.784397483,0.757776141,0.842304051,6.002830029,5.636397362,4.780070305
0.85,0,100.0113068,126.1444092,115.6628113,197.9057922,197.2002563,194.7141876,0.132869989,0.105012245,0.134022713,13.28850079,13.24670792,15.50144386,10.42346668,10.03803921,13.05692863,7.549927711,7.227224827,7.609093666,0.784397483,0.757776141,0.842304051,6.002830029,5.636397362,4.780070305
0.9,0,100.0113068,126.1444092,115.6628113,197.9057922,197.2002563,194.7141876,0.132869989,0.105012245,0.134022713,13.28850079,13.24670792,15.50144386,10.42346668,10.03803921,13.05692863,7.549927711,7.227224827,7.609093666,0.784397483,0.757776141,0.842304051,6.002830029,5.636397362,4.780070305
0.95,0,100.0224915,126.1257706,115.6694717,197.8989258,197.179657,194.7364197,0.132873297,0.104720339,0.135093123,13.29031849,13.20793343,15.62615013,10.37121487,10.04860687,13.13871384,7.669363976,7.209785938,7.748566628,0.780358613,0.760800838,0.840815783,6.027910709,5.677082539,4.827444077
1,0,100.0224915,126.1257706,115.6694717,197.8989258,197.179657,194.7364197,0.132873297,0.104720339,0.135093123,13.29031849,13.20793343,15.62615013,10.37121487,10.04860687,13.13871384,7.669363976,7.209785938,7.748566628,0.780358613,0.760800838,0.840815783,6.027910709,5.677082539,4.827444077
1.05,0,100.0224915,126.1257706,115.6694717,197.8989258,197.179657,194.7364197,0.132873297,0.104720339,0.135093123,13.29031849,13.20793343,15.62615013,10.37121487,10.04860687,13.13871384,7.669363976,7.209785938,7.748566628,0.780358613,0.760800838,0.840815783,6.027910709,5.677082539,4.827444077
1.1,0,100.0224915,126.1257706,115.6694717,197.8989258,197.179657,194.7364197,0.132873297,0.104720339,0.135093123,13.29031849,13.20793343,15.62615013,10.37121487,10.04860687,13.13871384,7.669363976,7.209785938,7.748566628,0.780358613,0.760800838,0.840815783,6.027910709,5.677082539,4.827444077
1.15,0,100.0071945,126.1143188,115.6591263,197.8722382,197.1693573,194.7119446,0.134142041,0.106335238,0.134892225,13.41516876,13.41039562,15.60151672,10.44625378,10.01939392,13.0498209,7.692395687,7.398575306,7.729096413,0.778689682,0.747136354,0.83644563,6.042060375,5.66839695,4.860940933
1.2,0,100.0071945,126.1143188,115.6591263,197.8722382,197.1693573,194.7119446,0.134142041,0.106335238,0.134892225,13.41516876,13.41039562,15.60151672,10.44625378,10.01939392,13.0498209,7.692395687,7.398575306,7.729096413,0.778689682,0.747136354,0.83644563,6.042060375,5.66839695,4.860940933
1.25,0,100.0071945,126.1143188,115.6591263,197.8722382,197.1693573,194.7119446,0.134142041,0.106335238,0.134892225,13.41516876,13.41039562,15.60151672,10.44625378,10.01939392,13.0498209,7.692395687,7.398575306,7.729096413,0.778689682,0.747136354,0.83644563,6.042060375,5.66839695,4.860940933
1.3,0,100.0071945,126.1143188,115.6591263,197.8722382,197.1693573,194.7119446,0.134142041,0.106335238,0.134892225,13.41516876,13.41039562,15.60151672,10.44625378,10.01939392,13.0498209,7.692395687,7.398575306,7.729096413,0.778689682,0.747136354,0.83644563,6.042060375,5.66839695,4.860940933
1.35,0,99.99359894,126.1280594,115.6503983,197.8933868,197.1765747,194.6742859,0.134795085,0.105158217,0.134060606,13.47864532,13.26340199,15.50416279,10.50888157,9.849431038,13.11046505,7.713792324,7.33753109,7.514604568,0.779668987,0.74260217,0.845609367,6.115447998,5.675366879,4.872389317
1.4,0,99.99359894,126.1280594,115.6503983,197.8933868,197.1765747,194.6742859,0.134795085,0.105158217,0.134060606,13.47864532,13.26340199,15.50416279,10.50888157,9.849431038,13.11046505,7.713792324,7.33753109,7.514604568,0.779668987,0.74260217,0.845609367,6.115447998,5.675366879,4.872389317
1.45,0,99.99359894,126.1280594,115.6503983,197.8933868,197.1765747,194.6742859,0.134795085,0.105158217,0.134060606,13.47864532,13.26340199,15.50416279,10.50888157,9.849431038,13.11046505,7.713792324,7.33753109,7.514604568,0.779668987,0.74260217,0.845609367,6.115447998,5.675366879,4.872389317
1.5,0,99.99359894,126.1280594,115.6503983,197.8933868,197.1765747,194.6742859,0.134795085,0.105158217,0.134060606,13.47864532,13.26340199,15.50416279,10.50888157,9.849431038,13.11046505,7.713792324,7.33753109,7.514604568,0.779668987,0.74260217,0.845609367,6.115447998,5.675366879,4.872389317
1.55,0,99.9643631,126.0797501,115.6499863,197.7932281,197.1318512,194.6794739,0.134413943,0.105685167,0.133615986,13.4366045,13.32475948,15.45268726,10.52429104,9.919699669,13.00515175,7.656346321,7.453045368,7.570902824,0.783255279,0.744456172,0.841611028,6.012424469,5.626795769,4.772223473
1.6,0,99.9643631,126.0797501,115.6499863,197.7932281,197.1318512,194.6794739,0.134413943,0.105685167,0.133615986,13.4366045,13.32475948,15.45268726,10.52429104,9.919699669,13.00515175,7.656346321,7.453045368,7.570902824,0.783255279,0.744456172,0.841611028,6.012424469,5.626795769,4.772223473
1.65,0,99.9643631,126.0797501,115.6499863,197.7932281,197.1318512,194.6794739,0.134413943,0.105685167,0.133615986,13.4366045,13.32475948,15.45268726,10.52429104,9.919699669,13.00515175,7.656346321,7.453045368,7.570902824,0.783255279,0.744456172,0.841611028,6.012424469,5.626795769,4.772223473
1.7,0,99.9643631,126.0797501,115.6499863,197.7932281,197.1318512,194.6794739,0.134413943,0.105685167,0.133615986,13.4366045,13.32475948,15.45268726,10.52429104,9.919699669,13.00515175,7.656346321,7.453045368,7.570902824,0.783255279,0.744456172,0.841611028,6.012424469,5.626795769,4.772223473
1.75,0,99.94628143,126.1087494,115.6344681,197.8050232,197.1669769,194.6311951,0.133439854,0.105145387,0.132693157,13.33681679,13.25975323,15.34390259,10.54137707,9.995409012,13.01994419,7.454900265,7.274376869,7.408505917,0.79039681,0.753815591,0.848541915,6.050987244,5.674911022,4.775318146
1.8,0,99.94628143,126.1087494,115.6344681,197.8050232,197.1669769,194.6311951,0.133439854,0.105145387,0.132693157,13.33681679,13.25975323,15.34390259,10.54137707,9.995409012,13.01994419,7.454900265,7.274376869,7.408505917,0.79039681,0.753815591,0.848541915,6.050987244,5.674911022,4.775318146
1.85,0,100.0022964,126.1306763,115.6860352,197.8692017,197.2079163,194.7423401,0.134652823,0.105330199,0.133482054,13.46559143,13.28536892,15.44200993,10.56447983,9.896759033,13.03360653,7.650394917,7.438037395,7.508828163,0.784553707,0.744936705,0.844035625,6.067916393,5.716715336,4.872823715
1.9,0,100.0022964,126.1306763,115.6860352,197.8692017,197.2079163,194.7423401,0.134652823,0.105330199,0.133482054,13.46559143,13.28536892,15.44200993,10.56447983,9.896759033,13.03360653,7.650394917,7.438037395,7.508828163,0.784553707,0.744936705,0.844035625,6.067916393,5.716715336,4.872823715
1.95,0,100.0022964,126.1306763,115.6860352,197.8692017,197.2079163,194.7423401,0.134652823,0.105330199,0.133482054,13.46559143,13.28536892,15.44200993,10.56447983,9.896759033,13.03360653,7.650394917,7.438037395,7.508828163,0.784553707,0.744936705,0.844035625,6.067916393,5.716715336,4.872823715
2,0,100.0022964,126.1306763,115.6860352,197.8692017,197.2079163,194.7423401,0.134652823,0.105330199,0.133482054,13.46559143,13.28536892,15.44200993,10.56447983,9.896759033,13.03360653,7.650394917,7.438037395,7.508828163,0.784553707,0.744936705,0.844035625,6.067916393,5.716715336,4.872823715
2.05,0,100.0136337,126.1221771,115.6877213,197.8690491,197.2065277,194.750824,0.133711979,0.10674791,0.133111909,13.37302113,13.46327877,15.39941311,10.52110767,10.09084892,12.91868305,7.508153439,7.451714516,7.615066528,0.786741257,0.749509037,0.83890748,6.064436913,5.725713253,4.904983997
2.1,0,100.0136337,126.1221771,115.6877213,197.8690491,197.2065277,194.750824,0.133711979,0.10674791,0.133111909,13.37302113,13.46327877,15.39941311,10.52110767,10.09084892,12.91868305,7.508153439,7.451714516,7.615066528,0.786741257,0.749509037,0.83890748,6.064436913,5.725713253,4.904983997
2.15,0,100.0136337,126.1221771,115.6877213,197.8690491,197.2065277,194.750824,0.133711979,0.10674791,0.133111909,13.37302113,13.46327877,15.39941311,10.52110767,10.09084892,12.91868305,7.508153439,7.451714516,7.615066528,0.786741257,0.749509037,0.83890748,6.064436913,5.725713253,4.904983997
2.2,0,100.0136337,126.1221771,115.6877213,197.8690491,197.2065277,194.750824,0.133711979,0.10674791,0.133111909,13.37302113,13.46327877,15.39941311,10.52110767,10.09084892,12.91868305,7.508153439,7.451714516,7.615066528,0.786741257,0.749509037,0.83890748,6.064436913,5.725713253,4.904983997
2.25,0,100.0239639,126.1530533,115.6719971,197.9235992,197.2219849,194.7290955,0.133879915,0.104742259,0.134891316,13.39120007,13.21355534,15.60314751,10.42245007,9.937350273,13.13670731,7.74340868,7.299331665,7.682511806,0.778305888,0.752057254,0.841926754,6.082068443,5.713314056,4.910791874
2.3,0,100.0239639,126.1530533,115.6719971,197.9235992,197.2219849,194.7290955,0.133879915,0.104742259,0.134891316,13.39120007,13.21355534,15.60314751,10.42245007,9.937350273,13.13670731,7.74340868,7.299331665,7.682511806,0.778305888,0.752057254,0.841926754,6.082068443,5.713314056,4.910791874
