t+    , class, V_L1              , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3             , W_L1               , W_L2               , W_L3              , Q_L1                , Q_L2                , Q_L3              , PF_L1              , PF_L2                , PF_L3             , THD_L1            , THD_L2            , THD_L3
0,0,100.0086136,126.009285,115.6897125,197.7471161,197.09552,194.7753906,0.13506113,0.107452616,0.132504582,13.50727654,13.54002762,15.32941723,10.64923763,10.06626129,12.90629768,7.525541782,7.576862335,7.550806046,0.788407445,0.743444681,0.841930091,6.118406296,5.654375076,4.941839695
0.05,0,99.96921539,126.0552979,115.6800232,197.7684326,197.1670532,194.6923676,0.135197908,0.105909489,0.132795796,13.51562881,13.35045242,15.36182117,10.66494656,9.974021912,13.02767563,7.546895504,7.443495274,7.411572933,0.789082527,0.747092426,0.848055422,6.208694935,5.714725018,4.961806297
0.1,0,99.96921539,126.0552979,115.6800232,197.7684326,197.1670532,194.6923676,0.135197908,0.105909489,0.132795796,13.51562881,13.35045242,15.36182117,10.66494656,9.974021912,13.02767563,7.546895504,7.443495274,7.411572933,0.789082527,0.747092426,0.848055422,6.208694935,5.714725018,4.961806297
0.15,0,99.96921539,126.0552979,115.6800232,197.7684326,197.1670532,194.6923676,0.135197908,0.105909489,0.132795796,13.51562881,13.35045242,15.36182117,10.66494656,9.974021912,13.02767563,7.546895504,7.443495274,7.411572933,0.789082527,0.747092426,0.848055422,6.208694935,5.714725018,4.961806297
0.2,0,99.96921539,126.0552979,115.6800232,197.7684326,197.1670532,194.6923676,0.135197908,0.105909489,0.132795796,13.51562881,13.35045242,15.36182117,10.66494656,9.974021912,13.02767563,7.546895504,7.443495274,7.411572933,0.789082527,0.747092426,0.848055422,6.208694935,5.714725018,4.961806297
0.25,0,99.99511719,126.022789,115.6880951,197.7567902,197.1128998,194.7487488,0.133750945,0.106416814,0.132479861,13.37444115,13.41094398,15.32634258,10.61000061,10.1622057,12.94391823,7.409436703,7.411627769,7.530470371,0.793304205,0.757754683,0.844553649,6.165338039,5.704643726,4.988192081
0.3,0,99.99511719,126.022789,115.6880951,197.7567902,197.1128998,194.7487488,0.133750945,0.106416814,0.132479861,13.37444115,13.41094398,15.32634258,10.61000061,10.1622057,12.94391823,7.409436703,7.411627769,7.530470371,0.793304205,0.757754683,0.844553649,6.165338039,5.704643726,4.988192081
0.35,0,99.99511719,126.022789,115.6880951,197.7567902,197.1128998,194.7487488,0.133750945,0.106416814,0.132479861,13.37444115,13.41094398,15.32634258,10.61000061,10.1622057,12.94391823,7.409436703,7.411627769,7.530470371,0.793304205,0.757754683,0.844553649,6.165338039,5.704643726,4.988192081
0.4,0,99.99511719,126.022789,115.6880951,197.7567902,197.1128998,194.7487488,0.133750945,0.106416814,0.132479861,13.37444115,13.41094398,15.32634258,10.61000061,10.1622057,12.94391823,7.409436703,7.411627769,7.530470371,0.793304205,0.757754683,0.844553649,6.165338039,5.704643726,4.988192081
0.45,0,100.0077896,126.0692673,115.7111969,197.8147888,197.1902008,194.7625427,0.133749053,0.105283804,0.131612644,13.375947,13.27305222,15.22905636,10.62433243,10.008955,12.93677425,7.399436474,7.367714882,7.354169369,0.79428637,0.754080892,0.849479675,6.248814583,5.731471062,5.052733898
0.5,0,100.0077896,126.0692673,115.7111969,197.8147888,197.1902008,194.7625427,0.133749053,0.105283804,0.131612644,13.375947,13.27305222,15.22905636,10.62433243,10.008955,12.93677425,7.399436474,7.367714882,7.354169369,0.79428637,0.754080892,0.849479675,6.248814583,5.731471062,5.052733898
0.55,0,100.0077896,126.0692673,115.7111969,197.8147888,197.1902008,194.7625427,0.133749053,0.105283804,0.131612644,13.375947,13.27305222,15.22905636,10.62433243,10.008955,12.93677425,7.399436474,7.367714882,7.354169369,0.79428637,0.754080892,0.849479675,6.248814583,5.731471062,5.052733898
