t+    , class, V_L1              , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3             , W_L1               , W_L2              , W_L3              , Q_L1                , Q_L2                , Q_L3              , PF_L1             , PF_L2              , PF_L3             , THD_L1            , THD_L2            , THD_L3
0,0,99.89862823,125.9870834,115.603363,197.6294098,197.0541992,194.5730591,0.133318439,0.105113246,0.131366104,13.31832886,13.24291134,15.18636322,10.65385818,10.08319283,12.94938374,7.275029182,7.291158676,7.2749753,0.799939573,0.761403024,0.852698147,6.029788971,5.556629658,4.799435139
0.05,0,99.89862823,125.9870834,115.603363,197.6294098,197.0541992,194.5730591,0.133318439,0.105113246,0.131366104,13.31832886,13.24291134,15.18636322,10.65385818,10.08319283,12.94938374,7.275029182,7.291158676,7.2749753,0.799939573,0.761403024,0.852698147,6.029788971,5.556629658,4.799435139
0.1,0,99.9188385,125.9989319,115.6315918,197.6576843,197.0860443,194.6182861,0.133109957,0.105685852,0.131606951,13.30019188,13.31630421,15.21792126,10.65127468,10.16679096,12.9448719,7.27802372,7.328743935,7.364582539,0.800836146,0.763484418,0.850633383,6.017127514,5.562084675,4.777064323
0.15,0,99.9188385,125.9989319,115.6315918,197.6576843,197.0860443,194.6182861,0.133109957,0.105685852,0.131606951,13.30019188,13.31630421,15.21792126,10.65127468,10.16679096,12.9448719,7.27802372,7.328743935,7.364582539,0.800836146,0.763484418,0.850633383,6.017127514,5.562084675,4.777064323
0.2,0,99.9188385,125.9989319,115.6315918,197.6576843,197.0860443,194.6182861,0.133109957,0.105685852,0.131606951,13.30019188,13.31630421,15.21792126,10.65127468,10.16679096,12.9448719,7.27802372,7.328743935,7.364582539,0.800836146,0.763484418,0.850633383,6.017127514,5.562084675,4.777064323
0.25,0,99.9188385,125.9989319,115.6315918,197.6576843,197.0860443,194.6182861,0.133109957,0.105685852,0.131606951,13.30019188,13.31630421,15.21792126,10.65127468,10.16679096,12.9448719,7.27802372,7.328743935,7.364582539,0.800836146,0.763484418,0.850633383,6.017127514,5.562084675,4.777064323
0.3,0,99.9392395,125.9994507,115.6227036,197.6877899,197.0750885,194.6211548,0.132007241,0.105191089,0.131971061,13.19270325,13.25401974,15.25885105,10.54481888,10.21236324,12.96504402,7.234684467,7.179160595,7.415397644,0.79929173,0.770510614,0.849673688,6.049590111,5.539392948,4.812498569
0.35,0,99.9392395,125.9994507,115.6227036,197.6877899,197.0750885,194.6211548,0.132007241,0.105191089,0.131971061,13.19270325,13.25401974,15.25885105,10.54481888,10.21236324,12.96504402,7.234684467,7.179160595,7.415397644,0.79929173,0.770510614,0.849673688,6.049590111,5.539392948,4.812498569
0.4,0,99.9392395,125.9994507,115.6227036,197.6877899,197.0750885,194.6211548,0.132007241,0.105191089,0.131971061,13.19270325,13.25401974,15.25885105,10.54481888,10.21236324,12.96504402,7.234684467,7.179160595,7.415397644,0.79929173,0.770510614,0.849673688,6.049590111,5.539392948,4.812498569
0.45,0,99.9392395,125.9994507,115.6227036,197.6877899,197.0750885,194.6211548,0.132007241,0.105191089,0.131971061,13.19270325,13.25401974,15.25885105,10.54481888,10.21236324,12.96504402,7.234684467,7.179160595,7.415397644,0.79929173,0.770510614,0.849673688,6.049590111,5.539392948,4.812498569
0.5,0,99.95552063,126.0625153,115.6368637,197.7735901,197.1605225,194.618988,0.133397356,0.105210871,0.132617339,13.33380222,13.26314735,15.33545303,10.58839703,10.08384037,13.03544617,7.426922798,7.285573483,7.42139101,0.794101834,0.760290146,0.850020289,6.106685162,5.576957703,4.807607651
0.55,0,99.95552063,126.0625153,115.6368637,197.7735901,197.1605225,194.618988,0.133397356,0.105210871,0.132617339,13.33380222,13.26314735,15.33545303,10.58839703,10.08384037,13.03544617,7.426922798,7.285573483,7.42139101,0.794101834,0.760290146,0.850020289,6.106685162,5.576957703,4.807607651
0.6,0,99.95552063,126.0625153,115.6368637,197.7735901,197.1605225,194.618988,0.133397356,0.105210871,0.132617339,13.33380222,13.26314735,15.33545303,10.58839703,10.08384037,13.03544617,7.426922798,7.285573483,7.42139101,0.794101834,0.760290146,0.850020289,6.106685162,5.576957703,4.807607651
0.65,0,99.95552063,126.0625153,115.6368637,197.7735901,197.1605225,194.618988,0.133397356,0.105210871,0.132617339,13.33380222,13.26314735,15.33545303,10.58839703,10.08384037,13.03544617,7.426922798,7.285573483,7.42139101,0.794101834,0.760290146,0.850020289,6.106685162,5.576957703,4.807607651
0.7,0,99.96710968,126.0397491,115.6596375,197.742691,197.1437683,194.6767731,0.133350849,0.105549514,0.131364182,13.33069897,13.30343437,15.1935339,10.65247822,10.08205605,12.92015457,7.32679224,7.370879173,7.33690691,0.799093723,0.757853627,0.850371897,6.067181587,5.599967957,4.825738907
0.75,0,99.96710968,126.0397491,115.6596375,197.742691,197.1437683,194.6767731,0.133350849,0.105549514,0.131364182,13.33069897,13.30343437,15.1935339,10.65247822,10.08205605,12.92015457,7.32679224,7.370879173,7.33690691,0.799093723,0.757853627,0.850371897,6.067181587,5.599967957,4.825738907
0.8,0,99.96710968,126.0397491,115.6596375,197.742691,197.1437683,194.6767731,0.133350849,0.105549514,0.131364182,13.33069897,13.30343437,15.1935339,10.65247822,10.08205605,12.92015457,7.32679224,7.370879173,7.33690691,0.799093723,0.757853627,0.850371897,6.067181587,5.599967957,4.825738907
0.85,0,99.96710968,126.0397491,115.6596375,197.742691,197.1437683,194.6767731,0.133350849,0.105549514,0.131364182,13.33069897,13.30343437,15.1935339,10.65247822,10.08205605,12.92015457,7.32679224,7.370879173,7.33690691,0.799093723,0.757853627,0.850371897,6.067181587,5.599967957,4.825738907
0.9,0,99.92562103,126.024025,115.6264114,197.6958618,197.1145325,194.6022034,0.133414268,0.105304472,0.132345393,13.33150387,13.2708931,15.3026228,10.64016819,10.14341259,13.04378319,7.360916615,7.281687737,7.394235611,0.798122108,0.764335334,0.85238874,6.06770134,5.58877182,4.810386658
0.95,0,99.92562103,126.024025,115.6264114,197.6958618,197.1145325,194.6022034,0.133414268,0.105304472,0.132345393,13.33150387,13.2708931,15.3026228,10.64016819,10.14341259,13.04378319,7.360916615,7.281687737,7.394235611,0.798122108,0.764335334,0.85238874,6.06770134,5.58877182,4.810386658
1,0,99.92562103,126.024025,115.6264114,197.6958618,197.1145325,194.6022034,0.133414268,0.105304472,0.132345393,13.33150387,13.2708931,15.3026228,10.64016819,10.14341259,13.04378319,7.360916615,7.281687737,7.394235611,0.798122108,0.764335334,0.85238874,6.06770134,5.58877182,4.810386658
1.05,0,99.92562103,126.024025,115.6264114,197.6958618,197.1145325,194.6022034,0.133414268,0.105304472,0.132345393,13.33150387,13.2708931,15.3026228,10.64016819,10.14341259,13.04378319,7.360916615,7.281687737,7.394235611,0.798122108,0.764335334,0.85238874,6.06770134,5.58877182,4.810386658
1.1,0,99.95497894,126.0612183,115.6670151,197.7533417,197.1813202,194.664856,0.13448441,0.105961949,0.131817043,13.44238663,13.35769272,15.24688435,10.69358635,10.03892899,12.95757008,7.403903008,7.43851614,7.329530716,0.795512497,0.751546621,0.849850357,6.081101894,5.606856346,4.796407223
1.15,0,99.95497894,126.0612183,115.6670151,197.7533417,197.1813202,194.664856,0.13448441,0.105961949,0.131817043,13.44238663,13.35769272,15.24688435,10.69358635,10.03892899,12.95757008,7.403903008,7.43851614,7.329530716,0.795512497,0.751546621,0.849850357,6.081101894,5.606856346,4.796407223
1.2,0,99.95497894,126.0612183,115.6670151,197.7533417,197.1813202,194.664856,0.13448441,0.105961949,0.131817043,13.44238663,13.35769272,15.24688435,10.69358635,10.03892899,12.95757008,7.403903008,7.43851614,7.329530716,0.795512497,0.751546621,0.849850357,6.081101894,5.606856346,4.796407223
1.25,0,99.95497894,126.0612183,115.6670151,197.7533417,197.1813202,194.664856,0.13448441,0.105961949,0.131817043,13.44238663,13.35769272,15.24688435,10.69358635,10.03892899,12.95757008,7.403903008,7.43851614,7.329530716,0.795512497,0.751546621,0.849850357,6.081101894,5.606856346,4.796407223
1.3,0,99.98445129,126.025795,115.6688766,197.7440491,197.1360168,194.7060089,0.134945452,0.107024729,0.133133337,13.4924469,13.48787689,15.39938354,10.65891361,10.10422611,12.99801064,7.530889511,7.509007454,7.541516304,0.78999114,0.749133945,0.844060481,6.032247066,5.605632782,4.795490742
1.35,0,99.98445129,126.025795,115.6688766,197.7440491,197.1360168,194.7060089,0.134945452,0.107024729,0.133133337,13.4924469,13.48787689,15.39938354,10.65891361,10.10422611,12.99801064,7.530889511,7.509007454,7.541516304,0.78999114,0.749133945,0.844060481,6.032247066,5.605632782,4.795490742
1.4,0,99.98445129,126.025795,115.6688766,197.7440491,197.1360168,194.7060089,0.134945452,0.107024729,0.133133337,13.4924469,13.48787689,15.39938354,10.65891361,10.10422611,12.99801064,7.530889511,7.509007454,7.541516304,0.78999114,0.749133945,0.844060481,6.032247066,5.605632782,4.795490742
1.45,0,99.98445129,126.025795,115.6688766,197.7440491,197.1360168,194.7060089,0.134945452,0.107024729,0.133133337,13.4924469,13.48787689,15.39938354,10.65891361,10.10422611,12.99801064,7.530889511,7.509007454,7.541516304,0.78999114,0.749133945,0.844060481,6.032247066,5.605632782,4.795490742
1.5,0,99.94721985,126.0527573,115.6575089,197.7376404,197.1772308,194.6410675,0.135464653,0.106835045,0.132416859,13.53931522,13.46685219,15.31500435,10.71860981,10.03777122,12.97065449,7.523209572,7.567016125,7.429677486,0.791665554,0.745368779,0.846924663,6.115969181,5.635664463,4.854124069
1.55,0,99.94721985,126.0527573,115.6575089,197.7376404,197.1772308,194.6410675,0.135464653,0.106835045,0.132416859,13.53931522,13.46685219,15.31500435,10.71860981,10.03777122,12.97065449,7.523209572,7.567016125,7.429677486,0.791665554,0.745368779,0.846924663,6.115969181,5.635664463,4.854124069
1.6,0,99.94721985,126.0527573,115.6575089,197.7376404,197.1772308,194.6410675,0.135464653,0.106835045,0.132416859,13.53931522,13.46685219,15.31500435,10.71860981,10.03777122,12.97065449,7.523209572,7.567016125,7.429677486,0.791665554,0.745368779,0.846924663,6.115969181,5.635664463,4.854124069
1.65,0,99.94721985,126.0527573,115.6575089,197.7376404,197.1772308,194.6410675,0.135464653,0.106835045,0.132416859,13.53931522,13.46685219,15.31500435,10.71860981,10.03777122,12.97065449,7.523209572,7.567016125,7.429677486,0.791665554,0.745368779,0.846924663,6.115969181,5.635664463,4.854124069
1.7,0,99.97041321,126.0278778,115.6605835,197.7240295,197.1313477,194.6917114,0.134970695,0.106959745,0.132784188,13.49307632,13.4799099,15.3578968,10.68915749,10.13059998,12.98992634,7.494899273,7.516086578,7.517049789,0.792195737,0.75153321,0.845814168,6.051315784,5.637528896,4.85255146
1.75,0,99.97041321,126.0278778,115.6605835,197.7240295,197.1313477,194.6917114,0.134970695,0.106959745,0.132784188,13.49307632,13.4799099,15.3578968,10.68915749,10.13059998,12.98992634,7.494899273,7.516086578,7.517049789,0.792195737,0.75153321,0.845814168,6.051315784,5.637528896,4.85255146
1.8,0,99.97041321,126.0278778,115.6605835,197.7240295,197.1313477,194.6917114,0.134970695,0.106959745,0.132784188,13.49307632,13.4799099,15.3578968,10.68915749,10.13059998,12.98992634,7.494899273,7.516086578,7.517049789,0.792195737,0.75153321,0.845814168,6.051315784,5.637528896,4.85255146
1.85,0,99.97041321,126.0278778,115.6605835,197.7240295,197.1313477,194.6917114,0.134970695,0.106959745,0.132784188,13.49307632,13.4799099,15.3578968,10.68915749,10.13059998,12.98992634,7.494899273,7.516086578,7.517049789,0.792195737,0.75153321,0.845814168,6.051315784,5.637528896,4.85255146
1.9,0,99.97541046,126.00914,115.6471176,197.7211151,197.0812683,194.6930084,0.134480253,0.106519014,0.132315576,13.44471836,13.422369,15.30191517,10.66533184,10.10647202,12.94932079,7.465231895,7.498083115,7.494032383,0.793272972,0.752957404,0.846254885,6.036242962,5.604556084,4.851745605
