t+    , class, V_L1              , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3              , W_L1               , W_L2               , W_L3               , Q_L1                , Q_L2               , Q_L3               , PF_L1               , PF_L2              , PF_L3              , THD_L1            , THD_L2            , THD_L3
0,0,103.1170349,129.0084991,119.2001572,202.7706451,203.0919952,200.5867462,0.442337036,0.466345876,0.487149864,45.61248398,60.1625824,58.0683403,-43.86852264,-55.6847229,-56.91623688,7.407800198,18.64788246,2.82947135,0.961765707,0.925570667,0.980159521,5.020700455,4.854053497,3.99373436
0.05,0,103.1170349,129.0084991,119.2001572,202.7706451,203.0919952,200.5867462,0.442337036,0.466345876,0.487149864,45.61248398,60.1625824,58.0683403,-43.86852264,-55.6847229,-56.91623688,7.407800198,18.64788246,2.82947135,0.961765707,0.925570667,0.980159521,5.020700455,4.854053497,3.99373436
0.1,0,103.1170349,129.0084991,119.2001572,202.7706451,203.0919952,200.5867462,0.442337036,0.466345876,0.487149864,45.61248398,60.1625824,58.0683403,-43.86852264,-55.6847229,-56.91623688,7.407800198,18.64788246,2.82947135,0.961765707,0.925570667,0.980159521,5.020700455,4.854053497,3.99373436
0.15,0,103.1247711,129.0496521,119.2697372,202.8268433,203.1449738,200.6724701,0.451510608,0.474649578,0.496310264,46.5619278,61.25336456,59.1947937,-44.72327423,-56.53620911,-57.98610687,7.942791462,19.39747429,3.469553232,0.960511625,0.922989428,0.979581177,5.066006184,4.838319302,3.964767933
0.2,0,103.1247711,129.0496521,119.2697372,202.8268433,203.1449738,200.6724701,0.451510608,0.474649578,0.496310264,46.5619278,61.25336456,59.1947937,-44.72327423,-56.53620911,-57.98610687,7.942791462,19.39747429,3.469553232,0.960511625,0.922989428,0.979581177,5.066006184,4.838319302,3.964767933
0.25,0,103.1247711,129.0496521,119.2697372,202.8268433,203.1449738,200.6724701,0.451510608,0.474649578,0.496310264,46.5619278,61.25336456,59.1947937,-44.72327423,-56.53620911,-57.98610687,7.942791462,19.39747429,3.469553232,0.960511625,0.922989428,0.979581177,5.066006184,4.838319302,3.964767933
0.3,0,103.1247711,129.0496521,119.2697372,202.8268433,203.1449738,200.6724701,0.451510608,0.474649578,0.496310264,46.5619278,61.25336456,59.1947937,-44.72327423,-56.53620911,-57.98610687,7.942791462,19.39747429,3.469553232,0.960511625,0.922989428,0.979581177,5.066006184,4.838319302,3.964767933
0.35,0,103.1639709,129.0632629,119.2869263,202.8317719,203.1822662,200.7492523,0.453341305,0.480093569,0.498449743,46.76848984,61.96244431,59.45853806,-45.00646591,-57.44339752,-58.37477493,8.394981384,19.73524284,3.352428675,0.96232456,0.927067995,0.98177278,4.953855515,4.830661774,3.899916172
0.4,0,103.1639709,129.0632629,119.2869263,202.8317719,203.1822662,200.7492523,0.453341305,0.480093569,0.498449743,46.76848984,61.96244431,59.45853806,-45.00646591,-57.44339752,-58.37477493,8.394981384,19.73524284,3.352428675,0.96232456,0.927067995,0.98177278,4.953855515,4.830661774,3.899916172
0.45,0,103.1639709,129.0632629,119.2869263,202.8317719,203.1822662,200.7492523,0.453341305,0.480093569,0.498449743,46.76848984,61.96244431,59.45853806,-45.00646591,-57.44339752,-58.37477493,8.394981384,19.73524284,3.352428675,0.96232456,0.927067995,0.98177278,4.953855515,4.830661774,3.899916172
0.5,0,103.1639709,129.0632629,119.2869263,202.8317719,203.1822662,200.7492523,0.453341305,0.480093569,0.498449743,46.76848984,61.96244431,59.45853806,-45.00646591,-57.44339752,-58.37477493,8.394981384,19.73524284,3.352428675,0.96232456,0.927067995,0.98177278,4.953855515,4.830661774,3.899916172
0.55,0,103.1143646,129.0112762,119.2262573,202.7837372,203.0766144,200.6234589,0.441581726,0.46434629,0.485776365,45.53342056,59.90590668,57.91729736,-43.86212921,-55.48842239,-56.8097496,7.492958069,18.70145035,3.053187609,0.963295281,0.926259637,0.980877101,5.008178711,4.874423027,3.975791931
0.6,0,103.1143646,129.0112762,119.2262573,202.7837372,203.0766144,200.6234589,0.441581726,0.46434629,0.485776365,45.53342056,59.90590668,57.91729736,-43.86212921,-55.48842239,-56.8097496,7.492958069,18.70145035,3.053187609,0.963295281,0.926259637,0.980877101,5.008178711,4.874423027,3.975791931
0.65,0,103.1143646,129.0112762,119.2262573,202.7837372,203.0766144,200.6234589,0.441581726,0.46434629,0.485776365,45.53342056,59.90590668,57.91729736,-43.86212921,-55.48842239,-56.8097496,7.492958069,18.70145035,3.053187609,0.963295281,0.926259637,0.980877101,5.008178711,4.874423027,3.975791931
0.7,0,103.1143646,129.0112762,119.2262573,202.7837372,203.0766144,200.6234589,0.441581726,0.46434629,0.485776365,45.53342056,59.90590668,57.91729736,-43.86212921,-55.48842239,-56.8097496,7.492958069,18.70145035,3.053187609,0.963295281,0.926259637,0.980877101,5.008178711,4.874423027,3.975791931
0.75,0,103.1453171,129.0612183,119.225853,202.855484,203.1448975,200.6349335,0.447980613,0.474644154,0.493978381,46.20710373,61.25815201,58.89499283,-44.40604019,-56.62797165,-57.72365189,8.033634186,19.45275497,3.203397989,0.96102196,0.92441529,0.980111361,5.013520241,4.836954594,3.958878279
0.8,0,103.1453171,129.0612183,119.225853,202.855484,203.1448975,200.6349335,0.447980613,0.474644154,0.493978381,46.20710373,61.25815201,58.89499283,-44.40604019,-56.62797165,-57.72365189,8.033634186,19.45275497,3.203397989,0.96102196,0.92441529,0.980111361,5.013520241,4.836954594,3.958878279
0.85,0,103.1453171,129.0612183,119.225853,202.855484,203.1448975,200.6349335,0.447980613,0.474644154,0.493978381,46.20710373,61.25815201,58.89499283,-44.40604019,-56.62797165,-57.72365189,8.033634186,19.45275497,3.203397989,0.96102196,0.92441529,0.980111361,5.013520241,4.836954594,3.958878279
0.9,0,103.1453171,129.0612183,119.225853,202.855484,203.1448975,200.6349335,0.447980613,0.474644154,0.493978381,46.20710373,61.25815201,58.89499283,-44.40604019,-56.62797165,-57.72365189,8.033634186,19.45275497,3.203397989,0.96102196,0.92441529,0.980111361,5.013520241,4.836954594,3.958878279
0.95,0,103.1087952,129.0280457,119.2605667,202.7956543,203.1214905,200.6467438,0.447551668,0.468797892,0.492033213,46.14651489,60.48807526,58.68016052,-44.58762741,-56.28134537,-57.6342926,7.031542301,18.25932312,2.556977272,0.96621871,0.930453539,0.982176781,4.987307072,4.813931942,3.983171701
1,0,103.1087952,129.0280457,119.2605667,202.7956543,203.1214905,200.6467438,0.447551668,0.468797892,0.492033213,46.14651489,60.48807526,58.68016052,-44.58762741,-56.28134537,-57.6342926,7.031542301,18.25932312,2.556977272,0.96621871,0.930453539,0.982176781,4.987307072,4.813931942,3.983171701
1.05,0,103.1087952,129.0280457,119.2605667,202.7956543,203.1214905,200.6467438,0.447551668,0.468797892,0.492033213,46.14651489,60.48807526,58.68016052,-44.58762741,-56.28134537,-57.6342926,7.031542301,18.25932312,2.556977272,0.96621871,0.930453539,0.982176781,4.987307072,4.813931942,3.983171701
1.1,0,103.1087952,129.0280457,119.2605667,202.7956543,203.1214905,200.6467438,0.447551668,0.468797892,0.492033213,46.14651489,60.48807526,58.68016052,-44.58762741,-56.28134537,-57.6342926,7.031542301,18.25932312,2.556977272,0.96621871,0.930453539,0.982176781,4.987307072,4.813931942,3.983171701
1.15,0,103.0921173,129.0237122,119.2123642,202.753418,203.1016998,200.5943451,0.447708607,0.475688219,0.495724142,46.15522766,61.37506104,59.09644699,-44.36901093,-56.61359406,-58.02205658,8.743000984,20.52369499,4.043686867,0.961299777,0.922420144,0.981819689,5.04108572,4.839502811,3.950848818
1.2,0,103.0921173,129.0237122,119.2123642,202.753418,203.1016998,200.5943451,0.447708607,0.475688219,0.495724142,46.15522766,61.37506104,59.09644699,-44.36901093,-56.61359406,-58.02205658,8.743000984,20.52369499,4.043686867,0.961299777,0.922420144,0.981819689,5.04108572,4.839502811,3.950848818
1.25,0,103.0921173,129.0237122,119.2123642,202.753418,203.1016998,200.5943451,0.447708607,0.475688219,0.495724142,46.15522766,61.37506104,59.09644699,-44.36901093,-56.61359406,-58.02205658,8.743000984,20.52369499,4.043686867,0.961299777,0.922420144,0.981819689,5.04108572,4.839502811,3.950848818
1.3,0,103.0921173,129.0237122,119.2123642,202.753418,203.1016998,200.5943451,0.447708607,0.475688219,0.495724142,46.15522766,61.37506104,59.09644699,-44.36901093,-56.61359406,-58.02205658,8.743000984,20.52369499,4.043686867,0.961299777,0.922420144,0.981819689,5.04108572,4.839502811,3.950848818
1.35,0,103.1102753,129.0196228,119.2267303,202.7871857,203.0717621,200.6304779,0.448359817,0.471551329,0.490668386,46.23050308,60.83937454,58.50078583,-44.59007263,-56.61646652,-57.42997742,7.481873512,18.38881683,2.613226175,0.964516282,0.930589199,0.981695831,4.95834589,4.84355545,3.908774614
1.4,0,103.1102753,129.0196228,119.2267303,202.7871857,203.0717621,200.6304779,0.448359817,0.471551329,0.490668386,46.23050308,60.83937454,58.50078583,-44.59007263,-56.61646652,-57.42997742,7.481873512,18.38881683,2.613226175,0.964516282,0.930589199,0.981695831,4.95834589,4.84355545,3.908774614
1.45,0,103.1102753,129.0196228,119.2267303,202.7871857,203.0717621,200.6304779,0.448359817,0.471551329,0.490668386,46.23050308,60.83937454,58.50078583,-44.59007263,-56.61646652,-57.42997742,7.481873512,18.38881683,2.613226175,0.964516282,0.930589199,0.981695831,4.95834589,4.84355545,3.908774614
1.5,0,103.1102753,129.0196228,119.2267303,202.7871857,203.0717621,200.6304779,0.448359817,0.471551329,0.490668386,46.23050308,60.83937454,58.50078583,-44.59007263,-56.61646652,-57.42997742,7.481873512,18.38881683,2.613226175,0.964516282,0.930589199,0.981695831,4.95834589,4.84355545,3.908774614
1.55,0,103.1262054,129.0208588,119.1963043,202.7778931,203.0919342,200.6065521,0.443794638,0.468360364,0.490368724,45.76685715,60.42825699,58.45013809,-44.10558701,-56.04562378,-57.33737946,7.208225727,18.60408592,2.565735817,0.963701487,0.927473783,0.980962276,4.992131233,4.856987476,3.983771324
1.6,0,103.1262054,129.0208588,119.1963043,202.7778931,203.0919342,200.6065521,0.443794638,0.468360364,0.490368724,45.76685715,60.42825699,58.45013809,-44.10558701,-56.04562378,-57.33737946,7.208225727,18.60408592,2.565735817,0.963701487,0.927473783,0.980962276,4.992131233,4.856987476,3.983771324
