t+,class,V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
0,0,99.88775635,125.9363403,115.7333755,197.5684052,197.1750031,194.6496887,0.137820512,0.108598582,0.132173419,13.76658154,13.67650795,15.29687595,10.92961693,10.09564781,12.97797298,7.554301739,7.801513195,7.408522606,0.793923795,0.738174379,0.848406732,6.25846529,5.726280689,5.000494957
0.05,0,99.88775635,125.9363403,115.7333755,197.5684052,197.1750031,194.6496887,0.137820512,0.108598582,0.132173419,13.76658154,13.67650795,15.29687595,10.92961693,10.09564781,12.97797298,7.554301739,7.801513195,7.408522606,0.793923795,0.738174379,0.848406732,6.25846529,5.726280689,5.000494957
0.1,0,99.88775635,125.9363403,115.7333755,197.5684052,197.1750031,194.6496887,0.137820512,0.108598582,0.132173419,13.76658154,13.67650795,15.29687595,10.92961693,10.09564781,12.97797298,7.554301739,7.801513195,7.408522606,0.793923795,0.738174379,0.848406732,6.25846529,5.726280689,5.000494957
0.15,0,99.86597443,125.9085693,115.6930237,197.5303192,197.0984497,194.6045532,0.136565983,0.107955851,0.133356676,13.63829517,13.59256649,15.42843723,10.80505085,10.15694141,13.04290676,7.526432514,7.602432251,7.488863468,0.792258203,0.747242332,0.845380962,6.220058918,5.679812431,4.93678093
0.2,0,99.86597443,125.9085693,115.6930237,197.5303192,197.0984497,194.6045532,0.136565983,0.107955851,0.133356676,13.63829517,13.59256649,15.42843723,10.80505085,10.15694141,13.04290676,7.526432514,7.602432251,7.488863468,0.792258203,0.747242332,0.845380962,6.220058918,5.679812431,4.93678093
0.25,0,99.86597443,125.9085693,115.6930237,197.5303192,197.0984497,194.6045532,0.136565983,0.107955851,0.133356676,13.63829517,13.59256649,15.42843723,10.80505085,10.15694141,13.04290676,7.526432514,7.602432251,7.488863468,0.792258203,0.747242332,0.845380962,6.220058918,5.679812431,4.93678093
0.3,0,99.85242462,125.8784866,115.6615906,197.478714,197.05896,194.5638275,0.137133494,0.107782364,0.133313775,13.69311142,13.56748104,15.41928291,10.8595953,10.08590603,13.08006859,7.556086063,7.615867138,7.407435417,0.793069959,0.743388236,0.848292947,6.200338364,5.71672821,4.981590748
0.35,0,99.85242462,125.8784866,115.6615906,197.478714,197.05896,194.5638275,0.137133494,0.107782364,0.133313775,13.69311142,13.56748104,15.41928291,10.8595953,10.08590603,13.08006859,7.556086063,7.615867138,7.407435417,0.793069959,0.743388236,0.848292947,6.200338364,5.71672821,4.981590748
0.4,0,99.85242462,125.8784866,115.6615906,197.478714,197.05896,194.5638275,0.137133494,0.107782364,0.133313775,13.69311142,13.56748104,15.41928291,10.8595953,10.08590603,13.08006859,7.556086063,7.615867138,7.407435417,0.793069959,0.743388236,0.848292947,6.200338364,5.71672821,4.981590748
0.45,0,99.85242462,125.8784866,115.6615906,197.478714,197.05896,194.5638275,0.137133494,0.107782364,0.133313775,13.69311142,13.56748104,15.41928291,10.8595953,10.08590603,13.08006859,7.556086063,7.615867138,7.407435417,0.793069959,0.743388236,0.848292947,6.200338364,5.71672821,4.981590748
0.5,0,99.85242462,125.8784866,115.6615906,197.478714,197.05896,194.5638275,0.137133494,0.107782364,0.133313775,13.69311142,13.56748104,15.41928291,10.8595953,10.08590603,13.08006859,7.556086063,7.615867138,7.407435417,0.793069959,0.743388236,0.848292947,6.200338364,5.71672821,4.981590748
0.55,0,99.87967682,125.8657913,115.6763763,197.5010834,197.0221558,194.6211395,0.136703625,0.10815537,0.134006411,13.6539135,13.61306095,15.50137615,10.79116249,10.14510441,13.09486389,7.570155144,7.571076393,7.524062634,0.790334761,0.745247841,0.844754934,6.197962761,5.698904991,5.005268574
0.6,0,99.87967682,125.8657913,115.6763763,197.5010834,197.0221558,194.6211395,0.136703625,0.10815537,0.134006411,13.6539135,13.61306095,15.50137615,10.79116249,10.14510441,13.09486389,7.570155144,7.571076393,7.524062634,0.790334761,0.745247841,0.844754934,6.197962761,5.698904991,5.005268574
0.65,0,99.87967682,125.8657913,115.6763763,197.5010834,197.0221558,194.6211395,0.136703625,0.10815537,0.134006411,13.6539135,13.61306095,15.50137615,10.79116249,10.14510441,13.09486389,7.570155144,7.571076393,7.524062634,0.790334761,0.745247841,0.844754934,6.197962761,5.698904991,5.005268574
0.7,0,99.87967682,125.8657913,115.6763763,197.5010834,197.0221558,194.6211395,0.136703625,0.10815537,0.134006411,13.6539135,13.61306095,15.50137615,10.79116249,10.14510441,13.09486389,7.570155144,7.571076393,7.524062634,0.790334761,0.745247841,0.844754934,6.197962761,5.698904991,5.005268574
0.75,0,99.85831451,125.889267,115.6598129,197.5032959,197.0482941,194.5733795,0.137505576,0.108120121,0.134258226,13.73107529,13.61116314,15.52828121,10.81641102,10.08944893,13.11459255,7.676354408,7.659045219,7.553409576,0.787732244,0.741262794,0.844561756,6.201971531,5.723688602,4.960132122
0.8,0,99.85831451,125.889267,115.6598129,197.5032959,197.0482941,194.5733795,0.137505576,0.108120121,0.134258226,13.73107529,13.61116314,15.52828121,10.81641102,10.08944893,13.11459255,7.676354408,7.659045219,7.553409576,0.787732244,0.741262794,0.844561756,6.201971531,5.723688602,4.960132122
0.85,0,99.85831451,125.889267,115.6598129,197.5032959,197.0482941,194.5733795,0.137505576,0.108120121,0.134258226,13.73107529,13.61116314,15.52828121,10.81641102,10.08944893,13.11459255,7.676354408,7.659045219,7.553409576,0.787732244,0.741262794,0.844561756,6.201971531,5.723688602,4.960132122
0.9,0,99.85284424,125.8945847,115.6664352,197.4908142,197.0822296,194.5669861,0.137754232,0.109236054,0.134105667,13.75515175,13.75222778,15.5115242,10.82157993,10.10964775,13.03460026,7.691683769,7.789859772,7.613718987,0.787732244,0.741262794,0.844561756,6.201971531,5.723688602,4.960132122
0.95,0,99.85284424,125.8945847,115.6664352,197.4908142,197.0822296,194.5669861,0.137754232,0.109236054,0.134105667,13.75515175,13.75222778,15.5115242,10.82157993,10.10964775,13.03460026,7.691683769,7.789859772,7.613718987,0.786729217,0.735127985,0.84031719,6.193062782,5.744702816,4.982262611
1,0,99.85284424,125.8945847,115.6664352,197.4908142,197.0822296,194.5669861,0.137754232,0.109236054,0.134105667,13.75515175,13.75222778,15.5115242,10.82157993,10.10964775,13.03460026,7.691683769,7.789859772,7.613718987,0.786729217,0.735127985,0.84031719,6.193062782,5.744702816,4.982262611
1.05,0,99.85284424,125.8945847,115.6664352,197.4908142,197.0822296,194.5669861,0.137754232,0.109236054,0.134105667,13.75515175,13.75222778,15.5115242,10.82157993,10.10964775,13.03460026,7.691683769,7.789859772,7.613718987,0.786729217,0.735127985,0.84031719,6.193062782,5.744702816,4.982262611
1.1,0,99.84285736,125.8696136,115.6412354,197.469986,197.0245361,194.543045,0.139204234,0.11028973,0.134645656,13.89854813,13.88212585,15.57059002,10.90350628,10.13564014,13.05993748,7.762451649,7.9071064,7.647388458,0.784506857,0.730121613,0.83875674,6.105487347,5.59222126,4.907748222
1.15,0,99.84285736,125.8696136,115.6412354,197.469986,197.0245361,194.543045,0.139204234,0.11028973,0.134645656,13.89854813,13.88212585,15.57059002,10.90350628,10.13564014,13.05993748,7.762451649,7.9071064,7.647388458,0.784506857,0.730121613,0.83875674,6.105487347,5.59222126,4.907748222
1.2,0,99.84285736,125.8696136,115.6412354,197.469986,197.0245361,194.543045,0.139204234,0.11028973,0.134645656,13.89854813,13.88212585,15.57059002,10.90350628,10.13564014,13.05993748,7.762451649,7.9071064,7.647388458,0.784506857,0.730121613,0.83875674,6.105487347,5.59222126,4.907748222
1.25,0,99.84285736,125.8696136,115.6412354,197.469986,197.0245361,194.543045,0.139204234,0.11028973,0.134645656,13.89854813,13.88212585,15.57059002,10.90350628,10.13564014,13.05993748,7.762451649,7.9071064,7.647388458,0.784506857,0.730121613,0.83875674,6.105487347,5.59222126,4.907748222
1.3,0,99.84285736,125.8696136,115.6412354,197.469986,197.0245361,194.543045,0.139204234,0.11028973,0.134645656,13.89854813,13.88212585,15.57059002,10.90350628,10.13564014,13.05993748,7.762451649,7.9071064,7.647388458,0.784506857,0.730121613,0.83875674,6.105487347,5.59222126,4.907748222
1.35,0,99.8537674,125.9324112,115.6683807,197.5429688,197.1095581,194.5607758,0.139361158,0.109780043,0.135499939,13.9157362,13.82486534,15.67305851,10.8329525,10.05385017,13.12659168,7.884708881,7.871602535,7.711408615,0.778467774,0.727229536,0.837525845,6.182113647,5.718551159,4.934867382
1.4,0,99.8537674,125.9324112,115.6683807,197.5429688,197.1095581,194.5607758,0.139361158,0.109780043,0.135499939,13.9157362,13.82486534,15.67305851,10.8329525,10.05385017,13.12659168,7.884708881,7.871602535,7.711408615,0.778467774,0.727229536,0.837525845,6.182113647,5.718551159,4.934867382
1.45,0,99.8537674,125.9324112,115.6683807,197.5429688,197.1095581,194.5607758,0.139361158,0.109780043,0.135499939,13.9157362,13.82486534,15.67305851,10.8329525,10.05385017,13.12659168,7.884708881,7.871602535,7.711408615,0.778467774,0.727229536,0.837525845,6.182113647,5.718551159,4.934867382
1.5,0,99.90067291,125.9296417,115.7020111,197.5700684,197.1301117,194.6433868,0.139667183,0.109517023,0.135625824,13.95284557,13.79143906,15.69218063,10.89071083,10.02325535,13.17557716,7.886244297,7.846661568,7.634775162,0.78053689,0.726773739,0.839626908,6.140426159,5.679572582,4.982615471
1.55,0,99.90067291,125.9296417,115.7020111,197.5700684,197.1301117,194.6433868,0.139667183,0.109517023,0.135625824,13.95284557,13.79143906,15.69218063,10.89071083,10.02325535,13.17557716,7.886244297,7.846661568,7.634775162,0.78053689,0.726773739,0.839626908,6.140426159,5.679572582,4.982615471
1.6,0,99.90067291,125.9296417,115.7020111,197.5700684,197.1301117,194.6433868,0.139667183,0.109517023,0.135625824,13.95284557,13.79143906,15.69218063,10.89071083,10.02325535,13.17557716,7.886244297,7.846661568,7.634775162,0.78053689,0.726773739,0.839626908,6.140426159,5.679572582,4.982615471
1.65,0,99.90067291,125.9296417,115.7020111,197.5700684,197.1301117,194.6433868,0.139667183,0.109517023,0.135625824,13.95284557,13.79143906,15.69218063,10.89071083,10.02325535,13.17557716,7.886244297,7.846661568,7.634775162,0.78053689,0.726773739,0.839626908,6.140426159,5.679572582,4.982615471
1.7,0,99.90067291,125.9296417,115.7020111,197.5700684,197.1301117,194.6433868,0.139667183,0.109517023,0.135625824,13.95284557,13.79143906,15.69218063,10.89071083,10.02325535,13.17557716,7.886244297,7.846661568,7.634775162,0.78053689,0.726773739,0.839626908,6.140426159,5.679572582,4.982615471
1.75,0,99.90383911,125.9571838,115.7034607,197.6209869,197.149292,194.6342621,0.140205607,0.10934402,0.136368573,14.00707817,13.77266502,15.77831554,10.8517189,9.943195343,13.22884846,8.009168625,7.850546837,7.68109417,0.7747311,0.721951425,0.838419557,6.217703819,5.691112041,4.959847927
1.8,0,99.90383911,125.9571838,115.7034607,197.6209869,197.149292,194.6342621,0.140205607,0.10934402,0.136368573,14.00707817,13.77266502,15.77831554,10.8517189,9.943195343,13.22884846,8.009168625,7.850546837,7.68109417,0.7747311,0.721951425,0.838419557,6.217703819,5.691112041,4.959847927
1.85,0,99.90383911,125.9571838,115.7034607,197.6209869,197.149292,194.6342621,0.140205607,0.10934402,0.136368573,14.00707817,13.77266502,15.77831554,10.8517189,9.943195343,13.22884846,8.009168625,7.850546837,7.68109417,0.7747311,0.721951425,0.838419557,6.217703819,5.691112041,4.959847927
1.9,0,99.87484741,125.9653168,115.6804123,197.5964813,197.1578522,194.5763702,0.139261112,0.108377099,0.13442108,13.90868187,13.65175533,15.54988575,10.92298794,9.929510117,13.16720104,7.823038101,7.788942814,7.446545601,0.785335958,0.727343082,0.846771538,6.225719452,5.746045589,4.95095396
1.95,0,99.87484741,125.9653168,115.6804123,197.5964813,197.1578522,194.5763702,0.139261112,0.108377099,0.13442108,13.90868187,13.65175533,15.54988575,10.92298794,9.929510117,13.16720104,7.823038101,7.788942814,7.446545601,0.785335958,0.727343082,0.846771538,6.225719452,5.746045589,4.95095396
2,0,99.87484741,125.9653168,115.6804123,197.5964813,197.1578522,194.5763702,0.139261112,0.108377099,0.13442108,13.90868187,13.65175533,15.54988575,10.92298794,9.929510117,13.16720104,7.823038101,7.788942814,7.446545601,0.785335958,0.727343082,0.846771538,6.225719452,5.746045589,4.95095396
2.05,0,99.87484741,125.9653168,115.6804123,197.5964813,197.1578522,194.5763702,0.139261112,0.108377099,0.13442108,13.90868187,13.65175533,15.54988575,10.92298794,9.929510117,13.16720104,7.823038101,7.788942814,7.446545601,0.785335958,0.727343082,0.846771538,6.225719452,5.746045589,4.95095396
2.1,0,99.86962128,125.9131546,115.664772,197.5328827,197.0953217,194.5744629,0.137114584,0.107478388,0.133139223,13.69358158,13.53294277,15.39951801,10.86200237,10.06609917,13.08530807,7.575725079,7.622980595,7.397783756,0.793218493,0.743821919,0.849721909,6.108524799,5.629911423,4.9083848
2.15,0,99.86962128,125.9131546,115.664772,197.5328827,197.0953217,194.5744629,0.137114584,0.107478388,0.133139223,13.69358158,13.53294277,15.39951801,10.86200237,10.06609917,13.08530807,7.575725079,7.622980595,7.397783756,0.793218493,0.743821919,0.849721909,6.108524799,5.629911423,4.9083848
2.2,0,99.86962128,125.9131546,115.664772,197.5328827,197.0953217,194.5744629,0.137114584,0.107478388,0.133139223,13.69358158,13.53294277,15.39951801,10.86200237,10.06609917,13.08530807,7.575725079,7.622980595,7.397783756,0.793218493,0.743821919,0.849721909,6.108524799,5.629911423,4.9083848
2.25,0,99.86962128,125.9131546,115.664772,197.5328827,197.0953217,194.5744629,0.137114584,0.107478388,0.133139223,13.69358158,13.53294277,15.39951801,10.86200237,10.06609917,13.08530807,7.575725079,7.622980595,7.397783756,0.793218493,0.743821919,0.849721909,6.108524799,5.629911423,4.9083848
