t+    , class, V_L1             , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3              , W_L1              , W_L2              , W_L3                , Q_L1                , Q_L2                , Q_L3                , PF_L1              , PF_L2              , PF_L3                 , THD_L1            , THD_L2            , THD_L3
0,0,99.82469177,125.9419708,115.6586838,197.4573975,197.1659241,194.5504456,0.139463142,0.109544076,0.137980983,13.92186546,13.79619694,15.95869923,10.74665165,10.03382778,13.29179192,7.983982563,7.727870464,7.797914028,0.771926105,0.727289379,0.832886934,6.044023514,5.820416927,4.776401043
0.05,0,99.87526703,125.9148788,115.6519852,197.4672089,197.1308746,194.5945282,0.139001727,0.108502157,0.138106033,13.88283443,13.66203594,15.97223663,10.7223568,9.983792305,13.35872078,8.061477661,7.69244051,7.833498955,0.772346377,0.730768979,0.836371303,5.950603962,5.838496685,4.835812092
0.1,0,99.87526703,125.9148788,115.6519852,197.4672089,197.1308746,194.5945282,0.139001727,0.108502157,0.138106033,13.88283443,13.66203594,15.97223663,10.7223568,9.983792305,13.35872078,8.061477661,7.69244051,7.833498955,0.772346377,0.730768979,0.836371303,5.950603962,5.838496685,4.835812092
0.15,0,99.87526703,125.9148788,115.6519852,197.4672089,197.1308746,194.5945282,0.139001727,0.108502157,0.138106033,13.88283443,13.66203594,15.97223663,10.7223568,9.983792305,13.35872078,8.061477661,7.69244051,7.833498955,0.772346377,0.730768979,0.836371303,5.950603962,5.838496685,4.835812092
0.2,0,99.87526703,125.9148788,115.6519852,197.4672089,197.1308746,194.5945282,0.139001727,0.108502157,0.138106033,13.88283443,13.66203594,15.97223663,10.7223568,9.983792305,13.35872078,8.061477661,7.69244051,7.833498955,0.772346377,0.730768979,0.836371303,5.950603962,5.838496685,4.835812092
0.25,0,99.88666534,125.9518814,115.6706238,197.5469055,197.1737518,194.5981598,0.139883459,0.109206326,0.139628455,13.97249222,13.75474262,16.15091133,10.68711662,10.00870705,13.40869331,8.225283623,7.769056797,8.008993149,0.764868319,0.727654994,0.830212772,6.062317848,5.785038471,4.855848312
0.3,0,99.88666534,125.9518814,115.6706238,197.5469055,197.1737518,194.5981598,0.139883459,0.109206326,0.139628455,13.97249222,13.75474262,16.15091133,10.68711662,10.00870705,13.40869331,8.225283623,7.769056797,8.008993149,0.764868319,0.727654994,0.830212772,6.062317848,5.785038471,4.855848312
0.35,0,99.88666534,125.9518814,115.6706238,197.5469055,197.1737518,194.5981598,0.139883459,0.109206326,0.139628455,13.97249222,13.75474262,16.15091133,10.68711662,10.00870705,13.40869331,8.225283623,7.769056797,8.008993149,0.764868319,0.727654994,0.830212772,6.062317848,5.785038471,4.855848312
0.4,0,99.88666534,125.9518814,115.6706238,197.5469055,197.1737518,194.5981598,0.139883459,0.109206326,0.139628455,13.97249222,13.75474262,16.15091133,10.68711662,10.00870705,13.40869331,8.225283623,7.769056797,8.008993149,0.764868319,0.727654994,0.830212772,6.062317848,5.785038471,4.855848312
0.45,0,99.8565979,125.9736938,115.6712341,197.5370636,197.1947479,194.5766449,0.142896712,0.109750867,0.139929861,14.26917934,13.82572174,16.18585968,10.83763599,9.775427818,13.501791,8.386978149,7.883601665,7.820607185,0.759513617,0.707046449,0.83417201,6.046702862,5.801926613,4.734662056
