t+    , class, V_L1             , V_L2              , V_L3              , V_L12             , V_L23             , V_L31             , A_L1               , A_L2               , A_L3               , VA_L1              , VA_L2              , VA_L3              , W_L1              , W_L2              , W_L3               , Q_L1                , Q_L2                , Q_L3                , PF_L1              , PF_L2              , PF_L3                , THD_L1            , THD_L2            , THD_L3
0,0,99.80756378,125.9727859,115.6429749,197.5668335,197.1525269,194.46521,0.139373228,0.108212061,0.138834,13.91050243,13.6317749,16.05517578,10.6693449,10.00849438,13.39989662,8.148878098,7.669637203,7.923677921,0.766999245,0.734203339,0.83461535,6.149007797,5.609731197,4.811855793
0.05,0,99.80756378,125.9727859,115.6429749,197.5668335,197.1525269,194.46521,0.139373228,0.108212061,0.138834,13.91050243,13.6317749,16.05517578,10.6693449,10.00849438,13.39989662,8.148878098,7.669637203,7.923677921,0.766999245,0.734203339,0.83461535,6.149007797,5.609731197,4.811855793
0.1,0,99.82123566,125.9562149,115.6285019,197.5042725,197.1835785,194.4617157,0.138660684,0.108346269,0.136928007,13.84128094,13.64688587,15.83277988,10.75667191,10.000741,13.29407883,7.955487728,7.685675144,7.710938454,0.777144253,0.73282218,0.839655399,5.954870701,5.599865913,4.860117435
0.15,0,99.82123566,125.9562149,115.6285019,197.5042725,197.1835785,194.4617157,0.138660684,0.108346269,0.136928007,13.84128094,13.64688587,15.83277988,10.75667191,10.000741,13.29407883,7.955487728,7.685675144,7.710938454,0.777144253,0.73282218,0.839655399,5.954870701,5.599865913,4.860117435
0.2,0,99.82123566,125.9562149,115.6285019,197.5042725,197.1835785,194.4617157,0.138660684,0.108346269,0.136928007,13.84128094,13.64688587,15.83277988,10.75667191,10.000741,13.29407883,7.955487728,7.685675144,7.710938454,0.777144253,0.73282218,0.839655399,5.954870701,5.599865913,4.860117435
0.25,0,99.82123566,125.9562149,115.6285019,197.5042725,197.1835785,194.4617157,0.138660684,0.108346269,0.136928007,13.84128094,13.64688587,15.83277988,10.75667191,10.000741,13.29407883,7.955487728,7.685675144,7.710938454,0.777144253,0.73282218,0.839655399,5.954870701,5.599865913,4.860117435
0.3,0,99.81430817,125.9962463,115.6707687,197.560379,197.2020874,194.5159607,0.137180254,0.108006664,0.136045933,13.69255257,13.60843372,15.73653793,10.71700764,10.11668873,13.21984768,7.752548218,7.562286854,7.660857677,0.782688797,0.74341315,0.840073466,5.995014191,5.585704327,4.694415569
0.35,0,99.81430817,125.9962463,115.6707687,197.560379,197.2020874,194.5159607,0.137180254,0.108006664,0.136045933,13.69255257,13.60843372,15.73653793,10.71700764,10.11668873,13.21984768,7.752548218,7.562286854,7.660857677,0.782688797,0.74341315,0.840073466,5.995014191,5.585704327,4.694415569
0.4,0,99.81430817,125.9962463,115.6707687,197.560379,197.2020874,194.5159607,0.137180254,0.108006664,0.136045933,13.69255257,13.60843372,15.73653793,10.71700764,10.11668873,13.21984768,7.752548218,7.562286854,7.660857677,0.782688797,0.74341315,0.840073466,5.995014191,5.585704327,4.694415569
0.45,0,99.81430817,125.9962463,115.6707687,197.560379,197.2020874,194.5159607,0.137180254,0.108006664,0.136045933,13.69255257,13.60843372,15.73653793,10.71700764,10.11668873,13.21984768,7.752548218,7.562286854,7.660857677,0.782688797,0.74341315,0.840073466,5.995014191,5.585704327,4.694415569
